Molecule_id,SMILES,total_donors,total_acceptors,architecture,molecular_weight,logp
ACRXTN,CC1(C)c2ccccc2N(c2ccc3c(=O)c4ccccc4oc3c2)c2ccccc21,1,0,1D-0A,403.4810000000001,7.055300000000005
TXO-TPA,O=C1c2ccccc2S(=O)(=O)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,1,0,1D-0A,487.58000000000015,7.200600000000006
PCTXO,O=C1c2ccccc2S(=O)(=O)c2ccc(-c3ccc(N(c4ccc(Br)cc4)c4ccc(Br)cc4)cc3)cc21,1,0,1D-0A,645.3720000000001,8.725600000000002
IP-PPI,c1ccc(-n2c(-c3ccc(-c4ccc(-c5cn6ccccc6n5)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1,0,0,Unknown,562.6760000000002,9.980599999999992
DMDHNP-DPS,CC1(C)c2cnccc2Nc2ccncc21.O=S(=O)(c1ccccc1)c1ccccc1,0,0,Unknown,429.54500000000013,5.378900000000004
4NTAZ-PPI,c1ccc(-c2nnc(-c3ccc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccccc5)cc4)cc3)n2-c2cccc3ccccc23)cc1,0,0,Unknown,715.8600000000001,12.73379999999998
TAZ-PPI,c1ccc(-c2nnc(-c3ccc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccccc5)cc4)cc3)n2-c2ccccc2)cc1,0,0,Unknown,665.8000000000002,11.580599999999983
PTZ-mPYR,Cc1cc(N2c3ccccc3Sc3ccccc32)ccc1-c1cc(-c2ccc(N3c4ccccc4Sc4ccccc43)cc2C)ncn1,4,1,Multi-D/A,654.8640000000001,12.296239999999978
pCNBCzoCF3,N#Cc1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(C#N)cc4C(F)(F)F)ccc32)c(C(F)(F)F)c1,2,4,Multi-D/A,670.6160000000003,11.328759999999987
PTZTPE-2,CC1(C)OB(c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)OC1(C)C,0,0,Unknown,458.4100000000002,6.993200000000007
4CzIPN,N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,4,4,Multi-D/A,788.914,13.818359999999975
DMAC-TRZ,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2ccccc21,1,1,D-A,516.6480000000001,8.981700000000002
TCzTrz,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)n2)cc1,3,1,Multi-D/A,804.957,14.163899999999972
δ-2CbPN,N#Cc1cc(-n2c3ccccc3c3ncccc32)c(-n2c3ccccc3c3ncccc32)cc1C#N,0,4,Multi-D/A,460.50000000000017,6.414160000000004
CzDCbTrz,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ncccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ncccc54)c3)n2)cc1,1,1,D-A,806.933,12.953899999999972
α-2CbPN,N#Cc1cc(-n2c3ccccc3c3cccnc32)c(-n2c3ccccc3c3cccnc32)cc1C#N,0,4,Multi-D/A,460.50000000000017,6.414160000000004
CN-QP,N#Cc1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1,4,3,Multi-D/A,669.7440000000001,11.98647999999998
TFM-QP,FC(F)(F)c1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1,4,1,Multi-D/A,712.7310000000001,13.13359999999998
NDN,c1ccc2c(c1)c1cccnc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,0,0,Unknown,516.6290000000002,9.038699999999995
mCP,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,2,0,2D-0A,408.5040000000001,7.880800000000005
ZDZ,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1,2,0,2D-0A,514.6530000000002,10.248699999999987
ZDN,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,1,0,1D-0A,515.6410000000003,9.643699999999992
BTCz3CzTPN,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3c4sc5ccccc5c4ccc32)c1-n1c2ccccc2c2ccccc21,4,4,Multi-D/A,895.0629999999999,16.186259999999976
