molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV
1MPA,gas,stda,5.11e-08,5.8e-09,4.09,3.698,0.3919999999999999,0.4386,7.664
1MPA,gas,stddft,-2.39e-08,-8.92e-08,4.066,3.681,0.3849999999999998,0.3925,7.664
1MPA,toluene,stda,5.4e-08,4e-10,4.137,3.745,0.39199999999999946,0.5543,7.6610000000000005
1MPA,toluene,stddft,-2.28e-08,-9.69e-08,4.116,3.726,0.3899999999999997,0.4982,7.6610000000000005
1PCTRz,gas,stda,-3.9e-08,1.45e-08,3.823,3.384,0.43900000000000006,0.5689,6.17
1PCTRz,gas,stddft,2.93e-08,3.87e-08,3.766,3.36,0.40600000000000014,0.3981,6.17
1PCTRz,toluene,stda,5e-09,9.36e-08,3.808,3.345,0.46299999999999963,0.3658,6.143999999999999
1PCTRz,toluene,stddft,3e-10,-8.24e-08,3.745,3.321,0.42399999999999993,0.2509,6.143999999999999
1PXZ-BP,gas,stda,-0.0,-1.07e-07,3.062,2.742,0.31999999999999984,0.3217,4.873999999999999
1PXZ-BP,gas,stddft,-3.05e-08,3.65e-08,3.046,2.712,0.33399999999999963,0.2915,4.873999999999999
1PXZ-BP,toluene,stda,2.09e-08,4.83e-08,3.059,2.756,0.3030000000000004,0.3099,4.861000000000001
1PXZ-BP,toluene,stddft,-1.51e-08,4.17e-08,3.044,2.725,0.31899999999999995,0.2853,4.861000000000001
1PXZP,gas,stda,-1.3e-09,7.19e-08,2.979,2.742,0.2370000000000001,0.3726,5.429000000000001
1PXZP,gas,stddft,-2.25e-08,1.72e-08,2.96,2.71,0.25,0.335,5.429000000000001
1PXZP,toluene,stda,2.43e-08,-1.71e-08,2.958,2.72,0.238,0.3802,5.429
1PXZP,toluene,stddft,-1.98e-08,1.4e-08,2.938,2.708,0.22999999999999998,0.3406,5.429
1SBFN,gas,stda,-8.07e-08,-5.3e-09,4.197,3.324,0.8730000000000002,0.9304,7.456
1SBFN,gas,stddft,3.22e-08,3.61e-08,4.124,3.273,0.8509999999999995,0.7501,7.456
1SBFN,toluene,stda,-9.54e-08,-1.66e-08,4.217,3.339,0.8779999999999997,0.9185,7.4719999999999995
1SBFN,toluene,stddft,5.97e-08,-9.5e-08,4.145,3.287,0.8579999999999997,0.7499,7.4719999999999995
2-TA-AN,gas,stda,-2.68e-08,1.249e-07,3.404,2.318,1.0859999999999999,0.3916,6.196000000000001
2-TA-AN,gas,stddft,5.63e-08,3.53e-08,3.225,2.245,0.98,0.271,6.196000000000001
2-TA-AN,toluene,stda,9e-10,-2.68e-08,3.41,2.309,1.101,0.3893,6.279000000000001
2-TA-AN,toluene,stddft,-5.37e-08,8.83e-08,3.23,2.236,0.9939999999999998,0.2711,6.279000000000001
23AcCz-PM,gas,stda,1.98e-08,-1.96e-08,3.568,3.234,0.3340000000000001,0.1713,5.978000000000001
23AcCz-PM,gas,stddft,-2.92e-08,-4.61e-08,3.556,3.206,0.3500000000000001,0.1735,5.978000000000001
23AcCz-PM,toluene,stda,5.1e-09,9.06e-08,3.601,3.198,0.403,0.267,5.975
23AcCz-PM,toluene,stddft,-6.1e-09,-5.23e-08,3.586,3.17,0.4159999999999999,0.2758,5.975
