molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV
BDQDMAC,gas,stda,-1.19e-08,1.86e-08,2.629,2.497,0.13200000000000012,0.1292,5.627
BDQDMAC,gas,stddft,5.22e-08,4.97e-08,2.616,2.485,0.13100000000000023,0.1175,5.627
BDQDMAC,toluene,stda,-1.6e-09,1.4e-09,2.664,2.527,0.137,0.1313,5.614
BDQDMAC,toluene,stddft,3.86e-08,-1.31e-08,2.651,2.514,0.137,0.1193,5.614
BDQPCz,gas,stda,-1.137e-07,1.648e-07,3.396,3.055,0.34099999999999975,0.183,5.986000000000001
BDQPCz,gas,stddft,6.25e-08,1.577e-07,3.381,3.02,0.36099999999999977,0.2038,5.986000000000001
BDQPCz,toluene,stda,7.83e-08,-1.299e-07,3.437,3.091,0.34599999999999964,0.1326,6.058999999999999
BDQPCz,toluene,stddft,-3.85e-08,2.33e-08,3.426,3.054,0.37200000000000033,0.1562,6.058999999999999
BFCZPZ1,gas,stda,6.54e-08,5.84e-08,3.546,3.139,0.40700000000000003,0.9595,6.793000000000001
BFCZPZ1,gas,stddft,-1.34e-08,6.02e-08,3.504,3.114,0.3900000000000001,0.8394,6.793000000000001
BFCZPZ1,toluene,stda,1.4e-09,-2.28e-08,3.475,3.086,0.38900000000000023,0.9062,6.77
BFCZPZ1,toluene,stddft,3e-08,-1e-09,3.434,3.063,0.371,0.7858,6.77
BFCZPZ2,gas,stda,-1.81e-08,-6.41e-08,3.585,3.162,0.42300000000000004,1.8042,6.824999999999999
BFCZPZ2,gas,stddft,4.09e-08,-8.51e-08,3.546,3.138,0.4079999999999999,1.5898,6.824999999999999
BFCZPZ2,toluene,stda,2.58e-08,-2.82e-08,3.59,3.166,0.42399999999999993,1.6787,6.843999999999999
BFCZPZ2,toluene,stddft,2.13e-08,-5.38e-08,3.551,3.142,0.40900000000000025,1.4799,6.843999999999999
BFCZPZ3,gas,stda,-6.8e-09,-7.64e-08,3.694,3.278,0.4159999999999999,0.6531,7.121999999999999
BFCZPZ3,gas,stddft,9.9e-09,2e-09,3.66,3.255,0.40500000000000025,0.5806,7.121999999999999
BFCZPZ3,toluene,stda,-3.7e-08,-5.38e-08,3.685,3.248,0.43699999999999983,0.6773,7.116
BFCZPZ3,toluene,stddft,-2.35e-08,-5.02e-08,3.649,3.225,0.42399999999999993,0.5973,7.116
BFDMAc-NAI,gas,stda,-1.62e-08,1.36e-08,2.554,2.416,0.1379999999999999,0.0906,5.228
BFDMAc-NAI,gas,stddft,1.63e-08,2.42e-08,2.544,2.401,0.14300000000000024,0.086,5.228
BFDMAc-NAI,toluene,stda,2.75e-08,-2.11e-08,2.267,2.103,0.1639999999999997,0.1178,5.023
BFDMAc-NAI,toluene,stddft,-2.1e-09,2.58e-08,2.253,2.09,0.16300000000000026,0.1086,5.023
BICFOCz,gas,stda,4.16e-08,-8.36e-08,3.898,3.412,0.4860000000000002,0.0528,7.093000000000001
BICFOCz,gas,stddft,1.247e-07,-1.272e-07,3.828,3.388,0.43999999999999995,0.0458,7.093000000000001
BICFOCz,toluene,stda,-8.5e-08,2.57e-08,3.887,3.429,0.4580000000000002,0.0762,7.241
BICFOCz,toluene,stddft,3.57e-08,9.5e-09,3.816,3.406,0.4099999999999997,0.062,7.241
BIPOCz,gas,stda,-1.171e-07,-4.74e-08,3.894,3.401,0.4930000000000003,0.0278,7.362000000000001
BIPOCz,gas,stddft,4.24e-08,8.2e-09,3.822,3.373,0.44899999999999984,0.0284,7.362000000000001
BIPOCz,toluene,stda,-3.61e-08,1.89e-08,3.893,3.411,0.48199999999999976,0.0418,7.369
BIPOCz,toluene,stddft,7.58e-08,-1.55e-08,3.822,3.384,0.43800000000000017,0.0368,7.369
BMIM,gas,stda,-2.33e-08,-1.7e-09,2.943,2.415,0.528,1.5017,4.809000000000001
BMIM,gas,stddft,-3.26e-08,-4.36e-08,2.888,2.383,0.5049999999999999,1.2952,4.809000000000001
BMIM,toluene,stda,7.28e-08,3.57e-08,2.574,2.075,0.49899999999999967,0.1473,4.395000000000001
BMIM,toluene,stddft,-9.9e-09,3.26e-08,2.56,2.048,0.512,0.1524,4.395000000000001
BMZ-TZ,gas,stda,3.34e-08,1.03e-08,3.334,3.355,-0.020999999999999908,0.0092,6.673
BMZ-TZ,gas,stddft,1.024e-07,-7.7e-09,3.333,3.354,-0.020999999999999908,0.0089,6.673
BMZ-TZ,toluene,stda,5.15e-08,6.71e-08,3.373,3.381,-0.007999999999999563,0.0077,6.801
BMZ-TZ,toluene,stddft,1.77e-08,-2.95e-08,3.372,3.378,-0.006000000000000227,0.0075,6.801
BN-DBC-Ph2,gas,stda,2.9e-09,-6.29e-08,2.586,1.876,0.71,0.2978,5.448
BN-DBC-Ph2,gas,stddft,-3.6e-09,-5.96e-08,2.51,1.833,0.6769999999999998,0.3149,5.448
BN-DBC-Ph2,toluene,stda,-2.01e-08,-7.17e-08,2.45,1.844,0.6060000000000001,0.3011,5.265000000000001
BN-DBC-Ph2,toluene,stddft,-4e-09,5.1e-09,2.382,1.806,0.5760000000000001,0.2694,5.265000000000001
BO3N,gas,stda,2.76e-08,-5.56e-08,3.002,2.027,0.9749999999999996,0.1038,5.882
BO3N,gas,stddft,-1.306e-07,2.89e-08,2.892,1.951,0.9409999999999998,0.0568,5.882
BO3N,toluene,stda,-2.66e-08,-1.29e-08,2.989,2.046,0.9430000000000001,0.1408,5.847
BO3N,toluene,stddft,1.93e-08,-2.169e-07,2.901,1.969,0.9319999999999997,0.0844,5.847
BP-mDTC,gas,stda,8.07e-08,-3.48e-08,3.698,3.398,0.2999999999999998,0.1663,6.302
BP-mDTC,gas,stddft,-1.75e-08,-2.91e-08,3.665,3.382,0.2829999999999999,0.1636,6.302
BP-mDTC,toluene,stda,1.42e-08,2.98e-08,3.667,3.381,0.28600000000000003,0.1369,6.215
BP-mDTC,toluene,stddft,-5.88e-08,-6.9e-09,3.637,3.362,0.2749999999999999,0.1314,6.215
BPBiPA,gas,stda,-2.37e-08,-4.47e-08,3.196,2.254,0.9420000000000002,0.6911,6.321
BPBiPA,gas,stddft,9.65e-08,-1.585e-07,3.039,2.184,0.855,0.504,6.321
BPBiPA,toluene,stda,7.82e-08,3.35e-08,3.219,2.259,0.96,0.6309,6.374
BPBiPA,toluene,stddft,-4.85e-08,-5.77e-08,3.053,2.188,0.8649999999999998,0.4545,6.374
BPCN-2Cz,gas,stda,5.59e-08,2.12e-08,3.859,3.381,0.4780000000000002,0.1982,6.609
BPCN-2Cz,gas,stddft,-5.94e-08,3.61e-08,3.791,3.359,0.43199999999999994,0.1616,6.609
BPCN-2Cz,toluene,stda,3.44e-08,1.9e-08,3.845,3.363,0.4820000000000002,0.1735,6.625
BPCN-2Cz,toluene,stddft,1.22e-08,5.1e-09,3.776,3.34,0.43599999999999994,0.1418,6.625
BPCN-Cz2Ph,gas,stda,-7.28e-08,8.38e-08,3.866,3.452,0.41400000000000015,0.1492,6.779000000000001
BPCN-Cz2Ph,gas,stddft,8.8e-09,-5.95e-08,3.805,3.43,0.375,0.1257,6.779000000000001
BPCN-Cz2Ph,toluene,stda,-7.5e-09,-2.2e-08,3.846,3.411,0.43500000000000005,0.1626,6.82
BPCN-Cz2Ph,toluene,stddft,4.34e-08,2.42e-08,3.783,3.389,0.39400000000000013,0.1368,6.82
BPCP-2CPC,gas,stda,-3.57e-08,1.203e-07,3.5,3.216,0.2839999999999998,0.1501,6.15
BPCP-2CPC,gas,stddft,-9.9e-09,3.1e-09,3.478,3.198,0.28000000000000025,0.1344,6.15
BPCP-2CPC,toluene,stda,1.24e-08,1.87e-08,3.253,2.932,0.3210000000000002,0.2061,5.987
BPCP-2CPC,toluene,stddft,4.34e-08,-2.94e-08,3.227,2.915,0.31199999999999983,0.1816,5.987
BPPyA,gas,stda,8.67e-08,-1.3e-09,2.797,2.263,0.5340000000000003,0.9898,5.748
BPPyA,gas,stddft,-6.54e-08,-8.09e-08,2.739,2.208,0.5309999999999997,0.831,5.748
BPPyA,toluene,stda,-2.18e-08,8.67e-08,2.766,2.231,0.5350000000000001,1.0314,5.705
BPPyA,toluene,stddft,-2.9e-08,1.297e-07,2.707,2.175,0.532,0.8645,5.705
BPZPP,gas,stda,-1.8e-09,-5.8e-08,2.971,2.666,0.30500000000000016,0.1778,5.122999999999999
BPZPP,gas,stddft,-7.7e-08,-1e-10,2.945,2.64,0.3049999999999997,0.1558,5.122999999999999
BPZPP,toluene,stda,-2.57e-08,-2.86e-08,2.95,2.636,0.31400000000000006,0.1731,5.1370000000000005
BPZPP,toluene,stddft,8.01e-08,-7.14e-08,2.923,2.611,0.31199999999999983,0.1517,5.1370000000000005
BPy-TP2,gas,stda,-1.65e-08,3.13e-08,3.88,3.578,0.30200000000000005,0.0004,7.135
BPy-TP2,gas,stddft,1.2e-08,-6.32e-08,3.853,3.539,0.31400000000000006,0.0004,7.135
BPy-TP2,toluene,stda,8.71e-08,-1.205e-07,3.88,3.586,0.29400000000000004,0.0004,7.111
BPy-TP2,toluene,stddft,7.79e-08,-9.37e-08,3.852,3.546,0.30600000000000005,0.0004,7.111
BSBFB,gas,stda,3.46e-08,-2.37e-08,4.473,3.688,0.7849999999999997,1.4663,7.678000000000001
BSBFB,gas,stddft,2.62e-08,-3.21e-08,4.435,3.65,0.7849999999999997,1.2993,7.678000000000001
BSBFB,toluene,stda,-2.5e-08,5e-08,4.503,3.7,0.8029999999999999,1.4124,7.692
BSBFB,toluene,stddft,-5.95e-08,-4.66e-08,4.461,3.663,0.7980000000000005,1.2157,7.692
BTCZPZ1,gas,stda,6.08e-08,-6.62e-08,3.46,3.081,0.379,0.8727,6.721
BTCZPZ1,gas,stddft,3.43e-08,-6.6e-09,3.418,3.06,0.3580000000000001,0.7561,6.721
BTCZPZ1,toluene,stda,-4.41e-08,-3.59e-08,3.457,3.086,0.371,0.7737,6.744000000000001
BTCZPZ1,toluene,stddft,-1.91e-08,5.09e-08,3.418,3.065,0.3530000000000002,0.6728,6.744000000000001
BTCz3CzTPN,gas,stda,1.09e-08,-5.56e-08,3.018,2.739,0.2789999999999999,0.4602,6.181
BTCz3CzTPN,gas,stddft,4.3e-08,-2.1e-09,2.979,2.727,0.2520000000000002,0.401,6.181
BTCz3CzTPN,toluene,stda,6.8e-09,-6.7e-09,2.866,2.553,0.31300000000000017,0.5234,6.103000000000001
BTCz3CzTPN,toluene,stddft,-5.3e-09,-3.01e-08,2.818,2.539,0.2789999999999999,0.4491,6.103000000000001
BTD-PXZ,gas,stda,-1.37e-08,4.2e-09,2.876,2.606,0.27,0.1398,5.6419999999999995
BTD-PXZ,gas,stddft,2.75e-08,-1.17e-08,2.851,2.588,0.2629999999999999,0.1205,5.6419999999999995
BTD-PXZ,toluene,stda,-1.25e-08,1.3e-08,2.82,2.569,0.2509999999999999,0.1282,5.545000000000001
BTD-PXZ,toluene,stddft,2.13e-08,5.2e-09,2.796,2.552,0.24399999999999977,0.1103,5.545000000000001
BTITrz,gas,stda,-6.67e-08,4.22e-08,3.824,3.437,0.387,0.7476,6.134
BTITrz,gas,stddft,-2.57e-08,4.8e-09,3.8,3.415,0.3849999999999998,0.7056,6.134
BTITrz,toluene,stda,6.13e-08,5.23e-08,3.801,3.42,0.3810000000000002,0.7101,6.149000000000001
BTITrz,toluene,stddft,6.9e-09,6.9e-09,3.777,3.399,0.3780000000000001,0.6713,6.149000000000001
BTPBFCz,gas,stda,-1.028e-07,-7.42e-08,3.771,3.322,0.44899999999999984,0.1467,6.756
BTPBFCz,gas,stddft,3.39e-08,-1.71e-08,3.711,3.302,0.4089999999999998,0.1237,6.756
BTPBFCz,toluene,stda,1.79e-08,6.9e-09,3.763,3.339,0.42399999999999993,0.1723,6.767
BTPBFCz,toluene,stddft,-4.64e-08,-5.83e-08,3.709,3.318,0.391,0.1496,6.767
BTPBFCz-D3,gas,stda,-1.75e-08,-2.7e-09,3.715,3.323,0.3919999999999999,0.0743,6.5649999999999995
BTPBFCz-D3,gas,stddft,-6.89e-08,-4.51e-08,3.675,3.304,0.371,0.0683,6.5649999999999995
BTPBFCz-D3,toluene,stda,-6.1e-08,-7e-09,3.753,3.375,0.3780000000000001,0.0728,6.584999999999999
BTPBFCz-D3,toluene,stddft,-3e-08,-3e-09,3.708,3.354,0.3540000000000001,0.0684,6.584999999999999
BTPO,gas,stda,2.64e-08,5.68e-08,4.119,3.617,0.5019999999999998,0.2201,7.8660000000000005
BTPO,gas,stddft,-6.88e-08,1.3e-08,4.075,3.593,0.4820000000000002,0.1923,7.8660000000000005
BTPO,toluene,stda,2.57e-08,4.99e-08,4.098,3.636,0.46199999999999974,0.056,7.882000000000001
BTPO,toluene,stddft,1.19e-08,3.33e-08,4.048,3.612,0.43599999999999994,0.1872,7.882000000000001
BTZPP,gas,stda,1.1e-09,-1.8e-09,3.554,2.97,0.5839999999999996,2.8737,5.904999999999999
BTZPP,gas,stddft,-9.37e-08,6.49e-08,3.521,2.923,0.5979999999999999,2.5521,5.904999999999999
BTZPP,toluene,stda,-5.09e-08,-1.07e-07,3.483,2.917,0.5660000000000003,2.9572,5.709
BTZPP,toluene,stddft,2.27e-08,9.75e-08,3.451,2.872,0.5790000000000002,2.6271,5.709
BTZ–DMAC,gas,stda,2.1e-09,-1.016e-07,2.888,2.659,0.2290000000000001,0.1921,5.907
BTZ–DMAC,gas,stddft,1.35e-08,4.59e-08,2.872,2.633,0.23899999999999988,0.1795,5.907
BTZ–DMAC,toluene,stda,-4.74e-08,-7.93e-08,2.875,2.67,0.20500000000000007,0.1664,5.828
BTZ–DMAC,toluene,stddft,-1.56e-08,-8.35e-08,2.861,2.646,0.2150000000000003,0.1565,5.828
BTZ–DPA,gas,stda,-1.4e-09,-3.14e-08,2.678,2.069,0.609,0.6302,5.916
BTZ–DPA,gas,stddft,2.9e-09,-8.93e-08,2.595,2.02,0.5750000000000002,0.503,5.916
BTZ–DPA,toluene,stda,4.02e-08,7.79e-08,2.609,2.008,0.601,0.5965,5.844999999999999
BTZ–DPA,toluene,stddft,-6.7e-09,-8.19e-08,2.524,1.959,0.565,0.4747,5.844999999999999
BTaz-Ar-PXZ,gas,stda,3.85e-08,-6.32e-08,3.017,2.761,0.2559999999999998,0.4639,5.645999999999999
BTaz-Ar-PXZ,gas,stddft,4.3e-09,-8.36e-08,2.997,2.729,0.2679999999999998,0.416,5.645999999999999
BTaz-Ar-PXZ,toluene,stda,-5.19e-08,-2.15e-08,3.046,2.766,0.2799999999999998,0.4443,5.6209999999999996
BTaz-Ar-PXZ,toluene,stddft,-6.6e-09,1.201e-07,3.027,2.734,0.29300000000000015,0.399,5.6209999999999996
BTrztCz,gas,stda,2.36e-08,1.23e-08,3.543,3.369,0.17399999999999993,0.0731,6.054999999999999
BTrztCz,gas,stddft,-5.87e-08,-4.73e-08,3.529,3.358,0.17099999999999982,0.0677,6.054999999999999
BTrztCz,toluene,stda,3.27e-08,-7.74e-08,3.624,3.381,0.24300000000000033,0.0891,6.087
BTrztCz,toluene,stddft,-2.42e-08,-6.27e-08,3.612,3.362,0.25,0.0736,6.087
BZC-PXZ,gas,stda,-5.02e-08,-7.1e-09,2.794,2.508,0.28600000000000003,0.2454,5.5489999999999995
BZC-PXZ,gas,stddft,-3.2e-08,-1.66e-08,2.767,2.496,0.2709999999999999,0.2109,5.5489999999999995
BZC-PXZ,toluene,stda,-1.75e-08,-4.99e-08,2.762,2.463,0.29899999999999993,0.2693,5.52
BZC-PXZ,toluene,stddft,-1.31e-08,1.8e-09,2.732,2.45,0.28200000000000003,0.2318,5.52
BmPyPhB,gas,stda,6e-10,5.22e-08,3.428,3.337,0.09099999999999975,0.2526,5.77
BmPyPhB,gas,stddft,2.35e-08,-6.41e-08,3.422,3.33,0.09200000000000008,0.2462,5.77
BmPyPhB,toluene,stda,7.8e-09,-4e-08,3.452,3.359,0.09299999999999997,0.2506,5.808
BmPyPhB,toluene,stddft,-5.71e-08,-1.73e-08,3.447,3.351,0.09600000000000009,0.2444,5.808
BuCzCF3oB,gas,stda,2.04e-08,1.31e-08,3.124,3.01,0.11400000000000032,0.0588,6.007
BuCzCF3oB,gas,stddft,1.9e-09,6.9e-09,3.113,3.003,0.10999999999999988,0.054,6.007
BuCzCF3oB,toluene,stda,-8.26e-08,-6.87e-08,3.106,2.978,0.12799999999999967,0.0706,5.9719999999999995
BuCzCF3oB,toluene,stddft,-3.4e-09,8.3e-09,3.094,2.971,0.12299999999999978,0.0646,5.9719999999999995
BuPCzBCO,gas,stda,8.35e-08,-5.02e-08,3.808,3.385,0.42300000000000004,0.1589,7.571
BuPCzBCO,gas,stddft,7.8e-08,-1.011e-07,3.737,3.362,0.375,0.1338,7.571
BuPCzBCO,toluene,stda,-4.22e-08,1.122e-07,3.79,3.362,0.42799999999999994,0.1402,7.547
BuPCzBCO,toluene,stddft,4.73e-08,-2.58e-08,3.718,3.338,0.3799999999999999,0.1176,7.547
BzITz,gas,stda,-1e-09,-3.46e-08,3.756,3.34,0.4159999999999999,0.9415,6.4910000000000005
BzITz,gas,stddft,-7.8e-09,2.7e-08,3.727,3.32,0.40700000000000003,0.8548,6.4910000000000005
BzITz,toluene,stda,-3.45e-08,-8.3e-08,3.701,3.303,0.39800000000000013,0.8602,6.442
BzITz,toluene,stddft,5e-09,-4.07e-08,3.673,3.284,0.38900000000000023,0.7816,6.442
C-BPyIA,gas,stda,9.6e-09,-1.05e-08,3.265,2.29,0.9750000000000001,0.9573,6.08
C-BPyIA,gas,stddft,6.11e-08,2.083e-07,3.11,2.223,0.887,0.6684,6.08
C-BPyIA,toluene,stda,-6.74e-08,-5.63e-08,3.26,2.263,0.9969999999999999,0.972,6.167000000000001
C-BPyIA,toluene,stddft,-4.08e-08,-1.079e-07,3.108,2.193,0.915,0.6837,6.167000000000001
C-H,gas,stda,-1.152e-07,1.98e-08,3.596,2.688,0.9079999999999999,1.0459,6.102
C-H,gas,stddft,-3.7e-08,1.73e-08,3.522,2.62,0.9019999999999997,0.9075,6.102
C-H,toluene,stda,-8e-10,1.125e-07,3.513,2.678,0.835,1.1132,5.766
C-H,toluene,stddft,-7e-10,3.38e-08,3.449,2.61,0.839,0.9646,5.766
C-O,gas,stda,-6.17e-08,-2.8e-08,3.75,3.181,0.569,0.1412,7.2749999999999995
C-O,gas,stddft,-6.42e-08,9.6e-09,3.67,3.157,0.5129999999999999,0.1296,7.2749999999999995
C-O,toluene,stda,-6.93e-08,-5.8e-09,3.703,3.114,0.589,0.1393,7.263999999999999
C-O,toluene,stddft,-1.72e-08,2.1e-08,3.618,3.089,0.5289999999999999,0.1217,7.263999999999999
C2FLA-1,gas,stda,4.06e-08,-6.92e-08,3.897,3.24,0.6569999999999996,2.9654,6.802999999999999
C2FLA-1,gas,stddft,5.16e-08,7.16e-08,3.853,3.198,0.6550000000000002,2.576,6.802999999999999
C2FLA-1,toluene,stda,-1.47e-08,-6.28e-08,3.884,3.228,0.6559999999999997,2.9557,6.768000000000001
C2FLA-1,toluene,stddft,-4.48e-08,7.15e-08,3.84,3.187,0.653,2.5677,6.768000000000001
C2MPI,gas,stda,-5.92e-08,-1.67e-08,4.098,3.565,0.5329999999999999,0.1847,7.659
C2MPI,gas,stddft,-4.39e-08,-4.78e-08,4.057,3.541,0.5160000000000005,0.1569,7.659
C2MPI,toluene,stda,4.9e-08,9e-10,4.051,3.563,0.488,0.0408,7.712000000000001
C2MPI,toluene,stddft,1.6e-09,-1.64e-08,4.007,3.54,0.46699999999999964,0.0305,7.712000000000001
C3F7,gas,stda,-2.61e-08,-5.72e-08,3.349,3.244,0.10499999999999998,0.046,6.281999999999999
C3F7,gas,stddft,-1.42e-08,-1.22e-08,3.339,3.236,0.10299999999999976,0.0432,6.281999999999999
C3F7,toluene,stda,-1.83e-08,-6.6e-09,3.431,3.303,0.1280000000000001,0.0485,6.347
C3F7,toluene,stddft,-2.46e-08,-1.35e-08,3.421,3.286,0.1349999999999998,0.0463,6.347
C3FLA-2,gas,stda,5.4e-09,2.43e-08,3.727,3.224,0.5029999999999997,5.1694,6.507999999999999
C3FLA-2,gas,stddft,1.43e-08,4.95e-08,3.704,3.185,0.5190000000000001,4.7241,6.507999999999999
C3FLA-2,toluene,stda,-3.96e-08,1.8e-08,3.743,3.24,0.5029999999999997,5.1696,6.492000000000001
C3FLA-2,toluene,stddft,-3.9e-08,-2.39e-08,3.72,3.201,0.5190000000000001,4.7302,6.492000000000001
CAPI,gas,stda,-9.33e-08,-1.02e-07,2.908,2.176,0.7319999999999998,0.4552,6.061999999999999
CAPI,gas,stddft,3.17e-08,1.298e-07,2.839,2.11,0.7290000000000001,0.424,6.061999999999999
CAPI,toluene,stda,3.98e-08,-2.87e-08,2.938,2.196,0.742,0.4147,6.111
CAPI,toluene,stddft,1e-09,-5.91e-08,2.873,2.129,0.7440000000000002,0.3971,6.111
CBIQD,gas,stda,-1.25e-08,6e-09,3.706,2.818,0.8879999999999999,0.0354,6.086
CBIQD,gas,stddft,-7.76e-08,-6.09e-08,3.663,2.765,0.8979999999999997,0.2374,6.086
CBIQD,toluene,stda,-2.4e-09,1.91e-08,3.744,2.75,0.9940000000000002,0.0585,6.337999999999999
CBIQD,toluene,stddft,5.6e-08,2.129e-07,3.637,2.694,0.9430000000000001,0.4218,6.337999999999999
CBM,gas,stda,9.5e-09,5.27e-08,3.344,2.613,0.7309999999999999,1.1985,6.286000000000001
CBM,gas,stddft,-2.78e-08,-2.55e-08,3.286,2.567,0.7189999999999999,1.0255,6.286000000000001
CBM,toluene,stda,-3.99e-08,-9.4e-09,3.213,2.451,0.762,1.2658,6.079000000000001
CBM,toluene,stddft,3.31e-08,-8e-09,3.149,2.403,0.746,1.0642,6.079000000000001
CBPBM,gas,stda,6.95e-08,-4.85e-08,3.92,3.477,0.44300000000000006,0.3748,6.902000000000001
CBPBM,gas,stddft,9.13e-08,7.86e-08,3.858,3.454,0.4039999999999999,0.3111,6.902000000000001
CBPBM,toluene,stda,7.01e-08,4.35e-08,3.905,3.419,0.48599999999999977,0.0664,6.968000000000001
CBPBM,toluene,stddft,-7.15e-08,2.16e-08,3.839,3.396,0.44300000000000006,0.0462,6.968000000000001
CBPMCN,gas,stda,2.46e-08,1.232e-07,3.874,3.461,0.41300000000000026,0.6695,6.663
CBPMCN,gas,stddft,-2.86e-08,-3.86e-08,3.829,3.439,0.3900000000000001,0.5624,6.663
CBPMCN,toluene,stda,-1.16e-08,-3.01e-08,3.877,3.439,0.4379999999999997,0.5516,6.715
CBPMCN,toluene,stddft,-1.694e-07,9.59e-08,3.826,3.416,0.41000000000000014,0.442,6.715
CBPPY,gas,stda,-1.017e-07,6.56e-08,3.955,3.479,0.476,0.3481,7.075
CBPPY,gas,stddft,-6.9e-08,-3.12e-08,3.891,3.456,0.43500000000000005,0.2665,7.075
CBPPY,toluene,stda,-4.87e-08,6.42e-08,3.931,3.456,0.4750000000000001,0.3632,7.151
CBPPY,toluene,stddft,9.81e-08,1.604e-07,3.868,3.433,0.43500000000000005,0.2713,7.151
CBPTZ,gas,stda,7.09e-08,-8.87e-08,3.946,3.495,0.45100000000000007,0.4661,6.480000000000001
CBPTZ,gas,stddft,1.025e-07,1.29e-08,3.889,3.473,0.4159999999999999,0.3804,6.480000000000001
CBPTZ,toluene,stda,-5.3e-09,-2.71e-08,3.864,3.415,0.44899999999999984,0.3597,6.419999999999999
CBPTZ,toluene,stddft,8.49e-08,-1.34e-08,3.805,3.393,0.41200000000000037,0.2849,6.419999999999999
CBTD2,gas,stda,-1.4e-08,2.321e-07,3.506,2.787,0.7189999999999999,2.3052,6.0360000000000005
CBTD2,gas,stddft,5.41e-08,-2.69e-08,3.445,2.736,0.7089999999999996,1.9594,6.0360000000000005
CBTD2,toluene,stda,4.11e-08,2.06e-08,3.507,2.794,0.7130000000000001,2.2613,5.966000000000001
CBTD2,toluene,stddft,1.483e-07,-5.87e-08,3.446,2.743,0.7030000000000003,1.9196,5.966000000000001
CBZ,gas,stda,3.1e-09,5.29e-08,3.947,3.702,0.2450000000000001,0.162,6.482
CBZ,gas,stddft,-6.8e-08,1.599e-07,3.914,3.677,0.2370000000000001,0.1426,6.482
CBZ,toluene,stda,-1.28e-08,3.58e-08,3.949,3.689,0.2599999999999998,0.1614,6.384
CBZ,toluene,stddft,1.39e-08,-3.83e-08,3.916,3.655,0.2610000000000001,0.1383,6.384
CCAPI,gas,stda,-1.92e-08,-2e-08,2.894,2.178,0.7160000000000002,0.4555,5.959999999999999
CCAPI,gas,stddft,4.24e-08,4.09e-08,2.826,2.114,0.7120000000000002,0.4129,5.959999999999999
CCAPI,toluene,stda,-6.36e-08,-1.124e-07,2.931,2.198,0.7330000000000001,0.4555,5.988
CCAPI,toluene,stddft,-1.375e-07,-1.228e-07,2.862,2.133,0.7290000000000001,0.4155,5.988
CCC,gas,stda,-3.11e-08,6.7e-08,4.292,3.699,0.593,0.0104,7.987
CCC,gas,stddft,-1.022e-07,2.8e-08,4.269,3.648,0.621,0.012,7.987
CCC,toluene,stda,-8.74e-08,4.76e-08,4.29,3.696,0.5939999999999999,0.0102,7.985999999999999
CCC,toluene,stddft,3.45e-08,-1.85e-08,4.267,3.645,0.6220000000000003,0.0117,7.985999999999999
CCDC,gas,stda,7.7e-09,-8.8e-09,3.657,3.214,0.44300000000000006,0.2612,6.033
CCDC,gas,stddft,2.42e-08,-4.24e-08,3.59,3.194,0.3959999999999999,0.207,6.033
CCDC,toluene,stda,1.66e-08,1.62e-08,3.417,3.231,0.18599999999999994,0.0015,6.011
CCDC,toluene,stddft,-8.18e-08,-4.67e-08,3.415,3.21,0.20500000000000007,0.0017,6.011
CCDD,gas,stda,-1e-10,1.187e-07,3.294,2.854,0.43999999999999995,0.2304,5.502
CCDD,gas,stddft,9.23e-08,-3.58e-08,3.22,2.833,0.387,0.1811,5.502
CCDD,toluene,stda,2.28e-08,9.02e-08,3.303,2.856,0.44700000000000006,0.3124,5.405999999999999
CCDD,toluene,stddft,1.33e-07,-2.17e-08,3.23,2.836,0.39400000000000013,0.239,5.405999999999999
CCDMB,gas,stda,-4.13e-08,-2.91e-08,3.747,3.313,0.4339999999999997,0.5513,6.01
CCDMB,gas,stddft,6.52e-08,-9e-10,3.688,3.292,0.39600000000000035,0.4034,6.01
CCDMB,toluene,stda,-4.5e-09,-1.495e-07,3.747,3.306,0.44099999999999984,0.393,6.114
CCDMB,toluene,stddft,2.96e-08,-2.04e-08,3.684,3.284,0.40000000000000036,0.2847,6.114
CDBP-BP-DMAC,gas,stda,2.44e-08,8.08e-08,3.612,3.339,0.27300000000000013,0.1927,5.971
CDBP-BP-DMAC,gas,stddft,2.3e-09,-9.44e-08,3.607,3.316,0.29100000000000037,0.2006,5.971
CDBP-BP-DMAC,toluene,stda,3.9e-09,-7.69e-08,3.599,3.251,0.3480000000000003,0.1838,5.943999999999999
CDBP-BP-DMAC,toluene,stddft,-4.18e-08,-4.37e-08,3.594,3.226,0.3679999999999999,0.1967,5.943999999999999
CDBP-BP-PXZ,gas,stda,-7.23e-08,2.92e-08,3.106,2.744,0.36199999999999966,0.0172,5.544999999999999
CDBP-BP-PXZ,gas,stddft,-3.15e-08,-2.69e-08,3.07,2.713,0.35699999999999976,0.0144,5.544999999999999
CDBP-BP-PXZ,toluene,stda,5e-10,7.89e-08,3.135,2.768,0.367,0.0245,5.59
CDBP-BP-PXZ,toluene,stddft,-2.64e-08,7.5e-09,3.098,2.737,0.36099999999999977,0.0183,5.59
CDDPI,gas,stda,2.86e-08,-9.95e-08,3.498,3.011,0.4870000000000001,0.6927,6.691
CDDPI,gas,stddft,2.86e-08,1.08e-08,3.463,2.973,0.4900000000000002,0.6199,6.691
