molecule,environment,method,transition,CT_number,Lambda_D,Lambda_A,hole_on_A,particle_on_D,Delta_r,S_he
PPINCN-Cz,gas,stddft,S0T1,0.023083411532078536,0.9872635069271446,0.02338120610162691,0.012736493072855475,0.9766187938983732,0.22584118949225,0.9873556126818611
PPINCN-Cz,gas,stddft,S0S1,0.1837469642439223,0.8311192788077603,0.2210837468570181,0.16888072119223987,0.7789162531429819,1.514447915116231,0.7729630304553512
DMAC-11-DPPZ,gas,stddft,S0S1,0.2789620829579504,0.6932639560209377,0.40238942257878657,0.30673604397906246,0.5976105774212138,3.900223476244891,0.373096297416506
5-Cz-Sac,gas,stda,S0S1,0.2301171555816077,0.9066385940680836,0.253813544986071,0.09336140593191641,0.7461864550139289,0.9123391913116821,0.7592100523121577
DMAC-11-DPPZ,gas,stddft,S0T1,0.27633927699090927,0.6964129030554698,0.3968037866307291,0.3035870969445302,0.6031962133692713,2.9697323235818884,0.5764141341452004
DMAC-11-DPPZ,gas,stda,S0T1,0.277224649922736,0.6955585659416226,0.3985640656260757,0.30444143405837704,0.6014359343739243,3.176542751791867,0.5398198193154301
5-Cz-Sac,gas,stddft,S0S1,0.23059642309575373,0.9068550146680161,0.25428146656957185,0.09314498533198393,0.745718533430428,0.9163523080627655,0.7624865448266398
3CzPhpPM,gas,stda,S0T1,0.04113484405040385,0.9520029397001843,0.043208736375707525,0.04799706029981575,0.9567912636242923,1.091192322262184,0.6643816996082613
CZ-DPS-DMAC,gas,stddft,S0T1,0.3378415746211828,0.5817133877115045,0.5807698116597796,0.41828661228849556,0.4192301883402203,0.5183204485116977,0.7386132446042956
3CzPhpPM,gas,stda,S0S1,0.03518897038108789,0.9991538071959928,0.03521877225273412,0.0008461928040071594,0.9647812277472658,0.677338294551154,0.7542407223940543
CZ-DPS-DMAC,gas,stda,S0T1,0.043890675056335926,0.975429413601529,0.044996259538945614,0.024570586398471088,0.9550037404610543,1.1505760145690833,0.7096872073616506
TPTI,gas,stda,S0T1,0.22003469551471405,0.5622335741767975,0.39135815721585293,0.43776642582320235,0.608641842784147,0.9880855177584129,0.7621279565676833
3CzPhpPM,gas,stddft,S0T1,0.04029012147420841,0.9530401286776333,0.042275367281870854,0.046959871322366696,0.9577246327181294,1.089806326330636,0.6665851134411123
3CzPhpPM,gas,stddft,S0S1,0.031452706079710485,0.9991921635919375,0.0314781352634342,0.000807836408062562,0.9685218647365658,0.6591031627998762,0.7601430624804677
TPTI,gas,stddft,S0T1,0.21950956001299848,0.562877896601417,0.38997722479132413,0.43712210339858304,0.6100227752086759,0.969159979882532,0.770054176332753
TPTI,gas,stda,S0S1,0.25370284807100535,0.5097291862066369,0.49772085832290924,0.490270813793363,0.5022791416770909,1.168452576591048,0.7118435919392639
TPTI,gas,stddft,S0S1,0.25227601546517486,0.5091146544806596,0.49551906087346453,0.4908853455193402,0.5044809391265355,1.1919193485209412,0.7166505899128537
"[2,1-b]IF",gas,stda,S0S1,0.03892996408886958,0.9884552368790793,0.039384650550070385,0.01154476312092058,0.9606153494499298,2.574489365587031,0.6003292475643808
"[2,1-b]IF",gas,stda,S0T1,0.035092809634560726,0.9890916718311364,0.03547983532162626,0.01090832816886347,0.9645201646783735,2.1156726085584676,0.7258012912464613
"[2,1-b]IF",gas,stddft,S0S1,0.03906513914206817,0.9881698721409085,0.03953281742685802,0.01183012785909155,0.960467182573142,2.663470190503024,0.5692873679897947
CZ-DPS-DMAC,gas,stda,S0S1,0.2506272640040518,0.6794791305819237,0.36885204081162587,0.32052086941807634,0.6311479591883736,2.096490905883878,0.5402205273683371
"[2,1-b]IF",gas,stddft,S0T1,0.03395837840395298,0.9895367232931975,0.034317451393758115,0.010463276706802409,0.9656825486062419,1.9442656224717,0.7711496940788541
CZ-DPS-DMAC,gas,stddft,S0S1,0.2095305883308235,0.3731724652990798,0.5614845890703506,0.6268275347009203,0.43851541092964963,0.5170278367721906,0.805387182563889
TPBPPI-PY,gas,stda,S0S1,0.019463770424743843,0.9991803507983824,0.019479736975603616,0.0008196492016178293,0.9805202630243963,0.9854621966170038,0.7411304653691819
TPBPPI-PY,gas,stda,S0T1,0.014077127346005074,0.9978716546522909,0.014107152237839904,0.0021283453477090185,0.98589284776216,1.1524559088366397,0.8863905023702779
9CzFDBFSPO,gas,stda,S0T1,0.06859015274927086,0.9541105504661213,0.07188910416697711,0.04588944953387897,0.9281108958330229,1.094531123603185,0.7187672625584312
SPAC-FO,gas,stda,S0S1,0.12500110109829807,0.8529865754729657,0.14654521500410156,0.14701342452703425,0.8534547849958986,1.6648952671975041,0.405516899282321
9CzFDBFSPO,gas,stddft,S0T1,0.06870334526850477,0.9546527878923717,0.07196684086596984,0.04534721210762839,0.9280331591340302,1.0695635095927065,0.7217560799194378
9CzFDBFSPO,gas,stda,S0S1,0.17596841145868458,0.9374773932621565,0.18770416516004104,0.06252260673784336,0.8122958348399589,0.49609666504026345,0.7884466520722166
TPBPPI-PY,gas,stddft,S0T1,0.013782904702976549,0.9979724846636341,0.01381090652777072,0.00202751533636586,0.9861890934722294,1.141771906401026,0.8936687366744273
TPBPPI-PY,gas,stddft,S0S1,0.01896872451332915,0.999250032191771,0.01898296112307632,0.0007499678082291367,0.9810170388769236,0.965455071418957,0.7437690187829076
SPAC-FO,gas,stddft,S0S1,0.12511923126619637,0.8539826564349415,0.1465126139546234,0.14601734356505855,0.8534873860453767,1.6659809931018477,0.4057190197924052
9CzFDBFSPO,gas,stddft,S0S1,0.1776542479339173,0.939080686209979,0.189178896491748,0.06091931379002082,0.8108211035082519,0.5184743855245605,0.7903691402776475
oTPAPO-DTPZ,gas,stddft,S0T1,0.09674021730777609,0.3131421987949549,0.3089338252080214,0.6868578012050454,0.6910661747919784,1.3961300343189027,0.8810332277069128
SPAC-FO,gas,stda,S0T1,0.17245535982317897,0.8123139308316116,0.21230136930758614,0.18768606916838845,0.787698630692414,0.3756269382529475,0.5110467687172875
SPAC-FO,gas,stddft,S0T1,0.17325775767207435,0.8030077194317642,0.21576101135699852,0.19699228056823584,0.7842389886430015,0.4924281819879335,0.5320793051311452
oTPAPO-DTPZ,gas,stda,S0T1,0.08736139897817909,0.29426833467958846,0.29687665536049535,0.7057316653204115,0.7031233446395048,1.5104038723954027,0.869780312941738
oTPAPO-DTPZ,gas,stda,S0S1,0.03679025755917746,0.17030205066102752,0.21602944542579525,0.8296979493389725,0.7839705545742047,2.2732011926660363,0.765562348962087
oTPAPO-DTPZ,gas,stddft,S0S1,0.03694626159170536,0.17588025979596245,0.21006485682114912,0.8241197402040377,0.7899351431788507,2.2780747696486556,0.7619540220515381
DCE,gas,stda,S0S1,0.30091777565037403,0.8864146244680069,0.33947744920270656,0.11358537553199277,0.6605225507972934,1.638529830280843,0.715586475634588
DCE,gas,stda,S0T1,0.10620995165295043,0.8896109559019046,0.11938921272082664,0.11038904409809547,0.8806107872791733,0.24171735040915876,0.9783006902099051
DCE,gas,stddft,S0S1,0.3005222190561093,0.8861046297384295,0.3391498125281446,0.11389537026157069,0.6608501874718555,1.6257605836513587,0.7181660136099792
DCE,gas,stddft,S0T1,0.10496378207405346,0.891791414847528,0.11769992436179642,0.10820858515247193,0.8823000756382035,0.23154745971159255,0.9786014396288925
DCPDAPM,gas,stda,S0T1,0.11844100004187262,0.7102678036820187,0.1667554117304432,0.28973219631798147,0.8332445882695568,4.041582898919827,0.45732907630488645
DCPDAPM,gas,stda,S0S1,0.11484014607594711,0.6971974453048962,0.16471681996156134,0.3028025546951036,0.8352831800384388,4.398086115861558,0.3611194405641967
BTPBFCz-D3,gas,stddft,S0T1,0.16560430249963365,0.28002643536763394,0.5913881033489545,0.7199735646323658,0.40861189665104575,2.618040186609983,0.6693191410932724
DCPDAPM,gas,stddft,S0T1,0.11915600283331342,0.7126575460942819,0.16719952449300177,0.2873424539057182,0.8328004755069982,3.968136459779482,0.474118432559578
DCPDAPM,gas,stddft,S0S1,0.11473576882164406,0.6971587048711954,0.1645762550477545,0.3028412951288045,0.8354237449522453,4.404849315261666,0.3599010699390179
PXZ2PTO,gas,stda,S0S1,0.34149452349043163,0.4989978550874322,0.6843607041769678,0.501002144912568,0.3156392958230321,1.0889084500916208,0.6579109585017975
BTPBFCz-D3,gas,stda,S0T1,0.1628978819489677,0.277049226881245,0.5879745046853807,0.722950773118755,0.4120254953146191,2.6237435687436252,0.6664767505217232
PXZ2PTO,gas,stda,S0T1,0.31465944593507966,0.4920028544571779,0.639548008887551,0.5079971455428222,0.3604519911124491,1.0403013854446137,0.7008374963803161
PXZ2PTO,gas,stddft,S0S1,0.34288020378416273,0.500398476531318,0.6852143239143199,0.49960152346868203,0.31478567608568,1.099679075773172,0.6513971104923506
BTPBFCz-D3,gas,stddft,S0S1,0.24718790319809494,0.449699795470013,0.5496731501506276,0.5503002045299872,0.4503268498493727,0.6872019112482801,0.7164547920262594
PTZ-2PTO,gas,stda,S0T1,0.2769017096938671,0.43832593139073245,0.6317255947310848,0.5616740686092674,0.3682744052689153,1.2247040260231052,0.6914955450773073
PTZ-2PTO,gas,stddft,S0T1,0.27808908820979467,0.4411999429293013,0.6303017320524816,0.5588000570706987,0.36969826794751837,1.222931979615797,0.7004906063177465
PXZ2PTO,gas,stddft,S0T1,0.3126307627765596,0.4911207078822299,0.6365660371452471,0.5088792921177703,0.363433962854753,1.0320623677308631,0.7094491185532392
PTZ-2PTO,gas,stddft,S0S1,0.28175460903785227,0.41379460298758286,0.6809045043207274,0.5862053970124173,0.3190954956792728,0.9440889608144027,0.6201027154371115
PTZ-2PTO,gas,stda,S0S1,0.2824908104830391,0.4142076111173983,0.6820029446609399,0.5857923888826018,0.3179970553390598,0.9344151284240019,0.6274729052074808
BTPBFCz-D3,gas,stda,S0S1,0.2336997775731557,0.4073359420433041,0.5737273671477557,0.5926640579566959,0.4262726328522443,0.80006010347444,0.7202395122490307
PyDCN–DMAC,gas,stda,S0S1,0.1394019982305936,0.6970885666924143,0.1999774560814219,0.3029114333075861,0.8000225439185782,4.408536639801464,0.32248570045441705
PyDCN–DMAC,gas,stda,S0T1,0.3446611156118482,0.6726031348695376,0.5124286488475865,0.32739686513046246,0.48757135115241346,0.7100497997179527,0.7765611083137748
PyDCN–DMAC,gas,stddft,S0T1,0.34320682515773593,0.6700155419239252,0.5122371104590052,0.32998445807607457,0.4877628895409947,0.6941967656042284,0.7810166409462169
PyDCN–DMAC,gas,stddft,S0S1,0.14140832309077486,0.6970427715056486,0.2028689326844686,0.3029572284943511,0.7971310673155315,4.350563048076606,0.3331465533154214
DPIBPZ-DPXZ,gas,stda,S0S1,0.5234733830254987,0.9539885054413748,0.5487208494019613,0.0460114945586251,0.4512791505980388,4.55013287654022,0.48060293997364956
DPIBPZ-DPXZ,gas,stddft,S0S1,0.5249377324291051,0.9523466027937842,0.5512044993799092,0.047653397206215795,0.44879550062009055,4.541266153491123,0.4825745610079118
CPTBF,gas,stda,S0T1,0.06013177479474719,0.9572979427380491,0.06281406457717771,0.04270205726195093,0.9371859354228222,1.0404049251559484,0.7191751888630133
CPTBF,gas,stddft,S0T1,0.060161984907644836,0.9579928423735776,0.06280003591528312,0.04200715762642242,0.937199964084717,1.015064052684832,0.721780061748765
DPIBPZ-DPXZ,gas,stda,S0T1,0.14374739988927618,0.9764608683722718,0.14721265802376535,0.023539131627728384,0.8527873419762348,2.233594344898336,0.5687486434800271
FTAT-FBO,gas,stda,S0T1,0.14548179165154845,0.8344872688837008,0.1743367419447398,0.16551273111629936,0.8256632580552601,0.14903085554387605,0.9795275645521474
DPIBPZ-DPXZ,gas,stddft,S0T1,0.13868013965922033,0.9758268193681818,0.142115523888769,0.024173180631818125,0.8578844761112309,2.185565416734618,0.5814357446416842
FTAT-FBO,gas,stddft,S0T1,0.25991256917034133,0.4991251692691694,0.5207362504898547,0.5008748307308308,0.47926374951014555,0.4467415641137241,0.9709623516410734
CPTBF,gas,stddft,S0S1,0.13956063223246565,0.9600103317834562,0.1453740940195897,0.039989668216543914,0.8546259059804101,0.5196000748272378,0.7884734669558582
CPTBF,gas,stda,S0S1,0.13500131253332823,0.960699972600542,0.140523905884883,0.03930002739945824,0.8594760941151169,0.47064953614628185,0.7885178570245134
D-BP-PXZ,gas,stda,S0S1,0.13376986372765592,0.4507061064630189,0.2968006463844792,0.5492938935369812,0.7031993536155208,1.844595102976928,0.5215301329353514
D-BP-PXZ,gas,stda,S0T1,0.1351208954726062,0.4705236811135891,0.28717129635816707,0.5294763188864109,0.7128287036418328,1.8617836214011914,0.5592612098460887
D-BP-PXZ,gas,stddft,S0S1,0.12123136946256634,0.3608567467077403,0.33595428260276433,0.6391432532922596,0.664045717397236,1.734706306388134,0.5198848604561103
Me-MOC,gas,stda,S0T1,0.04206131451536464,0.9588288019848334,0.043867387408779525,0.041171198015166416,0.9561326125912205,0.7647270397117735,0.7123504483794415
Me-MOC,gas,stda,S0S1,0.0210896172131159,0.99829011910766,0.02112573971178563,0.0017098808923400577,0.9788742602882143,0.2234791192803022,0.7697223540569946
Me-MOC,gas,stddft,S0T1,0.04067564507087843,0.9601363800963714,0.04236444521224757,0.0398636199036287,0.9576355547877526,0.754892058928994,0.7144024862817167
D-BP-PXZ,gas,stddft,S0T1,0.1367100494760236,0.4717930866423479,0.28976696214215486,0.528206913357652,0.710233037857845,1.8217982898904677,0.572550051239723
19a,gas,stda,S0T1,0.24338736311917333,0.6058723218477157,0.4017139491979435,0.39412767815228433,0.5982860508020564,0.1087899962473682,0.9911311513645178
19a,gas,stda,S0S1,0.24173424255989756,0.6217516878685836,0.38879547458661934,0.3782483121314165,0.6112045254133806,0.07302433439189514,0.9910345089080036
Me-MOC,gas,stddft,S0S1,0.01942288203964949,0.9984969990529861,0.019452118592315167,0.0015030009470140154,0.9805478814076847,0.17136924282881522,0.7698209796122122
19a,gas,stddft,S0S1,0.24143056511676225,0.6204735338218593,0.3891069513145069,0.3795264661781406,0.6108930486854933,0.08751776865740837,0.9913602817910532
19a,gas,stddft,S0T1,0.24377112187646083,0.6044110997379806,0.4033200614319269,0.3955889002620194,0.5966799385680732,0.10710250423601829,0.9909774162844066
FTAT-FBO,gas,stda,S0S1,0.3584680620792397,0.980045186150903,0.36576687192058144,0.01995481384909714,0.6342331280794188,1.751635010613226,0.6449704210536059
FTAT-FBO,gas,stddft,S0S1,0.049330061252659194,0.6617810154469508,0.07454136655664392,0.3382189845530493,0.9254586334433563,2.091755975596429,0.6739716534754256
PCDMB,gas,stda,S0S1,0.018431986127005077,0.9958272764477851,0.018509219985170324,0.004172723552215017,0.9814907800148296,1.034355145018167,0.662373848758475
PCDMB,gas,stda,S0T1,0.01985523070530987,0.9960777803140641,0.019933413933849124,0.003922219685936142,0.9800665860661508,0.8958371329600101,0.7052239820023359
PCDMB,gas,stddft,S0S1,0.01846459705354427,0.9958025955749035,0.018542427119186373,0.004197404425096438,0.9814575728808134,1.0506163054420259,0.6554940737986568
TCP,gas,stddft,S0T1,0.2957314973802603,0.7081340214983317,0.4176208011507847,0.29186597850166823,0.5823791988492153,0.3369282877774348,0.6948641826348756
TCP,gas,stda,S0T1,0.29704392873509605,0.7097326258646732,0.41852934176895834,0.2902673741353269,0.5814706582310417,0.3404521643809965,0.691115893041033
PCDMB,gas,stddft,S0T1,0.020049344197784293,0.9961277823086856,0.02012728141294958,0.003872217691314333,0.9798727185870503,0.8892905317670589,0.7133119569013328
TCP,gas,stda,S0S1,0.3433720563781654,0.5884221829104603,0.5835470965417632,0.41157781708953967,0.4164529034582369,0.56624085440749,0.6975294783287751
TCP,gas,stddft,S0S1,0.3411762204838587,0.5797869898689363,0.5884509767302355,0.4202130101310636,0.4115490232697646,0.5494735386799918,0.6997094060104629
AI-4Cz,gas,stda,S0S1,0.15065641013209,0.5612171019737663,0.2684458645366305,0.4387828980262338,0.7315541354633693,0.9618368255278738,0.46674704047223653
AI-4Cz,gas,stda,S0T1,0.15612103083711582,0.5904405490953716,0.2644144801306629,0.40955945090462836,0.7355855198693373,0.7755964275188597,0.5759222676766385
DPQ-DMAC,gas,stda,S0T1,0.2385150054336296,0.6924400512418694,0.3444558196855605,0.30755994875813075,0.6555441803144394,3.675055185663564,0.4872018991770049
DPQ-DMAC,gas,stddft,S0S1,0.2387902112249806,0.6854707819767073,0.34835943048714046,0.3145292180232925,0.6516405695128596,4.172836751243372,0.3754084671728628
AI-4Cz,gas,stddft,S0T1,0.15546792812379837,0.5951956756705294,0.261204733970308,0.40480432432947056,0.7387952660296917,0.7461809242933758,0.58968244583653
DPQ-DMAC,gas,stda,S0S1,0.23900919936623272,0.6846566753802977,0.349093506221163,0.31534332461970205,0.6509064937788369,4.1776418074224715,0.37490593467517863
CBPMCN,gas,stda,S0T1,0.02704316576546558,0.9930750738173115,0.027231743579580074,0.006924926182688716,0.9727682564204204,0.7610455738500859,0.6981276292163837
DPQ-DMAC,gas,stddft,S0T1,0.2383328016597543,0.6943644959334406,0.34323875004490445,0.30563550406655926,0.656761249955096,3.5459042469557804,0.51147667148579
CBPMCN,gas,stddft,S0T1,0.026884037239115376,0.9932989851156777,0.02706540290684432,0.0067010148843224164,0.9729345970931556,0.7596154648470695,0.7008860968207482
AI-4Cz,gas,stddft,S0S1,0.31786330448476924,0.8255213088995093,0.3850455476534074,0.17447869110049094,0.6149544523465924,0.9787358836836484,0.6308921007995162
CBPMCN,gas,stda,S0S1,0.026515361213471412,0.9998180523176526,0.026520186499940496,0.00018194768234717574,0.9734798135000595,1.2492802216768688,0.7707259869071572
o-Ac2BBP,gas,stda,S0S1,0.10128355876883066,0.8304043514310722,0.12196896438979911,0.16959564856892775,0.8780310356102008,3.8681308231358775,0.4897337829794972
CBPMCN,gas,stddft,S0S1,0.11447866655681599,0.146750782672892,0.7800889676478887,0.853249217327108,0.21991103235211135,0.6364108435253506,0.7468211222853735
o-Ac2BBP,gas,stddft,S0S1,0.1024250143508351,0.8315606880447106,0.12317202559403338,0.16843931195528936,0.8768279744059668,3.728204053234132,0.5142397415702478
o-Ac2BBP,gas,stda,S0T1,0.10281883032227469,0.8409560756578967,0.12226421010376491,0.1590439243421034,0.877735789896235,1.505117746294788,0.7135908412065478
o-Ac2BBP,gas,stddft,S0T1,0.10303061266843937,0.8412677020800204,0.12247066232745876,0.1587322979199795,0.8775293376725413,1.4021321818050843,0.7226608622722996
V–TPA,gas,stddft,S0T1,0.1874816926634185,0.6508288181651231,0.28806605889392584,0.34917118183487683,0.7119339411060741,0.30796712565582757,0.7611965496304967
2tPAB,gas,stda,S0S1,0.05219383908648148,0.8052981320209968,0.06481306364823483,0.19470186797900324,0.9351869363517653,2.89914109148448,0.5501039101733827
V–TPA,gas,stda,S0T1,0.07558462862854211,0.9110351761225437,0.08296565336833403,0.08896482387745627,0.9170343466316659,1.0014583713563288,0.7622828851475304
V–TPA,gas,stda,S0S1,0.20093153302706243,0.6328259356913137,0.3175146935271548,0.3671740643086862,0.6824853064728453,0.46093812810499385,0.7310372689223689
2tPAB,gas,stda,S0T1,0.06404101365328307,0.8172828851959005,0.0783584421175449,0.18271711480409975,0.9216415578824552,1.9703455205665819,0.5703885252945705
V–TPA,gas,stddft,S0S1,0.19513364529017335,0.6809964304737981,0.28654136285914245,0.3190035695262018,0.7134586371408576,0.5946963987651994,0.7264214540704684
2tPAB,gas,stddft,S0T1,0.06556762779293805,0.8188198335191202,0.08007576894069822,0.18118016648087984,0.9199242310593021,1.8580248882658936,0.5728007580755217
DPVBi,gas,stda,S0S1,0.12916187679458754,0.8485129562656345,0.1522214550064599,0.15148704373436564,0.8477785449935399,0.193104461689451,0.9902751503044129
DPVBi,gas,stda,S0T1,0.11517013336310744,0.8769843716721631,0.13132518330230938,0.12301562832783687,0.8686748166976905,0.11550091766414061,0.9913351794315455
DPVBi,gas,stddft,S0T1,0.11284752001870216,0.8805613926264051,0.12815406280999633,0.11943860737359485,0.8718459371900037,0.10980787029204098,0.9913190494137337
PyIAnTPh,gas,stda,S0S1,0.21306065192506538,0.6859491012346979,0.3106070866505393,0.3140508987653022,0.6893929133494607,0.3061794836633485,0.9930666206232305
PyIAnTPh,gas,stddft,S0S1,0.21514787333033225,0.6838618787820455,0.31460720359717886,0.31613812121795437,0.6853927964028209,0.2697209746059227,0.9930882413288378
PyIAnTPh,gas,stda,S0T1,0.20931829143978922,0.7049658719650387,0.29691975138644716,0.29503412803496115,0.7030802486135531,0.16296154165187549,0.9943138962811173
DPVBi,gas,stddft,S0S1,0.13008808257285975,0.8465766329925856,0.15366368206149045,0.15342336700741468,0.8463363179385094,0.19584245497432942,0.9901257005830717
PyIAnTPh,gas,stddft,S0T1,0.20785867415245515,0.7075626297063492,0.29376717399379915,0.2924373702936508,0.7062328260062006,0.16516146052653957,0.9942031790510341
2tPAB,gas,stddft,S0S1,0.17502137802095385,0.5692651767727874,0.3074514043053975,0.43073482322721285,0.692548595694602,0.9135429659764369,0.6328259366841462
TBN-TPA,gas,stda,S0S1,0.053867191513327146,0.80789063680163,0.06667634090498036,0.19210936319836996,0.9333236590950196,2.4245167888147163,0.5518319784308241
TBN-TPA,gas,stda,S0T1,0.07268897324631739,0.8132450600258957,0.08938138922602591,0.18675493997410447,0.9106186107739742,1.3471866447066476,0.5742076183278413
TBN-TPA,gas,stddft,S0T1,0.07471575006287783,0.8139576456754537,0.09179316695388468,0.1860423543245464,0.9082068330461156,1.236648046771615,0.577155784687638
m-PCzTPD,gas,stda,S0T1,0.2745652070915566,0.7209290814377848,0.38084912117011216,0.2790709185622152,0.6191508788298877,1.3224687838339166,0.8896004930669492
o-Px2BBP,gas,stda,S0S1,0.01866444971357091,0.08982448782075166,0.20778798929326003,0.9101755121792484,0.7922120107067403,1.165192537689242,0.5129588460596969
m-PCzTPD,gas,stda,S0S1,0.3722882172908619,0.5206263241900236,0.7150775901891974,0.47937367580997636,0.28492240981080247,1.7893596193501529,0.7344365270271156
o-Px2BBP,gas,stda,S0T1,0.02891876062754524,0.1410456084879923,0.20503127277448835,0.8589543915120075,0.794968727225512,0.9385529231158,0.5542930317952104
TBN-TPA,gas,stddft,S0S1,0.1762031157524005,0.578130378004373,0.3047809325651241,0.42186962199562694,0.6952190674348759,0.961829591228729,0.5570126878289
m-PCzTPD,gas,stddft,S0S1,0.37681438347163393,0.5099812235302186,0.7388789353130097,0.4900187764697815,0.2611210646869902,1.9133019601443644,0.7277978566638587
o-Px2BBP,gas,stddft,S0S1,0.01846426959145039,0.08952878744740679,0.20623835213111902,0.9104712125525931,0.793761647868881,1.1738305489415053,0.5115493388975811
m-PCzTPD,gas,stddft,S0T1,0.2623936580168599,0.7160991589765682,0.36642084371648564,0.2839008410234317,0.6335791562835144,1.2981461390056337,0.9010483828609183
phenazasiline,gas,stda,S0S1,0.21467163010952905,0.4949695101359725,0.4337067752932031,0.5050304898640274,0.5662932247067968,0.5272654420492422,0.8841025742495016
phenazasiline,gas,stda,S0T1,0.28050490194390465,0.7088157304095187,0.3957374108808826,0.29118426959048144,0.6042625891191173,0.6307611466763984,0.7923611227443927
o-Px2BBP,gas,stddft,S0T1,0.03129041256484372,0.15265209484559952,0.20497859918982775,0.8473479051544005,0.7950214008101726,0.9089080729477085,0.5656055602157047
DCz-OTP,gas,stda,S0T1,0.32006818325691516,0.3475329138362935,0.9209722892827479,0.6524670861637065,0.07902771071725216,1.0610911559309348,0.6839796277920447
phenazasiline,gas,stddft,S0S1,0.21467441720394786,0.4949652373067803,0.4337161501927706,0.5050347626932196,0.5662838498072293,0.5273167155788452,0.8841051379755002
phenazasiline,gas,stddft,S0T1,0.28544826667907675,0.7545050532335441,0.3783251887522099,0.24549494676645597,0.6216748112477898,0.5747967581695799,0.8494302398066637
35CzBPym,gas,stda,S0S1,0.0642401530959066,0.6810841973583074,0.09432042814247074,0.3189158026416926,0.9056795718575296,2.582543242708869,0.502053043514114
DCz-OTP,gas,stddft,S0T1,0.3148520903685238,0.34184081774241554,0.9210488450380775,0.6581591822575845,0.07895115496192247,1.0389591017455564,0.687535994897885
DCz-OTP,gas,stda,S0S1,0.02810029246141928,0.9988961489372141,0.028131345276800675,0.001103851062785821,0.9718686547231995,0.8603864082175475,0.7864109908284236
35CzBPym,gas,stda,S0T1,0.07774102961944201,0.6794956773343849,0.11440989576918982,0.3205043226656152,0.8855901042308102,2.3474441753236954,0.5135445244732585
35CzBPym,gas,stddft,S0T1,0.08017786875410557,0.6798635968485974,0.1179322868966035,0.3201364031514029,0.8820677131033964,2.3036312818673905,0.5195153926393878
DCz-OTP,gas,stddft,S0S1,0.026512054533275868,0.9988674447884782,0.02654211494388037,0.0011325552115218239,0.9734578850561197,0.8688389544092896,0.7887371291174313
TS-1,gas,stda,S0T1,0.3333660588494732,0.5819424788608555,0.5728505324135003,0.4180575211391447,0.42714946758649974,0.8825329402778822,0.7215781149401311
