molecule,environment,method,transition,CT_number,Lambda_D,Lambda_A,hole_on_A,particle_on_D,Delta_r,S_he
DBP-3TPA,gas,stda,S0T1,0.283917417990209,0.7582744431519041,0.3744256720694096,0.24172555684809588,0.6255743279305904,1.1092770906903173,0.8603711727935596
5-Cz-Sac,gas,stddft,S0T1,0.1506817009389256,0.8166961170031912,0.18450155180343147,0.18330388299680891,0.8154984481965686,0.42259471620991546,0.6921481871838202
DBP-3TPA,gas,stda,S0S1,0.20616822275599458,0.4931432375950952,0.41806965408551944,0.5068567624049047,0.5819303459144806,1.0548001160461142,0.8670248153475895
PmPmP,gas,stddft,S0T1,0.15219855084865877,0.9421333577444968,0.1615467169244786,0.05786664225550314,0.8384532830755212,0.6054578922932132,0.7083916172691551
5-Cz-Sac,gas,stda,S0T1,0.15286769008791365,0.8170633614302687,0.18709404595051096,0.18293663856973136,0.8129059540494888,0.4256339951762116,0.6906208228089186
PPINCN-Cz,gas,stda,S0S1,0.18959530027534474,0.8502228632931422,0.22299482695747685,0.14977713670685788,0.777005173042523,1.7217319099091768,0.7813420359951472
PmPmP,gas,stddft,S0S1,0.12555697626864135,0.94319864570329,0.13311827454440478,0.05680135429671004,0.8668817254555952,0.436387300591723,0.6497037457657848
PPINCN-Cz,gas,stda,S0T1,0.023666932762062845,0.9855357245883618,0.024014281950000382,0.014464275411638241,0.9759857180499998,0.21337365015519494,0.9867530087114316
PmPmP,gas,stda,S0T1,0.15170500414178678,0.9423521184639053,0.16098547577849745,0.05764788153609448,0.8390145242215025,0.5970908048614545,0.6998981217914881
PmPmP,gas,stda,S0S1,0.12625218259589913,0.9428703843979107,0.1339019494991563,0.057129615602089276,0.8660980505008437,0.43645680473763054,0.6567977954185605
oPTBC,gas,stddft,S0T1,0.03641410165757053,0.5265227251207301,0.06915960113444465,0.47347727487927005,0.9308403988655555,2.263068913160918,0.5265744126390419
oPTBC,gas,stddft,S0S1,0.03439868320267387,0.5022038244773585,0.06849546245186891,0.49779617552264155,0.9315045375481312,2.2475766039652827,0.4754744085223732
DMAC-11-DPPZ,gas,stda,S0S1,0.2789329715457367,0.6922950598918852,0.4029105329587319,0.3077049401081145,0.597089467041268,3.914390031219375,0.3698649555907383
oPTBC,gas,stda,S0T1,0.03584066545560038,0.5224763650076092,0.06859767801186262,0.4775236349923907,0.9314023219881377,2.276556996287371,0.5167714771752875
DBP-3TPA,gas,stddft,S0T1,0.2788307829727748,0.7488346903794504,0.3723529192157021,0.2511653096205497,0.6276470807842979,0.9853105119256153,0.8713188836543445
oPTBC,gas,stda,S0S1,0.03467458944862696,0.5036153941953943,0.0688513295031919,0.49638460580460586,0.9311486704968084,2.243305794114752,0.47754241670080766
DBP-3TPA,gas,stddft,S0S1,0.20617274891160317,0.49313564216922123,0.41808527163983467,0.5068643578307788,0.5819147283601652,1.0547223700674446,0.8671078795413163
