molecule,environment,method,S1_energy_eV,S1_wavelength_nm,S1_osc_strength,T1_energy_eV,T1_wavelength_nm,Delta_E_ST_eV,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV
B-O-dpa,gas,stda,3.243,382.3,0.3698,2.704,458.5,0.5389999999999997,-13.944,-7.346,6.598000000000001
B-O-dpa,gas,stddft,3.152,393.3,0.2911,2.679,462.8,0.4730000000000003,-13.944,-7.346,6.598000000000001
B-O-dpa,toluene,stda,3.224,384.6,0.3692,2.678,462.9,0.5460000000000003,-13.93,-7.366,6.564
B-O-dpa,toluene,stddft,3.131,395.9,0.2888,2.653,467.4,0.47799999999999976,-13.93,-7.366,6.564
B-dpa-Cz,gas,stda,3.058,405.4,0.6136,2.567,483.0,0.49099999999999966,-13.765,-7.537,6.228000000000001
B-dpa-Cz,gas,stddft,2.981,416.0,0.4897,2.543,487.5,0.4379999999999997,-13.765,-7.537,6.228000000000001
B-dpa-Cz,toluene,stda,3.04,407.9,0.6046,2.55,486.3,0.4900000000000002,-13.703,-7.505,6.1979999999999995
B-dpa-Cz,toluene,stddft,2.963,418.5,0.4818,2.526,490.9,0.4370000000000003,-13.703,-7.505,6.1979999999999995
B-dpa-SpiroAC,gas,stda,2.983,415.7,0.5783,2.536,488.8,0.44700000000000006,-13.527,-7.26,6.2669999999999995
B-dpa-SpiroAC,gas,stddft,2.91,426.1,0.4702,2.514,493.2,0.39600000000000035,-13.527,-7.26,6.2669999999999995
B-dpa-SpiroAC,toluene,stda,2.955,419.6,0.567,2.515,493.0,0.43999999999999995,-13.395,-7.166,6.228999999999999
B-dpa-SpiroAC,toluene,stddft,2.884,430.0,0.4608,2.492,497.4,0.3919999999999999,-13.395,-7.166,6.228999999999999
B4PyPPM,gas,stda,4.044,306.6,0.0117,3.998,310.1,0.045999999999999375,-15.831,-7.75,8.081
B4PyPPM,gas,stddft,4.041,306.8,0.0115,3.958,313.3,0.08300000000000018,-15.831,-7.75,8.081
B4PyPPM,toluene,stda,3.96,313.1,0.0102,3.989,310.8,-0.028999999999999915,-15.702,-7.586,8.116
B4PyPPM,toluene,stddft,3.958,313.2,0.01,3.975,311.9,-0.016999999999999904,-15.702,-7.586,8.116
BACF,gas,stda,3.144,394.3,0.0999,2.567,483.0,0.577,-13.546,-7.037,6.5089999999999995
BACF,gas,stddft,3.054,405.9,0.0772,2.532,489.8,0.5219999999999998,-13.546,-7.037,6.5089999999999995
BACF,toluene,stda,3.062,405.0,0.0969,2.494,497.2,0.5679999999999996,-13.437,-7.035,6.401999999999999
BACF,toluene,stddft,2.972,417.2,0.0747,2.459,504.2,0.5129999999999999,-13.437,-7.035,6.401999999999999
BACH,gas,stda,3.218,385.3,0.1093,2.643,469.1,0.5750000000000002,-13.454,-6.855,6.599
BACH,gas,stddft,3.133,395.8,0.0866,2.608,475.4,0.5249999999999999,-13.454,-6.855,6.599
BACH,toluene,stda,3.173,390.8,0.1087,2.599,477.0,0.5739999999999998,-13.374,-6.836,6.538
BACH,toluene,stddft,3.086,401.7,0.0853,2.564,483.5,0.5219999999999998,-13.374,-6.836,6.538
BACN,gas,stda,3.114,398.2,0.2191,2.544,487.3,0.5699999999999998,-13.741,-7.373,6.367999999999999
BACN,gas,stddft,3.033,408.8,0.1769,2.509,494.2,0.524,-13.741,-7.373,6.367999999999999
BACN,toluene,stda,3.007,412.3,0.2295,2.439,508.4,0.5680000000000001,-13.565,-7.359,6.2059999999999995
BACN,toluene,stddft,2.924,424.0,0.1838,2.403,515.9,0.5209999999999999,-13.565,-7.359,6.2059999999999995
BACQ,gas,stda,3.215,385.7,0.5309,2.499,496.1,0.7159999999999997,-13.989,-7.527,6.462000000000001
BACQ,gas,stddft,3.102,399.7,0.3947,2.465,503.0,0.637,-13.989,-7.527,6.462000000000001
BACQ,toluene,stda,3.205,386.8,0.5103,2.46,504.0,0.7450000000000001,-13.952,-7.513,6.439
BACQ,toluene,stddft,3.084,402.0,0.3751,2.423,511.6,0.661,-13.952,-7.513,6.439
BANE,gas,stda,3.184,389.5,1.0624,2.257,549.2,0.927,-14.264,-7.879,6.385
BANE,gas,stddft,3.068,404.1,0.8156,2.186,567.2,0.8820000000000001,-14.264,-7.879,6.385
BANE,toluene,stda,3.171,391.0,1.0613,2.252,550.5,0.919,-14.228,-7.865,6.3629999999999995
BANE,toluene,stddft,3.056,405.7,0.8189,2.181,568.4,0.875,-14.228,-7.865,6.3629999999999995
BAPCN,gas,stda,3.189,388.8,0.2865,2.606,475.8,0.5830000000000002,-13.594,-7.437,6.156999999999999
BAPCN,gas,stddft,3.114,398.2,0.231,2.571,482.2,0.5429999999999997,-13.594,-7.437,6.156999999999999
BAPCN,toluene,stda,3.14,394.8,0.3018,2.566,483.2,0.5740000000000003,-13.384,-7.408,5.976
BAPCN,toluene,stddft,3.064,404.6,0.241,2.531,489.8,0.5329999999999999,-13.384,-7.408,5.976
BBA-Pyr,gas,stda,3.787,327.4,1.7893,3.331,372.2,0.45599999999999996,-13.695,-7.497,6.198
BBA-Pyr,gas,stddft,3.764,329.4,1.6296,3.309,374.7,0.4549999999999996,-13.695,-7.497,6.198
BBA-Pyr,toluene,stda,3.794,326.8,1.7145,3.331,372.2,0.4630000000000001,-13.558,-7.431,6.127
BBA-Pyr,toluene,stddft,3.77,328.9,1.5387,3.309,374.7,0.46099999999999985,-13.558,-7.431,6.127
BBCz,gas,stda,3.81,325.5,0.0006,3.332,372.1,0.4780000000000002,-13.968,-6.594,7.374
BBCz,gas,stddft,3.759,329.8,0.001,3.297,376.1,0.46199999999999974,-13.968,-6.594,7.374
BBCz,toluene,stda,3.81,325.4,0.0006,3.341,371.1,0.46899999999999986,-14.014,-6.63,7.3839999999999995
BBCz,toluene,stddft,3.759,329.8,0.0011,3.306,375.1,0.45299999999999985,-14.014,-6.63,7.3839999999999995
BBPA,gas,stda,3.212,386.0,0.3976,2.249,551.3,0.9630000000000001,-14.004,-7.598,6.406
BBPA,gas,stddft,3.038,408.1,0.2757,2.177,569.5,0.8609999999999998,-14.004,-7.598,6.406
BBPA,toluene,stda,3.175,390.6,0.4158,2.225,557.2,0.9499999999999997,-14.12,-7.757,6.3629999999999995
BBPA,toluene,stddft,3.001,413.1,0.2878,2.154,575.5,0.847,-14.12,-7.757,6.3629999999999995
BCN,gas,stda,3.097,400.3,0.2914,2.602,476.4,0.4950000000000001,-13.716,-7.483,6.233
BCN,gas,stddft,3.038,408.2,0.2428,2.572,482.0,0.46599999999999975,-13.716,-7.483,6.233
BCN,toluene,stda,2.97,417.4,0.2981,2.478,500.4,0.492,-13.456,-7.41,6.045999999999999
BCN,toluene,stddft,2.909,426.2,0.2467,2.448,506.5,0.46099999999999985,-13.456,-7.41,6.045999999999999
BCPBT,gas,stda,3.745,331.0,1.5437,2.879,430.6,0.8660000000000001,-14.169,-7.989,6.180000000000001
BCPBT,gas,stddft,3.66,338.8,1.2758,2.827,438.5,0.8330000000000002,-14.169,-7.989,6.180000000000001
BCPBT,toluene,stda,3.66,338.8,1.4989,2.859,433.6,0.8010000000000002,-14.09,-7.897,6.193
BCPBT,toluene,stddft,3.564,347.9,1.2035,2.807,441.6,0.7570000000000001,-14.09,-7.897,6.193
BCZ-DPS-AD,gas,stda,3.803,326.0,0.1581,3.383,366.4,0.41999999999999993,-13.618,-6.839,6.779
BCZ-DPS-AD,gas,stddft,3.732,332.3,0.1312,3.36,369.0,0.37200000000000033,-13.618,-6.839,6.779
BCZ-DPS-AD,toluene,stda,3.786,327.5,0.126,3.344,370.8,0.44200000000000017,-13.439,-6.714,6.725
BCZ-DPS-AD,toluene,stddft,3.71,334.1,0.1048,3.321,373.4,0.3889999999999998,-13.439,-6.714,6.725
BCzBMes,gas,stda,3.819,324.6,0.1929,3.379,366.9,0.43999999999999995,-14.031,-7.128,6.9030000000000005
BCzBMes,gas,stddft,3.751,330.6,0.1576,3.357,369.3,0.3939999999999997,-14.031,-7.128,6.9030000000000005
BCzBMes,toluene,stda,3.804,326.0,0.1721,3.361,368.9,0.4429999999999996,-13.962,-6.997,6.965
BCzBMes,toluene,stddft,3.734,332.0,0.141,3.339,371.4,0.395,-13.962,-6.997,6.965
BCzPh,gas,stda,3.857,321.5,0.3548,3.376,367.2,0.4810000000000003,-13.889,-6.571,7.318
BCzPh,gas,stddft,3.788,327.3,0.2889,3.354,369.6,0.4339999999999997,-13.889,-6.571,7.318
BCzPh,toluene,stda,3.841,322.8,0.1603,3.354,369.7,0.4870000000000001,-13.84,-6.533,7.3069999999999995
BCzPh,toluene,stddft,3.77,328.9,0.1118,3.331,372.2,0.43900000000000006,-13.84,-6.533,7.3069999999999995
BDAPM,gas,stda,3.458,358.6,1.193,3.028,409.4,0.43000000000000016,-13.775,-7.036,6.739000000000001
BDAPM,gas,stddft,3.425,362.0,1.0857,3.001,413.2,0.42399999999999993,-13.775,-7.036,6.739000000000001
BDAPM,toluene,stda,3.379,366.9,1.169,2.943,421.2,0.43599999999999994,-13.577,-6.938,6.639
BDAPM,toluene,stddft,3.347,370.5,1.0582,2.914,425.4,0.43299999999999983,-13.577,-6.938,6.639
BDAVBi,gas,stda,3.493,355.0,2.0785,2.842,436.2,0.6509999999999998,-13.599,-7.546,6.053
BDAVBi,gas,stddft,3.463,358.0,1.9389,2.798,443.1,0.665,-13.599,-7.546,6.053
BDAVBi,toluene,stda,3.48,356.3,2.1444,2.829,438.3,0.6509999999999998,-13.512,-7.497,6.015000000000001
BDAVBi,toluene,stddft,3.45,359.4,1.9925,2.786,445.0,0.6640000000000001,-13.512,-7.497,6.015000000000001
BDBFCz-Trz,gas,stda,3.772,328.7,0.7341,3.385,366.3,0.387,-14.166,-7.712,6.454000000000001
BDBFCz-Trz,gas,stddft,3.718,333.5,0.5983,3.364,368.5,0.3540000000000001,-14.166,-7.712,6.454000000000001
BDBFCz-Trz,toluene,stda,3.763,329.4,0.7852,3.381,366.7,0.3820000000000001,-14.08,-7.649,6.431
BDBFCz-Trz,toluene,stddft,3.713,333.9,0.642,3.36,369.0,0.3530000000000002,-14.08,-7.649,6.431
BDBTCz-Trz,gas,stda,3.809,325.5,0.6731,3.422,362.3,0.387,-14.086,-7.704,6.382000000000001
BDBTCz-Trz,gas,stddft,3.757,330.0,0.5514,3.402,364.5,0.355,-14.086,-7.704,6.382000000000001
BDBTCz-Trz,toluene,stda,3.797,326.5,0.7733,3.406,364.0,0.391,-14.017,-7.649,6.367999999999999
BDBTCz-Trz,toluene,stddft,3.747,330.9,0.6314,3.385,366.2,0.3620000000000001,-14.017,-7.649,6.367999999999999
BDPCC,gas,stda,3.77,328.9,0.3476,3.326,372.7,0.44399999999999995,-14.052,-7.068,6.984
BDPCC,gas,stddft,3.719,333.4,0.3072,3.304,375.2,0.41500000000000004,-14.052,-7.068,6.984
BDPCC,toluene,stda,3.81,325.4,0.211,3.362,368.8,0.44799999999999995,-13.988,-6.951,7.037
BDPCC,toluene,stddft,3.76,329.8,0.1949,3.339,371.3,0.4209999999999998,-13.988,-6.951,7.037
BDQ-tBuCz,gas,stda,2.753,450.3,0.3225,2.457,504.6,0.29600000000000026,-13.809,-7.888,5.920999999999999
BDQ-tBuCz,gas,stddft,2.722,455.5,0.2818,2.433,509.5,0.28900000000000015,-13.809,-7.888,5.920999999999999
BDQ-tBuCz,toluene,stda,2.786,445.1,0.3467,2.472,501.5,0.31400000000000006,-13.717,-7.79,5.9270000000000005
BDQ-tBuCz,toluene,stddft,2.752,450.5,0.3016,2.448,506.5,0.3039999999999998,-13.717,-7.79,5.9270000000000005
BDQC-2,gas,stda,3.36,369.0,0.2749,3.009,412.0,0.351,-13.553,-7.895,5.658000000000001
BDQC-2,gas,stddft,3.329,372.5,0.2634,2.985,415.4,0.3440000000000003,-13.553,-7.895,5.658000000000001
BDQC-2,toluene,stda,3.339,371.4,0.2903,2.987,415.1,0.35199999999999987,-13.442,-7.874,5.5680000000000005
BDQC-2,toluene,stddft,3.307,374.9,0.2736,2.963,418.4,0.34399999999999986,-13.442,-7.874,5.5680000000000005
BDQDMAC,gas,stda,2.629,471.7,0.1292,2.497,496.5,0.13200000000000012,-13.52,-7.893,5.627
BDQDMAC,gas,stddft,2.616,473.9,0.1175,2.485,498.9,0.13100000000000023,-13.52,-7.893,5.627
BDQDMAC,toluene,stda,2.664,465.4,0.1313,2.527,490.6,0.137,-13.42,-7.806,5.614
BDQDMAC,toluene,stddft,2.651,467.6,0.1193,2.514,493.1,0.137,-13.42,-7.806,5.614
BDQPCz,gas,stda,3.396,365.1,0.183,3.055,405.9,0.34099999999999975,-14.095,-8.109,5.986000000000001
BDQPCz,gas,stddft,3.381,366.8,0.2038,3.02,410.6,0.36099999999999977,-14.095,-8.109,5.986000000000001
BDQPCz,toluene,stda,3.437,360.8,0.1326,3.091,401.1,0.34599999999999964,-14.059,-8.0,6.058999999999999
BDQPCz,toluene,stddft,3.426,361.9,0.1562,3.054,405.9,0.37200000000000033,-14.059,-8.0,6.058999999999999
BFCZPZ1,gas,stda,3.546,349.6,0.9595,3.139,395.0,0.40700000000000003,-13.954,-7.161,6.793000000000001
BFCZPZ1,gas,stddft,3.504,353.8,0.8394,3.114,398.1,0.3900000000000001,-13.954,-7.161,6.793000000000001
BFCZPZ1,toluene,stda,3.475,356.8,0.9062,3.086,401.8,0.38900000000000023,-13.972,-7.202,6.77
BFCZPZ1,toluene,stddft,3.434,361.0,0.7858,3.063,404.7,0.371,-13.972,-7.202,6.77
BFCZPZ2,gas,stda,3.585,345.9,1.8042,3.162,392.1,0.42300000000000004,-14.043,-7.218,6.824999999999999
BFCZPZ2,gas,stddft,3.546,349.6,1.5898,3.138,395.1,0.4079999999999999,-14.043,-7.218,6.824999999999999
BFCZPZ2,toluene,stda,3.59,345.4,1.6787,3.166,391.6,0.42399999999999993,-14.023,-7.179,6.843999999999999
BFCZPZ2,toluene,stddft,3.551,349.1,1.4799,3.142,394.6,0.40900000000000025,-14.023,-7.179,6.843999999999999
BFCZPZ3,gas,stda,3.694,335.7,0.6531,3.278,378.2,0.4159999999999999,-14.168,-7.046,7.121999999999999
BFCZPZ3,gas,stddft,3.66,338.8,0.5806,3.255,380.9,0.40500000000000025,-14.168,-7.046,7.121999999999999
BFCZPZ3,toluene,stda,3.685,336.4,0.6773,3.248,381.8,0.43699999999999983,-14.126,-7.01,7.116
BFCZPZ3,toluene,stddft,3.649,339.8,0.5973,3.225,384.5,0.42399999999999993,-14.126,-7.01,7.116
BFDMAc-NAI,gas,stda,2.554,485.5,0.0906,2.416,513.3,0.1379999999999999,-13.635,-8.407,5.228
BFDMAc-NAI,gas,stddft,2.544,487.3,0.086,2.401,516.3,0.14300000000000024,-13.635,-8.407,5.228
BFDMAc-NAI,toluene,stda,2.267,546.9,0.1178,2.103,589.7,0.1639999999999997,-13.447,-8.424,5.023
BFDMAc-NAI,toluene,stddft,2.253,550.3,0.1086,2.09,593.1,0.16300000000000026,-13.447,-8.424,5.023
BICFOCz,gas,stda,3.898,318.1,0.0528,3.412,363.3,0.4860000000000002,-13.98,-6.887,7.093000000000001
BICFOCz,gas,stddft,3.828,323.9,0.0458,3.388,365.9,0.43999999999999995,-13.98,-6.887,7.093000000000001
BICFOCz,toluene,stda,3.887,319.0,0.0762,3.429,361.5,0.4580000000000002,-13.911,-6.67,7.241
BICFOCz,toluene,stddft,3.816,324.9,0.062,3.406,364.1,0.4099999999999997,-13.911,-6.67,7.241
BIPOCz,gas,stda,3.894,318.4,0.0278,3.401,364.6,0.4930000000000003,-13.944,-6.582,7.362000000000001
BIPOCz,gas,stddft,3.822,324.4,0.0284,3.373,367.6,0.44899999999999984,-13.944,-6.582,7.362000000000001
BIPOCz,toluene,stda,3.893,318.5,0.0418,3.411,363.5,0.48199999999999976,-13.785,-6.416,7.369
BIPOCz,toluene,stddft,3.822,324.4,0.0368,3.384,366.4,0.43800000000000017,-13.785,-6.416,7.369
BMIM,gas,stda,2.943,421.3,1.5017,2.415,513.4,0.528,-13.835,-9.026,4.809000000000001
BMIM,gas,stddft,2.888,429.3,1.2952,2.383,520.2,0.5049999999999999,-13.835,-9.026,4.809000000000001
BMIM,toluene,stda,2.574,481.6,0.1473,2.075,597.4,0.49899999999999967,-13.46,-9.065,4.395000000000001
BMIM,toluene,stddft,2.56,484.3,0.1524,2.048,605.3,0.512,-13.46,-9.065,4.395000000000001
BMZ-TZ,gas,stda,3.334,371.9,0.0092,3.355,369.6,-0.020999999999999908,-14.862,-8.189,6.673
BMZ-TZ,gas,stddft,3.333,372.0,0.0089,3.354,369.7,-0.020999999999999908,-14.862,-8.189,6.673
BMZ-TZ,toluene,stda,3.373,367.6,0.0077,3.381,366.7,-0.007999999999999563,-14.859,-8.058,6.801
BMZ-TZ,toluene,stddft,3.372,367.7,0.0075,3.378,367.1,-0.006000000000000227,-14.859,-8.058,6.801
BN-DBC-Ph2,gas,stda,2.586,479.4,0.2978,1.876,661.0,0.71,-13.58,-8.132,5.448
BN-DBC-Ph2,gas,stddft,2.51,493.9,0.3149,1.833,676.2,0.6769999999999998,-13.58,-8.132,5.448
BN-DBC-Ph2,toluene,stda,2.45,506.1,0.3011,1.844,672.5,0.6060000000000001,-13.569,-8.304,5.265000000000001
BN-DBC-Ph2,toluene,stddft,2.382,520.5,0.2694,1.806,686.5,0.5760000000000001,-13.569,-8.304,5.265000000000001
BO3N,gas,stda,3.002,413.0,0.1038,2.027,611.5,0.9749999999999996,-13.757,-7.875,5.882
BO3N,gas,stddft,2.892,428.7,0.0568,1.951,635.5,0.9409999999999998,-13.757,-7.875,5.882
BO3N,toluene,stda,2.989,414.8,0.1408,2.046,606.0,0.9430000000000001,-13.842,-7.995,5.847
BO3N,toluene,stddft,2.901,427.3,0.0844,1.969,629.8,0.9319999999999997,-13.842,-7.995,5.847
BP-mDTC,gas,stda,3.698,335.3,0.1663,3.398,364.9,0.2999999999999998,-14.091,-7.789,6.302
BP-mDTC,gas,stddft,3.665,338.3,0.1636,3.382,366.5,0.2829999999999999,-14.091,-7.789,6.302
BP-mDTC,toluene,stda,3.667,338.1,0.1369,3.381,366.7,0.28600000000000003,-13.956,-7.741,6.215
BP-mDTC,toluene,stddft,3.637,340.9,0.1314,3.362,368.8,0.2749999999999999,-13.956,-7.741,6.215
BPBiPA,gas,stda,3.196,387.9,0.6911,2.254,550.1,0.9420000000000002,-14.451,-8.13,6.321
BPBiPA,gas,stddft,3.039,408.0,0.504,2.184,567.7,0.855,-14.451,-8.13,6.321
BPBiPA,toluene,stda,3.219,385.1,0.6309,2.259,548.9,0.96,-14.228,-7.854,6.374
BPBiPA,toluene,stddft,3.053,406.1,0.4545,2.188,566.7,0.8649999999999998,-14.228,-7.854,6.374
BPCN-2Cz,gas,stda,3.859,321.3,0.1982,3.381,366.7,0.4780000000000002,-13.907,-7.298,6.609
BPCN-2Cz,gas,stddft,3.791,327.0,0.1616,3.359,369.1,0.43199999999999994,-13.907,-7.298,6.609
BPCN-2Cz,toluene,stda,3.845,322.4,0.1735,3.363,368.7,0.4820000000000002,-13.852,-7.227,6.625
BPCN-2Cz,toluene,stddft,3.776,328.3,0.1418,3.34,371.2,0.43599999999999994,-13.852,-7.227,6.625
BPCN-Cz2Ph,gas,stda,3.866,320.7,0.1492,3.452,359.2,0.41400000000000015,-14.108,-7.329,6.779000000000001
BPCN-Cz2Ph,gas,stddft,3.805,325.8,0.1257,3.43,361.5,0.375,-14.108,-7.329,6.779000000000001
BPCN-Cz2Ph,toluene,stda,3.846,322.4,0.1626,3.411,363.5,0.43500000000000005,-14.054,-7.234,6.82
BPCN-Cz2Ph,toluene,stddft,3.783,327.7,0.1368,3.389,365.9,0.39400000000000013,-14.054,-7.234,6.82
BPCP-2CPC,gas,stda,3.5,354.3,0.1501,3.216,385.5,0.2839999999999998,-14.121,-7.971,6.15
BPCP-2CPC,gas,stddft,3.478,356.5,0.1344,3.198,387.6,0.28000000000000025,-14.121,-7.971,6.15
BPCP-2CPC,toluene,stda,3.253,381.1,0.2061,2.932,422.8,0.3210000000000002,-13.75,-7.763,5.987
BPCP-2CPC,toluene,stddft,3.227,384.2,0.1816,2.915,425.4,0.31199999999999983,-13.75,-7.763,5.987
BPPyA,gas,stda,2.797,443.3,0.9898,2.263,547.8,0.5340000000000003,-13.135,-7.387,5.748
BPPyA,gas,stddft,2.739,452.7,0.831,2.208,561.5,0.5309999999999997,-13.135,-7.387,5.748
BPPyA,toluene,stda,2.766,448.2,1.0314,2.231,555.7,0.5350000000000001,-13.041,-7.336,5.705
BPPyA,toluene,stddft,2.707,458.0,0.8645,2.175,570.0,0.532,-13.041,-7.336,5.705
BPZPP,gas,stda,2.971,417.4,0.1778,2.666,465.1,0.30500000000000016,-13.401,-8.278,5.122999999999999
BPZPP,gas,stddft,2.945,421.0,0.1558,2.64,469.7,0.3049999999999997,-13.401,-8.278,5.122999999999999
BPZPP,toluene,stda,2.95,420.3,0.1731,2.636,470.3,0.31400000000000006,-13.464,-8.327,5.1370000000000005
BPZPP,toluene,stddft,2.923,424.2,0.1517,2.611,474.8,0.31199999999999983,-13.464,-8.327,5.1370000000000005
BPy-TP2,gas,stda,3.88,319.5,0.0004,3.578,346.5,0.30200000000000005,-14.946,-7.811,7.135
BPy-TP2,gas,stddft,3.853,321.8,0.0004,3.539,350.4,0.31400000000000006,-14.946,-7.811,7.135
BPy-TP2,toluene,stda,3.88,319.5,0.0004,3.586,345.8,0.29400000000000004,-14.942,-7.831,7.111
BPy-TP2,toluene,stddft,3.852,321.8,0.0004,3.546,349.6,0.30600000000000005,-14.942,-7.831,7.111
BSBFB,gas,stda,4.473,277.2,1.4663,3.688,336.2,0.7849999999999997,-14.845,-7.167,7.678000000000001
BSBFB,gas,stddft,4.435,279.6,1.2993,3.65,339.7,0.7849999999999997,-14.845,-7.167,7.678000000000001
BSBFB,toluene,stda,4.503,275.4,1.4124,3.7,335.1,0.8029999999999999,-14.794,-7.102,7.692
BSBFB,toluene,stddft,4.461,277.9,1.2157,3.663,338.5,0.7980000000000005,-14.794,-7.102,7.692
BTCZPZ1,gas,stda,3.46,358.4,0.8727,3.081,402.4,0.379,-13.948,-7.227,6.721
BTCZPZ1,gas,stddft,3.418,362.8,0.7561,3.06,405.2,0.3580000000000001,-13.948,-7.227,6.721
BTCZPZ1,toluene,stda,3.457,358.6,0.7737,3.086,401.7,0.371,-13.932,-7.188,6.744000000000001
BTCZPZ1,toluene,stddft,3.418,362.7,0.6728,3.065,404.5,0.3530000000000002,-13.932,-7.188,6.744000000000001
BTCz3CzTPN,gas,stda,3.018,410.8,0.4602,2.739,452.6,0.2789999999999999,-14.157,-7.976,6.181
BTCz3CzTPN,gas,stddft,2.979,416.3,0.401,2.727,454.6,0.2520000000000002,-14.157,-7.976,6.181
BTCz3CzTPN,toluene,stda,2.866,432.6,0.5234,2.553,485.6,0.31300000000000017,-13.679,-7.576,6.103000000000001
BTCz3CzTPN,toluene,stddft,2.818,440.0,0.4491,2.539,488.3,0.2789999999999999,-13.679,-7.576,6.103000000000001
BTD-PXZ,gas,stda,2.876,431.1,0.1398,2.606,475.7,0.27,-13.19,-7.548,5.6419999999999995
BTD-PXZ,gas,stddft,2.851,435.0,0.1205,2.588,479.1,0.2629999999999999,-13.19,-7.548,5.6419999999999995
BTD-PXZ,toluene,stda,2.82,439.7,0.1282,2.569,482.7,0.2509999999999999,-13.204,-7.659,5.545000000000001
BTD-PXZ,toluene,stddft,2.796,443.4,0.1103,2.552,485.9,0.24399999999999977,-13.204,-7.659,5.545000000000001
BTITrz,gas,stda,3.824,324.3,0.7476,3.437,360.7,0.387,-14.067,-7.933,6.134
BTITrz,gas,stddft,3.8,326.3,0.7056,3.415,363.0,0.3849999999999998,-14.067,-7.933,6.134
BTITrz,toluene,stda,3.801,326.2,0.7101,3.42,362.5,0.3810000000000002,-14.069,-7.92,6.149000000000001
BTITrz,toluene,stddft,3.777,328.3,0.6713,3.399,364.8,0.3780000000000001,-14.069,-7.92,6.149000000000001
BTPBFCz,gas,stda,3.771,328.7,0.1467,3.322,373.2,0.44899999999999984,-14.019,-7.263,6.756
BTPBFCz,gas,stddft,3.711,334.1,0.1237,3.302,375.5,0.4089999999999998,-14.019,-7.263,6.756
BTPBFCz,toluene,stda,3.763,329.5,0.1723,3.339,371.4,0.42399999999999993,-13.974,-7.207,6.767
BTPBFCz,toluene,stddft,3.709,334.3,0.1496,3.318,373.7,0.391,-13.974,-7.207,6.767
BTPBFCz-D3,gas,stda,3.715,333.7,0.0743,3.323,373.1,0.3919999999999999,-14.004,-7.439,6.5649999999999995
BTPBFCz-D3,gas,stddft,3.675,337.4,0.0683,3.304,375.3,0.371,-14.004,-7.439,6.5649999999999995
BTPBFCz-D3,toluene,stda,3.753,330.4,0.0728,3.375,367.3,0.3780000000000001,-13.841,-7.256,6.584999999999999
BTPBFCz-D3,toluene,stddft,3.708,334.4,0.0684,3.354,369.7,0.3540000000000001,-13.841,-7.256,6.584999999999999
BTPO,gas,stda,4.119,301.0,0.2201,3.617,342.8,0.5019999999999998,-14.262,-6.396,7.8660000000000005
BTPO,gas,stddft,4.075,304.3,0.1923,3.593,345.1,0.4820000000000002,-14.262,-6.396,7.8660000000000005
BTPO,toluene,stda,4.098,302.5,0.056,3.636,341.0,0.46199999999999974,-14.272,-6.39,7.882000000000001
BTPO,toluene,stddft,4.048,306.3,0.1872,3.612,343.2,0.43599999999999994,-14.272,-6.39,7.882000000000001
BTZPP,gas,stda,3.554,348.9,2.8737,2.97,417.5,0.5839999999999996,-13.584,-7.679,5.904999999999999
BTZPP,gas,stddft,3.521,352.1,2.5521,2.923,424.2,0.5979999999999999,-13.584,-7.679,5.904999999999999
BTZPP,toluene,stda,3.483,356.0,2.9572,2.917,425.0,0.5660000000000003,-13.485,-7.776,5.709
BTZPP,toluene,stddft,3.451,359.2,2.6271,2.872,431.7,0.5790000000000002,-13.485,-7.776,5.709
BTZ–DMAC,gas,stda,2.888,429.3,0.1921,2.659,466.2,0.2290000000000001,-13.494,-7.587,5.907
BTZ–DMAC,gas,stddft,2.872,431.8,0.1795,2.633,470.8,0.23899999999999988,-13.494,-7.587,5.907
BTZ–DMAC,toluene,stda,2.875,431.2,0.1664,2.67,464.3,0.20500000000000007,-13.445,-7.617,5.828
BTZ–DMAC,toluene,stddft,2.861,433.3,0.1565,2.646,468.6,0.2150000000000003,-13.445,-7.617,5.828
BTZ–DPA,gas,stda,2.678,463.0,0.6302,2.069,599.2,0.609,-13.051,-7.135,5.916
BTZ–DPA,gas,stddft,2.595,477.8,0.503,2.02,613.7,0.5750000000000002,-13.051,-7.135,5.916
BTZ–DPA,toluene,stda,2.609,475.3,0.5965,2.008,617.4,0.601,-13.04,-7.195,5.844999999999999
BTZ–DPA,toluene,stddft,2.524,491.2,0.4747,1.959,632.8,0.565,-13.04,-7.195,5.844999999999999
BTaz-Ar-PXZ,gas,stda,3.017,411.0,0.4639,2.761,449.1,0.2559999999999998,-13.2,-7.554,5.645999999999999
BTaz-Ar-PXZ,gas,stddft,2.997,413.7,0.416,2.729,454.2,0.2679999999999998,-13.2,-7.554,5.645999999999999
BTaz-Ar-PXZ,toluene,stda,3.046,407.0,0.4443,2.766,448.3,0.2799999999999998,-13.165,-7.544,5.6209999999999996
BTaz-Ar-PXZ,toluene,stddft,3.027,409.6,0.399,2.734,453.4,0.29300000000000015,-13.165,-7.544,5.6209999999999996
BTrztCz,gas,stda,3.543,350.0,0.0731,3.369,368.0,0.17399999999999993,-13.947,-7.892,6.054999999999999
BTrztCz,gas,stddft,3.529,351.3,0.0677,3.358,369.2,0.17099999999999982,-13.947,-7.892,6.054999999999999
BTrztCz,toluene,stda,3.624,342.1,0.0891,3.381,366.7,0.24300000000000033,-13.716,-7.629,6.087
