molecule,environment,method,S1_energy_eV,S1_wavelength_nm,S1_osc_strength,T1_energy_eV,T1_wavelength_nm,Delta_E_ST_eV,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV
1SBFN,toluene,stda,4.217,294.0,0.9185,3.339,371.3,0.8779999999999997,-14.747,-7.275,7.4719999999999995
1SBFN,toluene,stddft,4.145,299.1,0.7499,3.287,377.1,0.8579999999999997,-14.747,-7.275,7.4719999999999995
"2,4,6-CzPyCl2",gas,stda,3.848,322.2,0.5648,3.453,359.1,0.395,-14.355,-6.94,7.415
"2,4,6-CzPyCl2",gas,stddft,3.801,326.2,0.4755,3.427,361.8,0.3740000000000001,-14.355,-6.94,7.415
"2,4,6-CzPyCl2",toluene,stda,3.842,322.7,0.5447,3.452,359.2,0.3900000000000001,-14.24,-6.803,7.437
"2,4,6-CzPyCl2",toluene,stddft,3.801,326.2,0.4792,3.428,361.7,0.3730000000000002,-14.24,-6.803,7.437
"2,4-CzPyCl3",gas,stda,3.849,322.2,0.6155,3.467,357.6,0.3820000000000001,-14.472,-6.985,7.486999999999999
"2,4-CzPyCl3",gas,stddft,3.804,325.9,0.5247,3.446,359.8,0.35799999999999965,-14.472,-6.985,7.486999999999999
"2,4-CzPyCl3",toluene,stda,3.845,322.5,0.6096,3.446,359.8,0.399,-14.36,-6.918,7.441999999999999
"2,4-CzPyCl3",toluene,stddft,3.796,326.6,0.5156,3.424,362.1,0.3719999999999999,-14.36,-6.918,7.441999999999999
"2,7-MeCzOXD",gas,stda,3.732,332.2,0.1096,3.491,355.2,0.2410000000000001,-13.934,-7.321,6.6129999999999995
"2,7-MeCzOXD",gas,stddft,3.717,333.6,0.1052,3.473,356.9,0.24400000000000022,-13.934,-7.321,6.6129999999999995
"2,7-MeCzOXD",toluene,stda,3.756,330.1,0.1761,3.48,356.2,0.2759999999999998,-13.969,-7.345,6.624
"2,7-MeCzOXD",toluene,stddft,3.739,331.6,0.1618,3.46,358.3,0.2789999999999999,-13.969,-7.345,6.624
2-TA-AN,gas,stda,3.404,364.2,0.3916,2.318,534.9,1.0859999999999999,-14.098,-7.902,6.196000000000001
2-TA-AN,gas,stddft,3.225,384.5,0.271,2.245,552.2,0.98,-14.098,-7.902,6.196000000000001
2-TA-AN,toluene,stda,3.41,363.6,0.3893,2.309,537.0,1.101,-14.175,-7.896,6.279000000000001
2-TA-AN,toluene,stddft,3.23,383.9,0.2711,2.236,554.5,0.9939999999999998,-14.175,-7.896,6.279000000000001
23AcCz-PM,gas,stda,3.568,347.5,0.1713,3.234,383.4,0.3340000000000001,-13.461,-7.483,5.978000000000001
23AcCz-PM,gas,stddft,3.556,348.6,0.1735,3.206,386.8,0.3500000000000001,-13.461,-7.483,5.978000000000001
23AcCz-PM,toluene,stda,3.601,344.3,0.267,3.198,387.7,0.403,-13.315,-7.34,5.975
23AcCz-PM,toluene,stddft,3.586,345.8,0.2758,3.17,391.2,0.4159999999999999,-13.315,-7.34,5.975
24PQ-Cz,gas,stda,3.788,327.3,0.0519,3.307,374.9,0.48099999999999987,-14.21,-7.982,6.228000000000001
24PQ-Cz,gas,stddft,3.769,329.0,0.4628,3.269,379.2,0.5,-14.21,-7.982,6.228000000000001
24PQ-Cz,toluene,stda,3.74,331.5,0.0291,3.305,375.2,0.43500000000000005,-14.19,-7.891,6.2989999999999995
24PQ-Cz,toluene,stddft,3.734,332.0,0.0443,3.266,379.6,0.46799999999999997,-14.19,-7.891,6.2989999999999995
25CzBPym,gas,stda,3.221,385.0,0.066,3.084,402.0,0.137,-14.166,-7.961,6.205
25CzBPym,gas,stddft,3.207,386.6,0.0602,3.076,403.0,0.13099999999999978,-14.166,-7.961,6.205
25CzBPym,toluene,stda,3.038,408.1,0.0654,2.891,428.8,0.1469999999999998,-13.917,-7.916,6.0009999999999994
25CzBPym,toluene,stddft,3.022,410.2,0.0585,2.884,430.0,0.1379999999999999,-13.917,-7.916,6.0009999999999994
25DAcBPy,gas,stda,3.243,382.3,0.1461,3.11,398.7,0.133,-13.607,-8.603,5.004
25DAcBPy,gas,stddft,3.235,383.2,0.1416,3.103,399.6,0.13199999999999967,-13.607,-8.603,5.004
25DAcBPy,toluene,stda,3.233,383.4,0.2402,2.561,484.1,0.6720000000000002,-13.497,-8.247,5.25
25DAcBPy,toluene,stddft,3.203,387.0,0.3277,2.524,491.1,0.6789999999999998,-13.497,-8.247,5.25
25tCzBPym,gas,stda,3.097,400.3,0.0614,2.961,418.7,0.13600000000000012,-13.968,-7.933,6.035
25tCzBPym,gas,stddft,3.083,402.1,0.0556,2.954,419.8,0.129,-13.968,-7.933,6.035
25tCzBPym,toluene,stda,2.939,421.9,0.0682,2.79,444.3,0.14900000000000002,-13.762,-7.875,5.8870000000000005
25tCzBPym,toluene,stddft,2.923,424.1,0.0612,2.783,445.5,0.14000000000000012,-13.762,-7.875,5.8870000000000005
26DAcBPy,gas,stda,3.225,384.4,0.3054,2.899,427.7,0.32600000000000007,-13.531,-8.203,5.328000000000001
26DAcBPy,gas,stddft,3.203,387.1,0.278,2.885,429.7,0.31800000000000006,-13.531,-8.203,5.328000000000001
26DAcBPy,toluene,stda,3.137,395.3,0.253,2.816,440.3,0.3210000000000002,-13.307,-8.106,5.2010000000000005
26DAcBPy,toluene,stddft,3.115,398.0,0.2345,2.802,442.4,0.31300000000000017,-13.307,-8.106,5.2010000000000005
26DCzPPy,gas,stda,3.825,324.2,0.2792,3.406,364.0,0.41900000000000004,-14.186,-7.196,6.99
26DCzPPy,gas,stddft,3.757,330.0,0.2369,3.382,366.5,0.375,-14.186,-7.196,6.99
26DCzPPy,toluene,stda,3.869,320.4,0.0019,3.41,363.6,0.4590000000000001,-14.006,-7.114,6.892
26DCzPPy,toluene,stddft,3.808,325.6,0.0017,3.387,366.1,0.4209999999999998,-14.006,-7.114,6.892
26DPXZBPy,gas,stda,2.86,433.5,0.0038,2.541,487.8,0.31899999999999995,-12.985,-8.254,4.731
26DPXZBPy,gas,stddft,2.845,435.8,0.0039,2.531,489.8,0.31400000000000006,-12.985,-8.254,4.731
26DPXZBPy,toluene,stda,2.813,440.7,0.0138,2.521,491.8,0.29200000000000026,-12.88,-8.155,4.725000000000001
26DPXZBPy,toluene,stddft,2.798,443.2,0.0149,2.511,493.8,0.2869999999999999,-12.88,-8.155,4.725000000000001
2BFCzPy,gas,stda,3.832,323.6,0.6687,3.46,358.3,0.3719999999999999,-14.139,-7.079,7.06
2BFCzPy,gas,stddft,3.785,327.6,0.5921,3.437,360.8,0.3480000000000003,-14.139,-7.079,7.06
2BFCzPy,toluene,stda,3.846,322.4,0.4321,3.429,361.6,0.41700000000000026,-14.024,-6.97,7.053999999999999
2BFCzPy,toluene,stddft,3.797,326.6,0.3793,3.405,364.2,0.39200000000000035,-14.024,-6.97,7.053999999999999
2BPy-mDTC,gas,stda,3.368,368.1,0.0351,3.218,385.3,0.1499999999999999,-14.043,-8.127,5.915999999999999
2BPy-mDTC,gas,stddft,3.358,369.2,0.036,3.21,386.3,0.14800000000000013,-14.043,-8.127,5.915999999999999
2BPy-mDTC,toluene,stda,3.328,372.6,0.0344,3.172,390.9,0.1559999999999997,-13.968,-8.082,5.885999999999999
2BPy-mDTC,toluene,stddft,3.319,373.6,0.0365,3.163,392.0,0.15600000000000014,-13.968,-8.082,5.885999999999999
2BTCz2CzTPN,gas,stda,3.208,386.5,0.5055,2.947,420.8,0.2610000000000001,-14.184,-8.013,6.170999999999999
2BTCz2CzTPN,gas,stddft,3.176,390.3,0.4538,2.935,422.4,0.2410000000000001,-14.184,-8.013,6.170999999999999
2BTCz2CzTPN,toluene,stda,2.875,431.3,0.5785,2.568,482.7,0.30699999999999994,-13.642,-7.571,6.071
