molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Char_diff_squared,S_NTO_sum,S_NTO_product,Log_Abs_S1,Log_Abs_T1,S_NTO_ratio,S1_CT_number,S1_Lambda_D,S1_Lambda_A,S1_hole_on_A,S1_particle_on_D,S1_Delta_r,S1_S_he,T1_CT_number,T1_Lambda_D,T1_Lambda_A,T1_hole_on_A,T1_particle_on_D,T1_Delta_r,T1_S_he,Delta_CT_number,Abs_Delta_CT_number,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,Delta_Delta_r,Abs_Delta_Delta_r,Delta_S_he,Abs_Delta_S_he
-ph-pCzAnBzt,gas,stda,5.17e-08,8.2e-09,3.217,2.259,0.9580000000000002,0.6059,6.151,-4.35e-08,4.35e-08,1.89225e-15,5.99e-08,4.2394e-16,-7.285670240254767,-8.080921907623926,0.1586073500967118,0.0144615573004321,0.9967304772041924,0.0145089947896411,0.0032695227958076,0.9854910052103588,0.2316636300248566,0.9905628675570964,0.0135495913754528,0.9970726178996574,0.0135893726617376,0.0029273821003425,0.9864106273382623,0.0880511039533538,0.995516893801573,-0.0009119659249792987,0.0009119659249792987,0.0003421406954650097,0.0003421406954650097,-0.0009196221279035004,0.0009196221279035004,-0.1436125260715028,0.1436125260715028,0.004954026244476606,0.004954026244476606
-ph-pCzAnBzt,gas,stddft,-4.09e-08,-4.25e-08,3.047,2.188,0.859,0.4232,6.151,-1.5999999999999943e-09,1.5999999999999943e-09,2.559999999999982e-18,-8.339999999999999e-08,1.73825e-15,-7.387216143280264,-7.370590400897281,1.039119804400978,0.0147427680670409,0.9966345234482488,0.0147925520541196,0.0033654765517511,0.9852074479458804,0.2149128996911439,0.990912383817754,0.0133498470063058,0.997167290861253,0.0133877706666206,0.002832709138747,0.9866122293333792,0.0822889713163435,0.9957625631471748,-0.001392921060735101,0.001392921060735101,0.0005327674130042315,0.0005327674130042315,-0.0014047813874990007,0.0014047813874990007,-0.13262392837480041,0.13262392837480041,0.0048501793294207785,0.0048501793294207785
-ph-pCzAnBzt,toluene,stda,-2.1e-08,8.66e-08,3.211,2.256,0.955,0.6039,6.212999999999999,1.076e-07,1.076e-07,1.1577759999999999e-14,6.559999999999999e-08,-1.8186e-15,-7.675717544702307,-7.06198090252379,-4.123809523809523,0.0142516371621232,0.9967260918906818,0.0142984489701573,0.0032739081093181,0.9857015510298428,0.2455751657996717,0.9906270815302852,0.0134644929784016,0.9970786018773784,0.0135039433732201,0.0029213981226217,0.98649605662678,0.0883147499601791,0.9958031104295622,-0.0007871441837215987,0.0007871441837215987,0.00035250998669655864,0.00035250998669655864,-0.0007945055969372002,0.0007945055969372002,-0.1572604158394926,0.1572604158394926,0.00517602889927693,0.00517602889927693
-ph-pCzAnBzt,toluene,stddft,-1.33e-07,1.147e-07,3.044,2.186,0.8580000000000001,0.4253,6.212999999999999,2.477000000000001e-07,2.477000000000001e-07,6.135529000000003e-14,-1.830000000000001e-08,-1.52551e-14,-6.875821944525325,-6.940058111938045,-0.862406015037594,0.0145231806910174,0.9966302918282508,0.0145722850389944,0.0033697081717492,0.9854277149610056,0.2276428479543368,0.9910068430081498,0.0132870667898651,0.9971744609879778,0.0133247162955824,0.0028255390120222,0.9866752837044174,0.0819329159237208,0.9960466963649556,-0.001236113901152299,0.001236113901152299,0.0005441691597269926,0.0005441691597269926,-0.0012475687434120013,0.0012475687434120013,-0.145709932030616,0.145709932030616,0.00503985335680579,0.00503985335680579
11-AcBPdCN,gas,stda,-7.57e-08,-2.26e-08,2.649,2.066,0.5830000000000002,0.4625,5.601999999999999,5.309999999999999e-08,5.309999999999999e-08,2.8196099999999997e-15,-9.83e-08,1.71082e-15,-7.120330794367947,-7.643974142806877,0.2985468956406869,0.2300315576338494,0.6108948345159851,0.376548539350647,0.3891051654840149,0.6234514606493531,2.9239008324168028,0.6220613303501994,0.2226560771305194,0.6254828451347723,0.3559747143545462,0.3745171548652278,0.6440252856454537,2.253745776786498,0.7209742447504959,-0.007375480503329979,0.007375480503329979,0.014588010618787117,0.014588010618787117,-0.02057382499610083,0.02057382499610083,-0.6701550556303046,0.6701550556303046,0.09891291440029648,0.09891291440029648
11-AcBPdCN,gas,stddft,5.78e-08,-5.08e-08,2.56,2.027,0.5329999999999999,0.374,5.601999999999999,-1.086e-07,1.086e-07,1.179396e-14,7.000000000000003e-09,-2.93624e-15,-7.2373214362725635,-7.293282217663242,-0.8788927335640138,0.2289633724838953,0.6106654035104251,0.3749407960033329,0.3893345964895749,0.6250592039966671,2.9294014238672106,0.615966559926971,0.2214296016229694,0.6269693956532806,0.3531744980825537,0.3730306043467193,0.646825501917446,2.1405252059606608,0.7355709302935837,-0.007533770860925909,0.007533770860925909,0.016303992142855495,0.016303992142855495,-0.02176629792077922,0.02176629792077922,-0.7888762179065498,0.7888762179065498,0.11960437036661264,0.11960437036661264
11-AcBPdCN,toluene,stda,-8.39e-08,-2.24e-08,2.502,1.915,0.5869999999999997,0.4468,5.413,6.15e-08,6.15e-08,3.78225e-15,-1.063e-07,1.87936e-15,-7.075720713938118,-7.647817481888637,0.2669845053635279,0.2273488129302894,0.6069140819807934,0.3745980191929113,0.3930859180192066,0.6254019808070885,2.9249565994353945,0.6249454974092271,0.2199304656313594,0.623334684205282,0.3528288593659102,0.3766653157947177,0.6471711406340898,2.2506604804179773,0.723443998258778,-0.0074183472989300114,0.0074183472989300114,0.0164206022244886,0.0164206022244886,-0.021769159827001117,0.021769159827001117,-0.6742961190174173,0.6742961190174173,0.09849850084955092,0.09849850084955092
11-AcBPdCN,toluene,stddft,-7.5e-08,1.063e-07,2.411,1.873,0.538,0.3584,5.413,1.8130000000000002e-07,1.8130000000000002e-07,3.2869690000000014e-14,3.1300000000000016e-08,-7.9725e-15,-7.124360062995832,-6.9730583720409705,-1.4173333333333336,0.2262691999707207,0.606546644602993,0.3730450114332464,0.3934533553970071,0.6269549885667535,2.9318971973229937,0.618664668941476,0.2186735470695184,0.625130944339005,0.3498043874643534,0.3748690556609952,0.6501956125356467,2.137429153651179,0.737800199208974,-0.0075956529012023155,0.0075956529012023155,0.018584299736011944,0.018584299736011944,-0.023240623968893037,0.023240623968893037,-0.7944680436718148,0.7944680436718148,0.11913553026749801,0.11913553026749801
12AcCz-PM,gas,stda,3.2e-09,3.28e-08,3.644,3.231,0.4130000000000002,0.9239,6.574000000000001,2.9600000000000004e-08,2.9600000000000004e-08,8.761600000000002e-16,3.6000000000000005e-08,1.0496e-16,-8.481486060122112,-7.482804102050026,10.25,0.1686901384267836,0.6169224359137155,0.2734381643568189,0.3830775640862843,0.7265618356431811,1.2030930202303822,0.7412634745856421,0.1946952512016358,0.5272991348327768,0.369231122033568,0.4727008651672232,0.6307688779664318,0.761402320291573,0.7745137840674364,0.026005112774852207,0.026005112774852207,-0.08962330108093874,0.08962330108093874,0.09579295767674911,0.09579295767674911,-0.4416906999388093,0.4416906999388093,0.033250309481794305,0.033250309481794305
12AcCz-PM,gas,stddft,-2.94e-08,-3.22e-08,3.61,3.205,0.4049999999999998,0.8212,6.574000000000001,-2.799999999999998e-09,2.799999999999998e-09,7.839999999999992e-18,-6.16e-08,9.466799999999998e-16,-7.530177984021837,-7.490797477668897,1.0952380952380951,0.1626482885245795,0.6238837216004873,0.2607028888449403,0.3761162783995127,0.7392971111550598,1.3677213339609366,0.7354153051606604,0.2004522091584875,0.5519872053364421,0.3631464773468975,0.448012794663558,0.6368535226531026,0.6542067813164687,0.7787960707161276,0.037803920633908,0.037803920633908,-0.07189651626404525,0.07189651626404525,0.10244358850195717,0.10244358850195717,-0.713514552644468,0.713514552644468,0.043380765555467105,0.043380765555467105
