molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Char_diff_squared,S_NTO_sum,S_NTO_product,Log_Abs_S1,Log_Abs_T1,S_NTO_ratio,S1_CT_number,S1_Lambda_D,S1_Lambda_A,S1_hole_on_A,S1_particle_on_D,S1_Delta_r,S1_S_he,T1_CT_number,T1_Lambda_D,T1_Lambda_A,T1_hole_on_A,T1_particle_on_D,T1_Delta_r,T1_S_he,Delta_CT_number,Abs_Delta_CT_number,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,Delta_Delta_r,Abs_Delta_Delta_r,Delta_S_he,Abs_Delta_S_he
1G-F1,gas,stddft,2.75e-08,-2e-09,5.108,4.284,0.8239999999999998,0.0,8.933,-2.9500000000000006e-08,2.9500000000000006e-08,8.702500000000002e-16,2.55e-08,-5.500000000000001e-17,-7.559090917934782,-8.67778070526608,-0.0727272727272727,,,,,,,,,,,,,,,,,,,,,,,,
1G-F1,toluene,stda,-9.81e-08,4.5e-09,5.152,4.336,0.8159999999999998,0.0004,8.917000000000002,1.026e-07,1.026e-07,1.0526759999999998e-14,-9.36e-08,-4.4144999999999996e-16,-7.00788851221305,-8.337242168318426,-0.0458715596330275,,,,,,,,,,,,,,,,,,,,,,,,
1G-F1,toluene,stddft,-1.52e-08,6.57e-08,5.124,4.289,0.835,0.0004,8.917000000000002,8.09e-08,8.09e-08,6.544810000000001e-15,5.05e-08,-9.9864e-16,-7.815308569182402,-7.181774106386045,-4.322368421052631,,,,,,,,,,,,,,,,,,,,,,,,
1MOBI,gas,stda,4.12e-08,3.8e-09,3.147,2.394,0.7529999999999997,2.6385,6.0600000000000005,-3.74e-08,3.74e-08,1.39876e-15,4.5e-08,1.5656e-16,-7.384049948343599,-8.4089353929735,0.0922330097087378,,,,,,,,,,,,,,,,,,,,,,,,
1MOBI,gas,stddft,-5.55e-08,7.04e-08,3.072,2.34,0.7320000000000002,2.1421,6.0600000000000005,1.2589999999999998e-07,1.2589999999999998e-07,1.5850809999999996e-14,1.4899999999999994e-08,-3.9072e-15,-7.2549252084179425,-7.151810883008602,-1.2684684684684684,,,,,,,,,,,,,,,,,,,,,,,,
1MOBI,toluene,stda,-6.15e-08,-9.11e-08,3.141,2.39,0.7509999999999999,2.5266,6.07,-2.96e-08,2.96e-08,8.7616e-16,-1.526e-07,5.6026500000000004e-15,-7.210419287835575,-7.040005161671584,1.48130081300813,,,,,,,,,,,,,,,,,,,,,,,,
1MOBI,toluene,stddft,9.27e-08,8.81e-08,3.063,2.337,0.726,2.0381,6.07,-4.6000000000000015e-09,4.6000000000000015e-09,2.1160000000000014e-17,1.808e-07,8.16687e-15,-7.032452023781138,-7.054531414868181,0.9503775620280476,,,,,,,,,,,,,,,,,,,,,,,,
1MPA,gas,stda,5.11e-08,5.8e-09,4.09,3.698,0.3919999999999999,0.4386,7.664,-4.53e-08,4.53e-08,2.05209e-15,5.69e-08,2.9638e-16,-7.29073003902417,-8.229147988357855,0.1135029354207436,,,,,,,,,,,,,,,,,,,,,,,,
1MPA,gas,stddft,-2.39e-08,-8.92e-08,4.066,3.681,0.3849999999999998,0.3925,7.664,-6.530000000000001e-08,6.530000000000001e-08,4.264090000000001e-15,-1.131e-07,2.13188e-15,-7.619788758288394,-7.049148541111453,3.7322175732217575,,,,,,,,,,,,,,,,,,,,,,,,
1MPA,toluene,stda,5.4e-08,4e-10,4.137,3.745,0.3919999999999994,0.5543,7.661,-5.3600000000000004e-08,5.3600000000000004e-08,2.8729600000000004e-15,5.44e-08,2.1600000000000002e-17,-7.266802734893431,-9.30102999566398,0.0074074074074074,,,,,,,,,,,,,,,,,,,,,,,,
1MPA,toluene,stddft,-2.28e-08,-9.69e-08,4.116,3.726,0.3899999999999997,0.4982,7.661,-7.410000000000002e-08,7.410000000000002e-08,5.4908100000000006e-15,-1.197e-07,2.20932e-15,-7.640164517660112,-7.013228265733755,4.25,,,,,,,,,,,,,,,,,,,,,,,,
1PCTRz,gas,stda,-3.9e-08,1.45e-08,3.823,3.384,0.439,0.5689,6.17,5.35e-08,5.35e-08,2.8622499999999995e-15,-2.45e-08,-5.655e-16,-7.407823242604133,-7.835647144215563,-0.3717948717948718,,,,,,,,,,,,,,,,,,,,,,,,
1PCTRz,gas,stddft,2.93e-08,3.87e-08,3.766,3.36,0.4060000000000001,0.3981,6.17,9.4e-09,9.4e-09,8.836000000000002e-17,6.8e-08,1.1339100000000001e-15,-7.531652669587842,-7.411168274405792,1.3208191126279865,,,,,,,,,,,,,,,,,,,,,,,,
1PCTRz,toluene,stda,5e-09,9.36e-08,3.808,3.345,0.4629999999999996,0.3658,6.143999999999999,8.86e-08,8.86e-08,7.84996e-15,9.860000000000001e-08,4.68e-16,-8.292429823902063,-7.028260409112222,18.72,,,,,,,,,,,,,,,,,,,,,,,,
1PCTRz,toluene,stddft,3e-10,-8.24e-08,3.745,3.321,0.4239999999999999,0.2509,6.143999999999999,-8.269999999999999e-08,8.269999999999999e-08,6.839289999999999e-15,-8.21e-08,-2.472e-17,-9.397940008672036,-7.0835460514500745,-274.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,
1PXZ-BP,gas,stda,-0.0,-1.07e-07,3.062,2.742,0.3199999999999998,0.3217,4.873999999999999,-1.07e-07,1.07e-07,1.1449e-14,-1.07e-07,0.0,-10.0,-6.970210529168145,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1PXZ-BP,gas,stddft,-3.05e-08,3.65e-08,3.046,2.712,0.3339999999999996,0.2915,4.873999999999999,6.7e-08,6.7e-08,4.489000000000001e-15,6.000000000000001e-09,-1.11325e-15,-7.51427857351842,-7.436518914605589,-1.1967213114754098,,,,,,,,,,,,,,,,,,,,,,,,
1PXZ-BP,toluene,stda,2.09e-08,4.83e-08,3.059,2.756,0.3030000000000004,0.3099,4.861000000000001,2.7400000000000004e-08,2.7400000000000004e-08,7.507600000000002e-16,6.92e-08,1.00947e-15,-7.67778070526608,-7.315154638355588,2.311004784688996,,,,,,,,,,,,,,,,,,,,,,,,
1PXZ-BP,toluene,stddft,-1.51e-08,4.17e-08,3.044,2.725,0.3189999999999999,0.2853,4.861000000000001,5.6800000000000006e-08,5.6800000000000006e-08,3.2262400000000005e-15,2.6600000000000003e-08,-6.2967e-16,-7.818156412055227,-7.378823718224964,-2.76158940397351,,,,,,,,,,,,,,,,,,,,,,,,
1PXZP,gas,stda,-1.3e-09,7.19e-08,2.979,2.742,0.2370000000000001,0.3726,5.429000000000001,7.320000000000002e-08,7.320000000000002e-08,5.358240000000001e-15,7.06e-08,-9.347e-17,-8.853871964321762,-7.142667503568732,-55.30769230769231,,,,,,,,,,,,,,,,,,,,,,,,
1PXZP,gas,stddft,-2.25e-08,1.72e-08,2.96,2.71,0.25,0.335,5.429000000000001,3.97e-08,3.97e-08,1.57609e-15,-5.300000000000001e-09,-3.87e-16,-7.645891560852599,-7.761953896871205,-0.7644444444444444,,,,,,,,,,,,,,,,,,,,,,,,
1PXZP,toluene,stda,2.43e-08,-1.71e-08,2.958,2.72,0.238,0.3802,5.429,-4.14e-08,4.14e-08,1.71396e-15,7.199999999999998e-09,-4.1553e-16,-7.61261017366127,-7.764471553092451,-0.7037037037037037,,,,,,,,,,,,,,,,,,,,,,,,
1PXZP,toluene,stddft,-1.98e-08,1.4e-08,2.938,2.708,0.2299999999999999,0.3406,5.429,3.38e-08,3.38e-08,1.14244e-15,-5.799999999999999e-09,-2.772e-16,-7.701146923590294,-7.85078088734462,-0.7070707070707071,,,,,,,,,,,,,,,,,,,,,,,,
1SBFN,gas,stda,-8.07e-08,-5.3e-09,4.197,3.324,0.8730000000000002,0.9304,7.456,7.54e-08,7.54e-08,5.68516e-15,-8.6e-08,4.2771000000000005e-16,-7.092588639225414,-8.267606240177031,0.0656753407682775,,,,,,,,,,,,,,,,,,,,,,,,
1SBFN,gas,stddft,3.22e-08,3.61e-08,4.124,3.273,0.8509999999999995,0.7501,7.456,3.900000000000002e-09,3.900000000000002e-09,1.5210000000000014e-17,6.83e-08,1.16242e-15,-7.490797477668897,-7.441291429466834,1.1211180124223603,,,,,,,,,,,,,,,,,,,,,,,,
