Molecule,Environment,Transition,Method,Overlap_1_2,Status
1G-F1,gas,S0S1,stda,0.0000000827,Success
1G-F1,gas,S0S1,stddft,0.0000000275,Success
1G-F1,gas,S0T1,stda,0.0000001332,Success
1G-F1,gas,S0T1,stddft,-0.0000000020,Success
1G-F1,toluene,S0S1,stda,-0.0000000981,Success
1G-F1,toluene,S0S1,stddft,-0.0000000152,Success
1G-F1,toluene,S0T1,stda,0.0000000045,Success
1G-F1,toluene,S0T1,stddft,0.0000000657,Success
1MOBI,gas,S0S1,stda,0.0000000412,Success
1MOBI,gas,S0S1,stddft,-0.0000000555,Success
1MOBI,gas,S0T1,stda,0.0000000038,Success
1MOBI,gas,S0T1,stddft,0.0000000704,Success
1MOBI,toluene,S0S1,stda,-0.0000000615,Success
1MOBI,toluene,S0S1,stddft,0.0000000927,Success
1MOBI,toluene,S0T1,stda,-0.0000000911,Success
1MOBI,toluene,S0T1,stddft,0.0000000881,Success
1MPA,gas,S0S1,stda,0.0000000511,Success
1MPA,gas,S0S1,stddft,-0.0000000239,Success
1MPA,gas,S0T1,stda,0.0000000058,Success
1MPA,gas,S0T1,stddft,-0.0000000892,Success
1MPA,toluene,S0S1,stda,0.0000000540,Success
1MPA,toluene,S0S1,stddft,-0.0000000228,Success
1MPA,toluene,S0T1,stda,0.0000000004,Success
1MPA,toluene,S0T1,stddft,-0.0000000969,Success
1PCTRz,gas,S0S1,stda,-0.0000000390,Success
1PCTRz,gas,S0S1,stddft,0.0000000293,Success
1PCTRz,gas,S0T1,stda,0.0000000145,Success
1PCTRz,gas,S0T1,stddft,0.0000000387,Success
1PCTRz,toluene,S0S1,stda,0.0000000050,Success
1PCTRz,toluene,S0S1,stddft,0.0000000003,Success
1PCTRz,toluene,S0T1,stda,0.0000000936,Success
1PCTRz,toluene,S0T1,stddft,-0.0000000824,Success
1PXZ-BP,gas,S0S1,stda,-0.0000000000,Success
1PXZ-BP,gas,S0S1,stddft,-0.0000000305,Success
1PXZ-BP,gas,S0T1,stda,-0.0000001070,Success
1PXZ-BP,gas,S0T1,stddft,0.0000000365,Success
1PXZ-BP,toluene,S0S1,stda,0.0000000209,Success
1PXZ-BP,toluene,S0S1,stddft,-0.0000000151,Success
1PXZ-BP,toluene,S0T1,stda,0.0000000483,Success
1PXZ-BP,toluene,S0T1,stddft,0.0000000417,Success
1PXZP,gas,S0S1,stda,-0.0000000013,Success
1PXZP,gas,S0S1,stddft,-0.0000000225,Success
1PXZP,gas,S0T1,stda,0.0000000719,Success
1PXZP,gas,S0T1,stddft,0.0000000172,Success
1PXZP,toluene,S0S1,stda,0.0000000243,Success
1PXZP,toluene,S0S1,stddft,-0.0000000198,Success
1PXZP,toluene,S0T1,stda,-0.0000000171,Success
1PXZP,toluene,S0T1,stddft,0.0000000140,Success
1SBFN,gas,S0S1,stda,-0.0000000807,Success
1SBFN,gas,S0S1,stddft,0.0000000322,Success
1SBFN,gas,S0T1,stda,-0.0000000053,Success
1SBFN,gas,S0T1,stddft,0.0000000361,Success
1SBFN,toluene,S0S1,stda,-0.0000000954,Success
1SBFN,toluene,S0S1,stddft,0.0000000597,Success
1SBFN,toluene,S0T1,stda,-0.0000000166,Success
1SBFN,toluene,S0T1,stddft,-0.0000000950,Success
[2,1-b]IF,gas,S0S1,stda,0.0000000643,Success
[2,1-b]IF,gas,S0S1,stddft,-0.0000000236,Success
[2,1-b]IF,gas,S0T1,stda,0.0000000513,Success
[2,1-b]IF,gas,S0T1,stddft,-0.0000000198,Success
[2,1-b]IF,toluene,S0S1,stda,-0.0000001024,Success
[2,1-b]IF,toluene,S0S1,stddft,-0.0000001229,Success
[2,1-b]IF,toluene,S0T1,stda,0.0000000481,Success
[2,1-b]IF,toluene,S0T1,stddft,-0.0000000380,Success
23AcCz-PM,gas,S0S1,stda,0.0000000198,Success
23AcCz-PM,gas,S0S1,stddft,-0.0000000292,Success
23AcCz-PM,gas,S0T1,stda,-0.0000000196,Success
23AcCz-PM,gas,S0T1,stddft,-0.0000000461,Success
23AcCz-PM,toluene,S0S1,stda,0.0000000051,Success
23AcCz-PM,toluene,S0S1,stddft,-0.0000000061,Success
23AcCz-PM,toluene,S0T1,stda,0.0000000906,Success
23AcCz-PM,toluene,S0T1,stddft,-0.0000000523,Success
2,4,6-CzPyCl2,gas,S0S1,stda,0.0000000979,Success
2,4,6-CzPyCl2,gas,S0S1,stddft,0.0000000071,Success
2,4,6-CzPyCl2,gas,S0T1,stda,0.0000000767,Success
2,4,6-CzPyCl2,gas,S0T1,stddft,-0.0000000458,Success
2,4,6-CzPyCl2,toluene,S0S1,stda,0.0000000345,Success
2,4,6-CzPyCl2,toluene,S0S1,stddft,0.0000000163,Success
2,4,6-CzPyCl2,toluene,S0T1,stda,0.0000000447,Success
2,4,6-CzPyCl2,toluene,S0T1,stddft,0.0000000635,Success
2,4-CzPyCl3,gas,S0S1,stda,0.0000000132,Success
2,4-CzPyCl3,gas,S0S1,stddft,0.0000000162,Success
2,4-CzPyCl3,gas,S0T1,stda,0.0000000136,Success
2,4-CzPyCl3,gas,S0T1,stddft,0.0000000061,Success
2,4-CzPyCl3,toluene,S0S1,stda,0.0000000131,Success
2,4-CzPyCl3,toluene,S0S1,stddft,-0.0000000062,Success
2,4-CzPyCl3,toluene,S0T1,stda,0.0000000794,Success
2,4-CzPyCl3,toluene,S0T1,stddft,0.0000000699,Success
24PQ-Cz,gas,S0S1,stda,-0.0000000215,Success
24PQ-Cz,gas,S0S1,stddft,-0.0000000681,Success
24PQ-Cz,gas,S0T1,stda,-0.0000000857,Success
24PQ-Cz,gas,S0T1,stddft,-0.0000000884,Success
24PQ-Cz,toluene,S0S1,stda,0.0000000085,Success
24PQ-Cz,toluene,S0S1,stddft,0.0000000679,Success
24PQ-Cz,toluene,S0T1,stda,0.0000000398,Success
24PQ-Cz,toluene,S0T1,stddft,0.0000000662,Success
25CzBPym,gas,S0S1,stda,-0.0000000200,Success
25CzBPym,gas,S0S1,stddft,-0.0000000256,Success
25CzBPym,gas,S0T1,stda,-0.0000000316,Success
25CzBPym,gas,S0T1,stddft,0.0000000096,Success
25CzBPym,toluene,S0S1,stda,0.0000000239,Success
25CzBPym,toluene,S0S1,stddft,-0.0000000097,Success
25CzBPym,toluene,S0T1,stda,0.0000000037,Success
25CzBPym,toluene,S0T1,stddft,-0.0000000402,Success
25DAcBPy,gas,S0S1,stda,0.0000000132,Success
25DAcBPy,gas,S0S1,stddft,-0.0000000229,Success
25DAcBPy,gas,S0T1,stda,0.0000000188,Success
25DAcBPy,gas,S0T1,stddft,-0.0000000151,Success
25DAcBPy,toluene,S0S1,stda,0.0000000199,Success
25DAcBPy,toluene,S0S1,stddft,-0.0000000350,Success
25DAcBPy,toluene,S0T1,stda,-0.0000000187,Success
25DAcBPy,toluene,S0T1,stddft,0.0000001160,Success
25tCzBPym,gas,S0S1,stda,0.0000000180,Success
25tCzBPym,gas,S0S1,stddft,0.0000000112,Success
25tCzBPym,gas,S0T1,stda,0.0000000118,Success
25tCzBPym,gas,S0T1,stddft,-0.0000000506,Success
25tCzBPym,toluene,S0S1,stda,-0.0000000121,Success
25tCzBPym,toluene,S0S1,stddft,0.0000000328,Success
25tCzBPym,toluene,S0T1,stda,-0.0000001112,Success
25tCzBPym,toluene,S0T1,stddft,-0.0000000174,Success
26DAcBPy,gas,S0S1,stda,0.0000000505,Success
26DAcBPy,gas,S0S1,stddft,-0.0000000093,Success
26DAcBPy,gas,S0T1,stda,0.0000000466,Success
26DAcBPy,gas,S0T1,stddft,0.0000000702,Success
26DAcBPy,toluene,S0S1,stda,-0.0000000075,Success
26DAcBPy,toluene,S0S1,stddft,0.0000000375,Success
26DAcBPy,toluene,S0T1,stda,-0.0000000670,Success
26DAcBPy,toluene,S0T1,stddft,0.0000000235,Success
26DCzPPy,gas,S0S1,stda,0.0000000814,Success
26DCzPPy,gas,S0S1,stddft,-0.0000000042,Success
26DCzPPy,gas,S0T1,stda,0.0000000347,Success
26DCzPPy,gas,S0T1,stddft,-0.0000000179,Success
26DCzPPy,toluene,S0S1,stda,-0.0000000281,Success
26DCzPPy,toluene,S0S1,stddft,0.0000000455,Success
26DCzPPy,toluene,S0T1,stda,0.0000000546,Success
26DCzPPy,toluene,S0T1,stddft,-0.0000000388,Success
26DPXZBPy,gas,S0S1,stda,0.0000000468,Success
26DPXZBPy,gas,S0S1,stddft,0.0000000122,Success
26DPXZBPy,gas,S0T1,stda,-0.0000000150,Success
26DPXZBPy,gas,S0T1,stddft,-0.0000000443,Success
26DPXZBPy,toluene,S0S1,stda,0.0000000144,Success
26DPXZBPy,toluene,S0S1,stddft,0.0000000300,Success
26DPXZBPy,toluene,S0T1,stda,-0.0000000591,Success
26DPXZBPy,toluene,S0T1,stddft,0.0000000074,Success
2,7-MeCzOXD,gas,S0S1,stda,-0.0000000032,Success
2,7-MeCzOXD,gas,S0S1,stddft,0.0000000122,Success
2,7-MeCzOXD,gas,S0T1,stda,-0.0000000219,Success
