feature,mean_abs_shap
T1_energy_eV,0.2600697184250461
S1_energy_eV,0.23028166093181543
T1_S_he,0.011444411033933472
S1_S_he,0.006902963957035094
HOMO_LUMO_gap_eV,0.006340128759080276
S1_osc_strength,0.004779930220952838
Char_diff_squared,0.0029254897174686885
Abs_Delta_S_he,0.0027583116562097
S1_Delta_r,0.0026371428242827587
Log_Abs_S1,0.002544477647111715
S_NTO_product,0.0023807047233631463
Abs_Delta_Delta_r,0.0021485279219677837
Log_Abs_T1,0.0020914515576530486
T1_Delta_r,0.0020621355624732456
Delta_S_he,0.0018654344624765334
Abs_Delta_S_NTO,0.0018555376741851686
S1_overlap,0.0016226853763471915
Abs_Delta_CT_number,0.0015046009399942788
Abs_Delta_Lambda_D,0.0014111432069383871
Delta_Delta_r,0.0012868498104877453
Abs_Delta_Lambda_A,0.00116894713631985
T1_CT_number,0.0011444680792814029
Delta_CT_number,0.0010672719230054922
S1_hole_on_A,0.0010339424146644544
Delta_Lambda_D,0.001006795721989467
S1_Lambda_A,0.000985387270999512
Delta_S_NTO,0.0009746822219385367
S1_Lambda_D,0.0009557903504949399
S_NTO_sum,0.0009502302655126295
T1_hole_on_A,0.0009308730103493025
Delta_Lambda_A,0.0009094151697414693
S1_particle_on_D,0.0009090678962406929
T1_Lambda_D,0.0008303168700938644
S1_CT_number,0.0007688764123704912
T1_Lambda_A,0.0007646152980090593
T1_particle_on_D,0.0007610418973678916
T1_overlap,0.0006947819475713457
S_NTO_ratio,0.0006922204274485413
