molecule,Delta_E_ST_eV,S1_energy_eV,T1_energy_eV,S1_S_he,T1_S_he,Delta_S_he,Abs_Delta_S_he,S1_CT_number,T1_CT_number,Delta_CT_number,Abs_Delta_CT_number,S1_Lambda_D,S1_Lambda_A,T1_Lambda_D,T1_Lambda_A,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,S1_Delta_r,T1_Delta_r,Delta_Delta_r,Abs_Delta_Delta_r,S1_hole_on_A,S1_particle_on_D,T1_hole_on_A,T1_particle_on_D,Char_diff_squared,S_NTO_sum,S_NTO_product,S_NTO_ratio,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Log_Abs_S1,Log_Abs_T1,S1_overlap,T1_overlap
1PCTRz,0.439,0.27217476783369376,-0.29326576800844667,0.003083235124003655,0.0,-0.006396451655893762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016162214864308354,-0.0030222691237741864,0.0027426255700837027,0.0,0.005685999032703937,0.0006895142714621699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026624414592943636,0.0,0.0
1PXZ-BP,0.3199999999999998,-0.131254934091877,0.09067390305500078,-0.01964043178486704,0.0,0.0,-0.013969677120565849,-0.006968340596551714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038634925758249663,0.0,0.0,0.0,-0.007107664732752121,0.0,-0.008834349645253353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017705440108507085,0.0,0.0,0.0,0.0,-0.005357301525411411,0.0
1PXZP,0.2370000000000001,-0.24370783893491607,0.12690064096481135,-0.012787282079960384,0.0,0.0,-0.020421663294074494,0.0,0.0,0.0,0.0,0.0,-0.0051862818796080045,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159745665188099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058133113604071085,0.0,-0.015291468370523401,-0.008723488886131704,0.0,0.0,0.0,0.0,-0.00580073473448206
1SBFN,0.8730000000000002,0.3627181730443188,-0.12976395910893024,0.0,0.04353519253956614,0.0,0.0,0.015148116435977946,0.0,0.0,0.027868371108521802,0.0,0.0,0.0,0.0,0.00957073620371941,0.0,0.0,0.03361290871525979,0.0,0.01704436978154292,0.0,0.0,0.0,0.0,0.0,0.0,0.023570806514592077,0.0,0.0,0.0,0.0,0.0,0.005713982310360144,0.0,0.0,0.0,0.0,0.0
2-TA-AN,1.086,0.0,0.44137007269093,0.030411237973582333,0.04117046011815855,0.012600514657420393,0.0,0.0,0.0,0.02010700804029081,0.0,0.009831487184679981,0.0,0.0,0.0,0.002632001633530834,0.0,0.012239595190360254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009552364550300169,0.04205093011014817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23AcCz-PM,0.3340000000000001,0.06187152068990776,-0.1473651572545167,-0.007712587449202624,-0.0024992550964686626,0.0,-0.0162005003932224,0.0,0.0,0.0,-0.002346955822545108,0.0,0.0,0.0,-0.0012998072825719735,0.0,0.0,0.0,0.0,-0.005597143475582916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004653534679210078,0.0,0.0,0.0,0.0,0.0,-0.00422720601797158
24PQ-Cz,0.4809999999999998,0.23698122038721875,-0.22599713332824728,0.0023474643309947473,0.0029460070131572327,0.0,0.0,0.0,0.0,0.0,0.0040113160663998925,0.0,0.0,0.0,0.0,0.0,0.0,0.0011787051078058963,0.0,0.0,0.0,0.0,0.0038765554122110473,0.0,0.0,0.0,0.0,0.0,0.0025901878546265413,0.006095675971399623,0.0,0.0,0.0,0.0,0.0,0.0009731305381778799,0.0,0.0,0.0
25CzBPym,0.137,-0.14279425149357275,-0.04407713278838107,-0.02661246968197749,-0.037065907737050256,0.0,0.0,-0.006512494890320519,0.0,0.0,0.0,0.0,0.0,-0.014415606784112913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007760908914076442,-0.0035389374013806416,-0.014582564286389163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009687859461899335,0.0
25DAcBPy,0.133,-0.14712108063384913,-0.0625690324328199,-0.016311867930878368,-0.02697622475841147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010771987353676373,0.0,0.0,-0.008763211892159449,-0.014041131057427802,0.0,-0.004906501928325598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01440006143313958,0.0,-0.007802780499786444,0.0,0.0,0.0,0.0
25tCzBPym,0.1360000000000001,-0.1848389404635683,0.0,-0.02955705459004874,-0.030206644434723973,0.0,0.0,-0.015875016671001392,0.0,0.0,0.0,-0.005459477581583746,-0.004612810463669237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007978739702571569,-0.00918776829714799,0.0,0.0,0.0,0.0,0.0,-0.006454248703177539,0.0,0.0,0.0,0.0,-0.013256501733559814,0.0,0.0
26DAcBPy,0.326,-0.1522087470092051,0.06772246592559929,-0.008223052491852205,-0.0210324336406941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013479475523125593,-0.007560749461123421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005119953701608476,0.0,0.0,-0.0031288231795261485,-0.014154833500711709,0.0,0.0,0.009445111798636873,0.0,0.0,0.0
26DCzPPy,0.419,0.07393722235958876,-0.0757377529146636,0.0,0.0,0.0,0.0,0.0,0.0,-0.011455214371337561,0.0,-0.007661261559908995,-0.002287803830865568,0.0,0.0,0.0,0.0,0.0,-0.004893698970551925,0.0,0.0,0.0,0.0,-0.005928203578334608,0.0,0.0,-0.005937597148982267,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034933192540747677,0.0,0.0,-0.0012917072114957578,0.0,0.0
26DPXZBPy,0.3189999999999999,-0.3842551180842928,0.3042750213073598,0.0,-0.01331513106087485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004156144955545826,0.0,-0.0019520671299889578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008378054723064845,0.0,0.0,0.0,-0.006210992335633074,0.0,-0.008950749934664964,-0.01707506720747767,0.0,0.0,0.0,0.0,0.0,-0.004814261745992781
2BFCzPy,0.3719999999999999,0.10342752735047117,-0.12885247517599804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008054931241801386,-0.01059865682879195,-0.008293626076368096,-0.006165788540251593,-0.007312040379471539,0.0,0.0,-0.012356092061483945,0.0,0.0,0.0,0.0,-0.006405602025477387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020767038705826586,0.0
2BPy-mDTC,0.1499999999999999,-0.07197687542796473,-0.1355259000022284,0.0,-0.01502520314947439,0.0,-0.009595185994744498,0.0,-0.007512614076466029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00424027928678632,0.0,0.0,0.0,-0.01538562846300515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011992045538795746,0.0,0.0,0.0,-0.011765128570494476,-0.010659068039695853,0.0,0.0
2BTCz2CzTPN,0.2610000000000001,-0.20319879822955647,0.05313828414174131,-0.010061641578811977,-0.013092415482104618,-0.0018408408325068593,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010166909253280934,-0.0021861246568211697,0.0,0.0,0.0,0.0,-0.0010042739012546265,-0.0004427654261792274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029655194804256895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2BTPA-INN,0.524,0.15926184064604934,-0.12105962189803356,0.0031241713022020488,0.0,0.0,0.0048015215742262815,0.0,0.0,0.0,0.0,0.0002574062489841304,0.0,0.00024392436635436898,0.0,0.0,0.0,0.0,0.0,0.0045891233804194465,0.0,0.005104820855211303,0.0,0.0,0.0,0.0,0.0,1.9539944439029973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0036113147234246743,0.0,0.0,0.0,0.0
2BrCPT,0.435,0.24567185419285173,-0.2700397222693047,0.004060338413366963,-0.00750457661931572,-0.007597184519464022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003815503437088565,0.0038165408616167525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004797458339916804,0.0,-0.0034295595794712488,0.0028715064157184677,0.0,0.0,0.0
2C,0.8599999999999999,0.03787462145177359,0.21123603718810874,0.02085942216465705,0.04156917325546376,0.010472949676597787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010740865926015792,0.0,0.010059893299193304,0.0,0.0,0.0,0.0,0.0,0.0,0.03995138696025025,0.0,0.0,0.0,0.01962129817185755,0.0,0.0,0.013440194946668087,0.0,0.0,0.0,0.0
2CM,0.524,0.042479503058839393,0.0,0.003402265224257229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011233047839024311,0.0025749758706596743,0.0,0.0,0.0,0.0,0.001359326065148893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003668165004893646,0.0,0.0007283546423023507,0.0,0.0,0.0,0.0010449364072464705,0.0050810820878629875,0.0,0.0,0.003828953750266692,0.0
2Cz-DMAC-BTB,0.3809999999999998,0.11788650891140275,-0.15900272099773569,0.0,-0.0026357571435213956,0.0,-0.021993810095349293,0.0,0.0,0.0,-0.026296380019470343,-0.010760655962441232,0.0,0.0,0.0,0.0,0.0,0.0,-0.00866595284449009,-0.016870032317968308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009762806439882615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004496894794318859
2Cz-DMAC-TTR,0.4349999999999996,0.26397213835930694,-0.29637176088957196,0.0065969195436901985,0.0,0.0,0.0,0.0,0.0013940549751547402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017089120234900605,0.0,0.0,0.0,0.0,0.0,0.0005375207782131278,0.0,0.0,0.0,0.0,0.0,0.006419386540766736,0.0,0.008059222789739024,0.0,0.0,0.00234670411816951,0.0020997265719324637
2Cz-DMAC-TXO,0.5329999999999999,-0.04542471793994763,0.09497241299773891,-0.020463343595757095,0.0,0.011865124609513793,-0.008578360022905091,0.0,0.007871210039901603,0.0,0.0,0.0,0.0,0.0,0.0,0.015370144216713472,0.0,0.0,0.007137244246555735,0.0,0.0,0.0,-0.005601362548246041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012169135318352009,0.0,0.0
