feature,mean_abs_shap_eV
S1_S_he,0.03691776245901191
S_NTO_ratio,0.014540954402425688
S1_osc_strength,0.011532260476518452
S1_Delta_r,0.007877321201423588
T1_S_he,0.0069413621600224054
Log_Abs_T1,0.006847723549249679
Delta_Delta_r,0.004764936424087102
Delta_S_he,0.0042815013485491445
Abs_Delta_Delta_r,0.004089765910981585
Abs_Delta_S_he,0.00403264173282777
Abs_Delta_Lambda_D,0.0030844541018543005
Log_Abs_S1,0.00297310445758117
Delta_Lambda_D,0.0025790234707658744
Delta_Lambda_A,0.001970499186586531
T1_Lambda_D,0.001954950191588574
T1_CT_number,0.0017212933559604135
Abs_Delta_CT_number,0.0015925775755347784
T1_hole_on_A,0.0015169766902671956
T1_Delta_r,0.0014654137484871183
S1_CT_number,0.001374890479211053
Abs_Delta_Lambda_A,0.001344577687588948
Delta_CT_number,0.0011518865405342096
S1_particle_on_D,0.0006805741922864382
S1_Lambda_D,0.0006677795019067008
T1_particle_on_D,0.0006164585780069734
T1_Lambda_A,0.0005902606360225179
S1_Lambda_A,0.0005438845620428908
S1_hole_on_A,0.000520389350583552
Delta_S_NTO,8.714615007906453e-05
S_NTO_sum,7.228286621030456e-05
T1_overlap,6.109294985625996e-05
S1_overlap,3.246707567263385e-05
Abs_Delta_S_NTO,1.5729263416908537e-05
S_NTO_product,0.0
Char_diff_squared,0.0
