molecule_id,SMILES_canonical,pred_delta_EST_eV,PI_low_eV,PI_high_eV,MW,n_aromatic_rings
MOL_012178,CCOC(=O)c1ccc(NC(=O)C[C@@H]2C(=O)N(c3ccc(F)cc3)C(=S)N2Nc2ncc(Cl)cc2Cl)cc1,0.044,-0.134,0.222,576.44,3.0
MOL_016801,O=C(C[C@@]1(O)C(=O)N(CCc2ccccc2)c2ccc(Br)cc21)c1ccncc1,0.046,-0.132,0.224,451.32,3.0
MOL_016802,O=C(C[C@]1(O)C(=O)N(CCc2ccccc2)c2ccc(Br)cc21)c1ccncc1,0.046,-0.132,0.224,451.32,3.0
MOL_011524,COc1cc(C=C2N=C(SCC(=O)Nc3ccc(Cl)cn3)N(c3ccccc3)C2=O)cc(OC)c1OC,0.046,-0.132,0.224,539.01,3.0
MOL_011525,COc1cc(/C=C2\N=C(SCC(=O)Nc3ccc(Cl)cn3)N(c3ccccc3)C2=O)cc(OC)c1OC,0.046,-0.132,0.224,539.01,3.0
MOL_017256,O=C(CSC1=NC(=Cc2ccco2)C(=O)N1c1ccccc1)Nc1ccc(Cl)cn1,0.047,-0.131,0.225,438.9,3.0
MOL_006125,C[n+]1c2ccccc2c(C(=O)Cl)c2ccccc21,0.047,-0.131,0.225,256.71,3.0
MOL_001363,CCN(CCC#N)c1ccc(C(=C2C=CC(=[N+](CC)CCC#N)C=C2)c2ccccc2Cl)cc1,0.047,-0.131,0.225,470.04,2.0
MOL_001362,CCN(CCC#N)c1ccc(C(=C2C=CC(=[N+](CC)CCC#N)C=C2)c2ccccc2Cl)cc1.[Cl-],0.047,-0.131,0.225,505.49,2.0
MOL_021469,Cc1c(Cl)ccc2c1NC(=O)[C@@]21C(C#N)=C(N)N(c2cccc(F)c2)C2=C1C(=O)CCC2,0.048,-0.13,0.226,448.89,2.0
MOL_015482,CNC(=O)/C(C#N)=C1\S[C@@H](Cc2ccccc2Cl)C(=O)N1c1ccc(Cl)cc1,0.048,-0.13,0.226,432.33,2.0
MOL_015481,CNC(=O)/C(C#N)=C1\S[C@H](Cc2ccccc2Cl)C(=O)N1c1ccc(Cl)cc1,0.048,-0.13,0.226,432.33,2.0
MOL_015487,CNC(=O)/C(C#N)=C1\S[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)N1c1ccc(Cl)cc1,0.048,-0.13,0.226,466.78,2.0
MOL_021468,Cc1c(Cl)ccc2c1NC(=O)[C@]21C(C#N)=C(N)N(c2cccc(F)c2)C2=C1C(=O)CCC2,0.048,-0.13,0.226,448.89,2.0
MOL_021098,Cc1c(Cl)cccc1Nc1nc(N)nc(CN2CCN(c3cccc(Cl)c3)CC2)n1,0.048,-0.13,0.226,444.37,3.0
MOL_017205,NC(=O)C[C@@H]1C(=O)N(c2ccc(Cl)cc2)C(=S)N1Cc1cccnc1,0.049,-0.129,0.227,374.85,2.0
MOL_006819,Cc1nc2nc(N)nc(N)c2nc1CN(C)c1ccc2c(Cl)cc(Cl)cc2c1,0.049,-0.129,0.227,414.3,4.0
MOL_008373,CCCCn1c2ccccc2c(=O)c2cc(Cl)ccc21,0.049,-0.129,0.227,285.77,3.0
MOL_017204,NC(=O)C[C@H]1C(=O)N(c2ccc(Cl)cc2)C(=S)N1Cc1cccnc1,0.049,-0.129,0.227,374.85,2.0
MOL_006811,CN(Cc1ccc2nc(N)nc(N)c2n1)c1c(Cl)cc(Cl)cc1Cl,0.05,-0.128,0.228,383.67,3.0
MOL_006124,C[n+]1c2ccccc2c(C(=O)Cl)c2ccccc21.O=S(O)Cl,0.05,-0.128,0.228,357.24,3.0
MOL_006448,COc1ccccc1N1CCN(CCN(C(=O)c2ccc([18F])c(C)c2)c2ccccn2)CC1,0.05,-0.128,0.228,447.54,3.0
MOL_021643,CCN1C(=O)[C@@](O)(CC(=O)c2ccncc2)c2cc(Br)ccc21,0.05,-0.128,0.228,375.22,2.0
MOL_021642,CCN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2cc(Br)ccc21,0.05,-0.128,0.228,375.22,2.0
MOL_007911,CN(C)C(=O)c1cc(Cl)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,0.05,-0.128,0.228,505.79,3.0
MOL_006461,COc1ccccc1N1CCN(CCN(C(=O)Cc2ccc([18F])c(C)c2)c2ccccn2)CC1,0.05,-0.128,0.228,461.57,3.0
MOL_021815,O=C(C[C@@H]1C(=O)N(c2cccc(Cl)c2)C(=S)N1Cc1ccccn1)Nc1ccc(F)cc1,0.05,-0.128,0.228,468.94,3.0
MOL_003712,CCN(CC#N)c1ccc(Nc2cc(Cl)ccc2Cl)cc1,0.05,-0.128,0.228,320.22,2.0
MOL_021814,O=C(C[C@H]1C(=O)N(c2cccc(Cl)c2)C(=S)N1Cc1ccccn1)Nc1ccc(F)cc1,0.05,-0.128,0.228,468.94,3.0
MOL_021008,CN(C(=O)c1cn(-c2ccccc2)c(=O)c2ccccc12)c1ccc(Cl)cc1,0.05,-0.128,0.228,388.85,4.0
MOL_015537,Cc1[nH]c2c(C)c(Cl)ccc2c(=O)c1CN1CCN(c2ccccc2)CC1,0.051,-0.127,0.229,381.91,3.0
MOL_017777,O=C1c2cc(Cl)c(Cl)cc2C(=O)N1c1ccc(Cc2ccncc2)cc1,0.051,-0.127,0.229,383.23,3.0
MOL_015992,Cc1c(O)nc(S[C@H]2CC(=O)N(c3ccc(Cl)cc3Cl)C2=O)[nH]c1=O,0.051,-0.127,0.229,400.24,2.0
MOL_021467,Cc1c(Cl)ccc2c1NC(=O)[C@@]21C(C#N)=C(N)N(c2ccccc2)C2=C1C(=O)CC(C)(C)C2,0.051,-0.127,0.229,458.95,2.0
MOL_021801,O=C(C[C@@H]1C(=O)N(c2cccc(Cl)c2)C(=S)N1Cc1ccccn1)Nc1ccccc1,0.051,-0.127,0.229,450.95,3.0
MOL_012844,Cn1c(N[C@@H]2CC(=O)N(c3ccc(Cl)cc3Cl)C2=O)cc(=O)n(C)c1=O,0.051,-0.127,0.229,397.22,2.0
MOL_007321,CC(=O)CN1CCN(c2c(Cl)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,0.051,-0.127,0.229,421.86,2.0
MOL_021464,Cc1c(Cl)ccc2c1NC(=O)[C@]21C(C#N)=C(N)N(c2ccccc2)C2=C1C(=O)CCC2,0.051,-0.127,0.229,430.9,2.0
MOL_005848,Cc1c(C(=O)N2CCN(c3ccccc3)CC2)[n+](=O)c2cc(Cl)c(Cl)cc2n1[O-],0.051,-0.127,0.229,433.3,3.0
MOL_021465,Cc1c(Cl)ccc2c1NC(=O)[C@@]21C(C#N)=C(N)N(c2ccccc2)C2=C1C(=O)CCC2,0.051,-0.127,0.229,430.9,2.0
MOL_021466,Cc1c(Cl)ccc2c1NC(=O)[C@]21C(C#N)=C(N)N(c2ccccc2)C2=C1C(=O)CC(C)(C)C2,0.051,-0.127,0.229,458.95,2.0
MOL_015993,Cc1c(O)nc(S[C@@H]2CC(=O)N(c3ccc(Cl)cc3Cl)C2=O)[nH]c1=O,0.051,-0.127,0.229,400.24,2.0
MOL_017452,O=C(C[C@]1(O)C(=O)N(Cc2ccc(Cl)cc2)c2ccccc21)c1cccnc1,0.051,-0.127,0.229,392.84,3.0
