molecule,heavy_atoms,atoms_with_H,exp_dEST_eV,sTDA_dEST_eV,S1_eV,T1_eV,dEST_eV,states_parsed,terminated_normally,wall_seconds,retained_bytes,smiles
2BrCPT,39,59,0.04,0.435,4.515,3.518,0.997,True,True,751.1,237468,Brc1ccc2c(c1)c1cc(Br)ccc1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
FTAT-FBO,39,68,0.12000000000000001,0.0179999999999997,5.512,4.165,1.347,True,True,656.9,292767,O=P(c1ccccc1)(c1ccccc1)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
3-ACBPmCN,40,64,0.18,0.1320000000000001,3.782,2.882,0.9,True,True,762.9,230379,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(C#N)ccc2c2nc4ccccc4nc32)c2ccccc21
DMACMNPTO,40,70,0.28,0.601,4.718,3.76,0.958,True,True,753.4,283571,Cc1cc(N2c3ccccc3S(=O)(=O)c3ccccc32)c(C)cc1N1c2ccccc2C(C)(C)c2ccccc21
25CzBPym,40,62,0.045,0.137,3.844,3.339,0.505,True,True,639.2,295094,O=C(c1cncnc1)c1cc(-n2c3ccccc3c3ccccc32)ccc1-n1c2ccccc2c2ccccc21
35CzBPym,40,62,0.1,0.2600000000000002,3.988,3.412,0.576,True,True,658.9,289529,O=C(c1cncnc1)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1
IDAC-MCO,41,69,0.09,0.5249999999999999,4.204,3.333,0.871,True,True,597.1,271027,Cc1cc2cc(-n3c4ccccc4c4cc5c(cc43)C(C)(C)c3ccccc3N5c3ccccc3)ccc2c(=O)o1
CzmPPC,42,69,0.28,0.1939999999999999,4.699,3.553,1.146,True,True,655.7,310863,c1ccc(-c2cccc(-c3nc(-c4cccc(-c5ccccc5)c4)nc(-c4cccc(-c5ccccc5)c4)n3)c2)cc1
Ac-BPCN,42,65,0.13,0.601,3.466,2.879,0.587,True,True,775.7,227759,CC1(C)c2ccccc2N(c2ccc3nc4c5cc(C#N)ccc5c5ccc(C#N)cc5c4nc3c2)c2ccccc21
11-AcBPdCN,42,65,0.065,0.5830000000000002,3.458,2.857,0.601,True,True,821.2,227220,CC1(C)c2ccccc2N(c2ccc3nc4c5ccc(C#N)cc5c5cc(C#N)ccc5c4nc3c2)c2ccccc21
BTITrz,42,63,0.03,0.387,4.218,3.363,0.855,True,True,777.2,258862,N#Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccccc2c2c3ccccc3sc21
3-AcBPdCN,42,65,0.18,0.5009999999999999,3.703,2.845,0.858,True,True,826.6,243505,CC1(C)c2ccccc2N(c2ccc3c(c2)c2ccccc2c2nc4cc(C#N)c(C#N)cc4nc32)c2ccccc21
