molecule,heavy_atoms,atoms_with_H,exp_dEST_eV,sTDA_dEST_eV,S1_eV,T1_eV,dEST_eV,states_parsed,terminated_normally,wall_seconds,retained_bytes,smiles
MCZ-P2-DTM,50,80,0.23,0.4120000000000003,4.009,3.364,0.645,True,True,758.9,348725,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OC)cc4)ccc2n3-c2ccc(C(=O)c3ccc4sc5ccccc5c4c3)cn2)cc1
SiTCNCz,52,83,0.13,0.4129999999999993,4.765,3.66,1.105,True,True,1347.2,332005,N#Cc1cccc(-c2nc(-c3cccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)c3)nc(-n3c4ccccc4c4ccccc43)n2)c1
AcCN,52,90,0.07,0.2689999999999997,4.332,3.655,0.677,True,True,1191.5,720390,CC1(C)c2ccccc2N(c2ccc(-c3cncc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)c3C#N)cc2)c2ccccc21
AcCYP,52,90,0.2,0.1229999999999997,4.161,3.299,0.862,True,True,1484.3,433530,CC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)c(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)n3)cc2)c2ccccc21
12AcCz-PM,53,89,0.39,0.4130000000000002,4.091,3.269,0.822,True,True,1254.0,713096,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2c1ccc1c2c2ccccc2n1-c1ccccc1
CCDC,53,84,0.147,0.443,3.996,3.39,0.606,True,True,1036.5,419774,O=C(c1ccccc1)c1ccc(-n2c3ccc(-n4c5ccccc5c5ccccc54)cc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1
SBF-PXZ,53,83,0.26,0.387,4.066,3.292,0.774,True,True,1353.7,849831,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(N3c4ccccc4Oc4ccccc43)ccc1-2
OCzBN,53,85,0.2,0.4899999999999997,4.243,3.475,0.768,True,True,1029.7,468186,COc1ccc2c(c1)c1ccccc1n2-c1cc(-n2c3ccccc3c3cc(OC)ccc32)c(C#N)c(-n2c3ccccc3c3cc(OC)ccc32)c1
FSF4A,53,90,0.022,0.3700000000000001,4.269,3.234,1.035,True,True,1473.5,485278,CC1(C)c2ccccc2-c2ccc(N(c3ccccc3-c3ccccc3)c3cccc4c3-c3ccccc3C43c4ccccc4-c4ccccc43)cc21
PPZTPI,53,91,0.11,0.238,3.765,3.004,0.761,True,True,1128.3,499948,CC(C)(C)c1ccc(-n2c(-c3ccc(N4c5ccccc5N(c5ccccc5)c5ccccc54)cc3)nc3c4ccccc4c4ccccc4c32)cc1
ECDPTT,53,86,0.08,0.645,4.015,2.79,1.225,True,True,1133.6,588174,CCn1c2ccccc2c2cc(C(=C(c3ccccc3)c3ccccc3)c3ccc(-c4ccc5c(c4)S(=O)(=O)c4ccccc4S5(=O)=O)cc3)ccc21
BDQDMAC,54,94,0.07,0.1320000000000001,3.284,2.776,0.508,True,True,1316.0,748169,CC1(C)c2ccccc2N(c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)c3nc(-c4ccccc4)c(-c4ccccc4)nc23)c2ccccc21
26DAcBPy,54,93,0.01,0.326,3.809,3.198,0.611,True,True,1801.4,722306,CC1(C)c2ccccc2N(c2ccc(C(=O)c3cccc(C(=O)c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)n3)cc2)c2ccccc21
25DAcBPy,54,93,0.04,0.133,3.711,3.132,0.579,True,True,1095.2,525337,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(C(=O)c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)nc3)cc2)c2ccccc21
mCP-BP-DMAC,54,85,0.024,0.363,4.011,3.351,0.66,True,True,1077.6,503618,O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc2c(c1)c1ccccc1n2-c1cccc(-n2c3ccccc3c3ccccc32)c1
NyDPAc,54,94,0.3,0.3610000000000002,4.185,3.188,0.997,True,True,1056.9,379249,CC1(C)c2ccccc2Nc2cccc(-c3ccc(-c4ccc5nc(-c6ccc(-c7cccc8c7C(C)(C)c7ccccc7N8)cc6)ccc5n4)cc3)c21
VBN0,54,89,0.11,0.4529999999999998,4.273,3.399,0.874,True,True,1192.0,687970,C=Cc1ccc(COc2ccc3c(c2)c2ccccc2n3-c2cccc(-n3c4ccccc4c4cc(OCc5ccc(C=C)cc5)ccc43)c2C#N)cc1
IDFL-2DPA,54,91,0.45,0.3169999999999997,3.763,3.017,0.746,True,True,933.7,382768,CC1(C)c2ccccc2-c2c1cc1c3cc(N(c4ccccc4)c4ccccc4)ccc3n3c4ccc(N(c5ccccc5)c5ccccc5)cc4c2c13
