molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_000015,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,PubChem_filtered,246.31,246.31,4.49,4.0,4,2.0,2,0.0,0,1,1,28.68,4,19
MOL_000016,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,PubChem_filtered,369.34,369.34,1.7,2.0,2,6.0,6,4.0,4,1,4,65.78,3,26
MOL_000017,COc1ccc2[nH]c3ccc4cc[n+](CC[NH2+]CCCCCC[NH2+]CC[n+]5ccc6ccc7[nH]c8ccc(OC)cc8c7c6c5)cc4c3c2c1,PubChem_filtered,668.89,668.89,5.24,8.0,8,8.0,8,15.0,15,4,2,91.02,8,50
MOL_000018,COc1ccc2[nH]c3ccc4cc[n+](CCNCCCCCCNCC[n+]5ccc6ccc7[nH]c8ccc(OC)cc8c7c6c5)cc4c3c2c1,PubChem_filtered,666.87,666.87,7.29,8.0,8,8.0,8,15.0,15,4,4,81.86,8,50
MOL_000019,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,PubChem_filtered,442.43,442.43,1.07,3.0,3,12.0,12,9.0,9,5,9,197.9,3,32
MOL_000020,Nc1nc(N)c2c(Sc3ccc(N4CCOCC4)cc3)cccc2n1,PubChem_filtered,353.45,353.45,2.78,3.0,3,7.0,7,3.0,3,2,7,90.29,4,25
MOL_000021,N#CCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3,PubChem_filtered,364.41,364.41,4.59,5.0,5,5.0,5,2.0,2,2,2,73.61,6,28
MOL_000022,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,PubChem_filtered,721.86,721.86,5.13,6.0,6,13.0,13,10.0,10,0,9,130.08,7,51
MOL_000023,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,PubChem_filtered,391.47,391.47,4.88,4.0,4,4.0,4,5.0,5,0,3,46.09,5,30
MOL_000024,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,PubChem_filtered,351.35,351.35,1.8,2.0,2,6.0,6,3.0,3,2,4,74.57,3,25
MOL_000025,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,PubChem_filtered,454.45,454.45,0.27,3.0,3,13.0,13,9.0,9,5,10,210.54,3,33
MOL_000026,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,PubChem_filtered,401.44,401.44,2.37,2.0,2,7.0,7,4.0,4,2,5,83.8,5,29
MOL_000027,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,PubChem_filtered,360.39,360.39,2.31,2.0,2,6.0,6,2.0,2,2,4,82.77,4,26
MOL_000028,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,PubChem_filtered,319.34,319.34,1.27,2.0,2,6.0,6,3.0,3,2,4,74.57,3,23
MOL_000029,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,PubChem_filtered,361.37,361.37,1.54,2.0,2,7.0,7,2.0,2,1,5,75.01,4,26
MOL_000030,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(I)cc2)c2ccccn2)CC1,PubChem_filtered,542.42,542.42,4.16,3.0,3,6.0,6,7.0,7,0,5,48.91,4,32
MOL_000031,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,PubChem_filtered,365.5,365.5,4.01,2.0,2,5.0,5,4.0,4,1,5,50.5,4,26
MOL_000032,COc1cc(N(CC(=O)O)CC(=O)O)c2nc(COc3ccc(C)cc3N(CC(=O)O)CC(=O)O)ccc2c1,PubChem_filtered,541.51,541.51,2.08,3.0,3,13.0,13,14.0,14,4,9,187.03,3,39
MOL_000033,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,PubChem_filtered,292.34,292.34,3.17,3.0,3,5.0,5,1.0,1,1,2,50.16,4,22
MOL_000034,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,PubChem_filtered,392.41,392.41,2.08,2.0,2,7.0,7,3.0,3,3,5,100.59,4,28
MOL_000035,CCCOc1cc(N2CCOCCOCCN(c3cc(OCCC)c(OCCC)c4ccc(C)nc34)CCOCC2)c2nc(C)ccc2c1OCCC,PubChem_filtered,732.96,732.96,7.93,4.0,4,11.0,11,14.0,14,0,11,96.87,5,53
MOL_000036,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,PubChem_filtered,375.4,375.4,1.98,2.0,2,7.0,7,4.0,4,2,5,83.8,4,27
MOL_000037,O=C(CCN1CCCCC1)Nc1ccc2cc3ccc(NC(=O)CCN4CCCCC4)cc3nc2c1,PubChem_filtered,487.65,487.65,5.02,3.0,3,7.0,7,8.0,8,2,5,77.57,5,36
MOL_000038,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,PubChem_filtered,371.87,371.87,2.36,3.0,3,6.0,6,5.0,5,0,4,45.78,4,26
MOL_000039,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,PubChem_filtered,387.48,387.48,0.72,2.0,2,8.0,8,7.0,7,1,6,71.74,3,28
MOL_000040,COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1,PubChem_filtered,401.51,401.51,1.03,2.0,2,8.0,8,7.0,7,1,6,71.74,3,29
MOL_000041,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,PubChem_filtered,422.57,422.57,3.83,2.0,2,6.0,6,7.0,7,0,5,48.91,4,31
MOL_000042,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,PubChem_filtered,305.34,305.34,2.64,3.0,3,6.0,6,3.0,3,0,4,74.29,3,23
MOL_000043,CN(C)c1ccc2nc3cccc(N(C)C)c3cc2c1.Cl,PubChem_filtered,301.82,301.82,3.94,3.0,3,3.0,3,2.0,2,0,3,19.37,3,21
MOL_000044,CN(C)c1ccc2nc3cccc(N(C)C)c3cc2c1,PubChem_filtered,265.36,265.36,3.52,3.0,3,3.0,3,2.0,2,0,3,19.37,3,20
MOL_000045,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,PubChem_filtered,472.89,472.89,6.82,3.0,3,4.0,4,9.0,9,1,4,37.39,3,30
MOL_000046,Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,PubChem_filtered,329.36,329.36,4.22,3.0,3,4.0,4,2.0,2,2,4,66.4,4,25
