molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_003561,COC(=O)c1c2cccc(C)c2nc2c(C)cccc12,PubChem_filtered,265.31,265.31,3.79,3.0,3,3.0,3,1.0,1,0,3,39.19,3,20
MOL_003562,Cc1ccc(C)c2nc3c(C)ccc(C)c3cc12,PubChem_filtered,235.33,235.33,4.62,3.0,3,1.0,1,0.0,0,0,1,12.89,3,18
MOL_003563,Cc1ccc(C)c2nc3c(C)ccc(C)c3cc12.O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,PubChem_filtered,448.44,448.44,6.03,4.0,4,10.0,10,3.0,3,0,7,142.31,4,33
MOL_003564,Cc1ccc(C)c2c(=O)c3c(C)ccc(C)c3[nH]c12,PubChem_filtered,251.33,251.33,3.91,3.0,3,2.0,2,0.0,0,1,1,32.86,3,19
MOL_003565,CN(C)c1ccc(C=NNc2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,PubChem_filtered,341.38,341.38,0.47,3.0,3,9.0,9,4.0,4,2,6,100.31,3,25
MOL_003566,CN1CCCc2cc(C=Cc3ccnc4ccccc34)ccc21,PubChem_filtered,300.41,300.41,4.79,3.0,3,2.0,2,2.0,2,0,2,16.13,4,23
MOL_003567,C(=Nc1ccc(N2CCOCC2)cc1)c1ccc2ccccc2n1,PubChem_filtered,317.39,317.39,3.82,3.0,3,4.0,4,3.0,3,0,4,37.72,4,24
MOL_003568,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.Nc1c2ccccc2nc2ccccc12,PubChem_filtered,528.63,528.63,3.83,4.0,4,9.0,9,4.0,4,3,6,125.62,6,38
MOL_003569,N#CC(c1ccccc1)c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,333.26,333.26,4.63,2.0,2,2.0,2,7.0,7,0,2,27.03,2,22
MOL_003570,N#CC(c1ccccc1)c1ccc(N(CCO)CCO)cc1,PubChem_filtered,296.37,296.37,2.13,2.0,2,4.0,4,7.0,7,2,4,67.49,2,22
MOL_003571,CN(C)c1ccc(C=Cc2cc(N(C)C)nc3ccccc23)cc1,PubChem_filtered,317.44,317.44,4.54,3.0,3,3.0,3,4.0,4,0,3,19.37,3,24
MOL_003572,Cn1c(NN=Cc2ccc(N(CCCl)CCCl)cc2)cc(=O)n(C)c1=O,PubChem_filtered,398.29,398.29,1.81,2.0,2,7.0,7,8.0,8,1,5,71.63,2,26
MOL_003573,N#CC1C=Cc2c(ccc3cccnc23)N1C(=O)c1ccccc1,PubChem_filtered,311.34,311.34,3.8,3.0,3,4.0,4,1.0,1,0,3,56.99,4,24
MOL_003574,COc1ccc2c(c1)CCCN2c1c2ccccc2nc2ccc(OC)cc12,PubChem_filtered,370.45,370.45,5.49,4.0,4,4.0,4,3.0,3,0,4,34.59,5,28
MOL_003575,COc1ccc2c(c1)CCCN2c1c2ccccc2nc2cc(Cl)ccc12,PubChem_filtered,374.87,374.87,6.13,4.0,4,3.0,3,2.0,2,0,3,25.36,5,27
MOL_003576,N#Cc1ccccc1Nc1ccccc1,PubChem_filtered,194.24,194.24,3.3,2.0,2,2.0,2,2.0,2,1,2,35.82,2,15
MOL_003577,CN(C(=O)Nc1ccccc1)c1ccccc1C#N,PubChem_filtered,251.29,251.29,3.23,2.0,2,4.0,4,2.0,2,1,2,56.13,2,19
MOL_003578,ClCCN(CCCl)c1ccc(C=Cc2ccncn2)cc1,PubChem_filtered,322.24,322.24,3.93,2.0,2,3.0,3,7.0,7,0,3,29.02,2,21
MOL_003579,Cc1cc(N(CCCl)CCCl)ccc1C=Cc1ccncn1,PubChem_filtered,336.27,336.27,4.24,2.0,2,3.0,3,7.0,7,0,3,29.02,2,22
MOL_003580,ClCCN(CCCl)c1ccc(-n2cnc3c(Cl)ncnc32)cc1,PubChem_filtered,370.67,370.67,3.75,3.0,3,5.0,5,6.0,6,0,4,46.84,3,23
MOL_003581,CCOC(=O)c1ccc(N(CCNc2cnc(NC(C)=O)[nH]c2=O)C(C)=O)cc1,PubChem_filtered,401.42,401.42,1.37,2.0,2,10.0,10,8.0,8,3,7,133.49,2,29
MOL_003582,Cc1cc2c(c3[nH]c4ccccc4c13)C(=O)c1ccccc1C2=O,PubChem_filtered,311.34,311.34,4.4,4.0,4,3.0,3,0.0,0,1,2,49.93,5,24
MOL_003583,ClCCN(CCCl)c1ccc(C=Cc2cc(C=Cc3ccc(N(CCCl)CCCl)cc3)ncn2)cc1,PubChem_filtered,564.39,564.39,7.39,3.0,3,4.0,4,14.0,14,0,4,32.26,3,36
MOL_003584,Cc1cc(N(CCCl)CCCl)ccc1C=Cc1cc(C=Cc2ccc(N(CCCl)CCCl)cc2C)ncn1,PubChem_filtered,592.44,592.44,8.0,3.0,3,4.0,4,14.0,14,0,4,32.26,3,38
MOL_003585,ClCCN(CCCl)c1ccc(C=Cc2cc(C=Cc3ccc(N(CCCl)CCCl)cc3)nc(C=Cc3ccc(N(CCCl)CCCl)cc3)n2)cc1,PubChem_filtered,806.54,806.54,10.84,4.0,4,5.0,5,21.0,21,0,5,35.5,4,51
MOL_003586,O=C1C(=Cc2ccccn2)SC(=S)N1c1ccccc1,PubChem_filtered,298.39,298.39,3.49,2.0,2,5.0,5,2.0,2,0,4,33.2,3,20
MOL_003587,O=C1C(=Cc2cccc(C=C3SC(=S)N(c4ccccc4)C3=O)n2)SC(=S)N1c1ccccc1,PubChem_filtered,517.68,517.68,5.89,3.0,3,9.0,9,4.0,4,0,7,53.51,5,34
MOL_003588,Cn1c(=O)c2[nH]c(-c3ccc(N(CCCl)CCCl)cc3)nc2n(C)c1=O,PubChem_filtered,396.28,396.28,1.91,3.0,3,7.0,7,6.0,6,1,4,75.92,3,26
MOL_003589,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ncccn1,PubChem_filtered,381.31,381.31,3.72,2.0,2,5.0,5,10.0,10,1,4,58.12,2,25
MOL_003590,O=C(NN=Cc1ccc(N(CCBr)CCBr)cc1)c1ccncc1,PubChem_filtered,454.17,454.17,3.44,2.0,2,5.0,5,8.0,8,1,4,57.59,2,24
MOL_003591,Cn1c(-c2ccc(N(CCCl)CCCl)cc2)nc2c1c(=O)[nH]c(=O)n2C,PubChem_filtered,396.28,396.28,1.91,3.0,3,7.0,7,6.0,6,1,4,75.92,3,26
MOL_003592,COC(=O)CCC(NC(=O)c1ccc(N(C=O)CCN(C=O)c2cnc(NC(C)=O)[nH]c2=O)cc1)C(=O)OC,PubChem_filtered,544.52,544.52,-0.42,2.0,2,15.0,15,14.0,14,3,10,197.17,2,39
MOL_003593,COc1ccc2nc3cc(Cl)ccc3c(NCCO)c2c1,PubChem_filtered,302.76,302.76,3.45,3.0,3,4.0,4,4.0,4,2,4,54.38,3,21
MOL_003594,Cc1ccnc(NC(=O)CCCc2ccc(N(CCCl)CCCl)cc2)n1,PubChem_filtered,395.33,395.33,4.03,2.0,2,5.0,5,10.0,10,1,4,58.12,2,26
MOL_003595,N#Cc1ncc(N=Cc2ccc(N(CCCl)CCCl)cc2)s1,PubChem_filtered,353.28,353.28,4.05,2.0,2,5.0,5,7.0,7,0,5,52.28,2,22
MOL_003596,N#CC1c2ccccc2C=CN1C(=O)N(c1ccccc1)c1ccccc1,PubChem_filtered,351.41,351.41,5.5,3.0,3,4.0,4,2.0,2,0,2,47.34,4,27
MOL_003597,Cn1c(=O)c2c(nc(-c3ccc(N(CCCl)CCCl)cc3)n2C)n(C)c1=O,PubChem_filtered,410.31,410.31,1.92,3.0,3,7.0,7,6.0,6,0,4,65.06,3,27
MOL_003598,Cc1c2ccnc(-c3ccccc3)c2cc2c1[nH]c1ccccc12,PubChem_filtered,308.38,308.38,5.84,5.0,5,2.0,2,1.0,1,1,1,28.68,5,24
MOL_003599,O=C(c1cccnc1)N1CCN(c2ccccc2Cl)CC1,PubChem_filtered,301.78,301.78,2.7,2.0,2,4.0,4,2.0,2,0,3,36.44,3,21
MOL_003600,O=C(c1cccnc1)N1CCN(c2ccccc2)CC1,PubChem_filtered,267.33,267.33,2.04,2.0,2,4.0,4,2.0,2,0,3,36.44,3,20
MOL_003601,COc1cc(C(=O)N2CCN(c3ccccc3)CC2)c2ccccc2n1,PubChem_filtered,347.42,347.42,3.21,3.0,3,5.0,5,3.0,3,0,4,45.67,4,26
MOL_003602,CCOC(=O)C(C#N)C(c1ccc(OC)cc1)N1CCN(c2ccccc2)CC1,PubChem_filtered,393.49,393.49,3.26,2.0,2,6.0,6,7.0,7,0,6,65.8,3,29
MOL_003603,O=C(c1cc(OCCN2CCN(c3ccccc3)CC2)nc2ccccc12)N1CCN(c2ccccc2)CC1,PubChem_filtered,521.67,521.67,4.4,4.0,4,7.0,7,7.0,7,0,6,52.15,6,39
MOL_003604,Nc1ncnc2nc(-c3ccc(N(CCCl)CCCl)cc3)[nH]c12,PubChem_filtered,351.24,351.24,2.89,3.0,3,6.0,6,6.0,6,2,5,83.72,3,23
MOL_003605,Nc1ncnc2c1ncn2-c1ccc(N(CCO)CCO)cc1,PubChem_filtered,314.35,314.35,0.19,3.0,3,8.0,8,6.0,6,3,7,113.32,3,23
MOL_003606,CCOC(=O)c1ccc(N(C=O)CCCNc2cnc(NC(C)=O)[nH]c2=O)cc1,PubChem_filtered,401.42,401.42,1.37,2.0,2,10.0,10,10.0,10,3,7,133.49,2,29
MOL_003607,Cc1ccccc1N1CCN(C(=O)c2ccccn2)CC1,PubChem_filtered,281.36,281.36,2.35,2.0,2,4.0,4,2.0,2,0,3,36.44,3,21
MOL_003608,O=C(NCCCl)Nc1c2ccccc2nc2ccccc12,PubChem_filtered,299.76,299.76,3.75,3.0,3,4.0,4,3.0,3,2,2,54.02,3,21
MOL_003609,Cc1cc2[nH]c3c4c(ccc3c2cc1C)C(=O)c1ccccc1C4=O,PubChem_filtered,325.37,325.37,4.71,4.0,4,3.0,3,0.0,0,1,2,49.93,5,25
MOL_003610,Cc1nc2ccccc2c(=O)n1-c1ccc(N=Cc2ccc(N(C)C)cc2)cc1,PubChem_filtered,382.47,382.47,4.51,4.0,4,5.0,5,4.0,4,0,4,50.49,4,29
MOL_003611,Cc1nc2ccc(Br)cc2c(=O)n1-c1ccc(N=Cc2ccc(N(C)C)cc2)cc1,PubChem_filtered,461.36,461.36,5.27,4.0,4,5.0,5,4.0,4,0,4,50.49,4,30
MOL_003612,Cc1nc2ccc(I)cc2c(=O)n1-c1ccc(N=Cc2ccc(N(C)C)cc2)cc1,PubChem_filtered,508.36,508.36,5.12,4.0,4,5.0,5,4.0,4,0,4,50.49,4,30
MOL_003613,Cc1cc(N(CCCl)CCCl)ccc1C=NNC(=O)c1ccncc1,PubChem_filtered,379.29,379.29,3.44,2.0,2,5.0,5,8.0,8,1,4,57.59,2,25
MOL_003614,Cc1cc(N(CCCl)CCCl)ccc1C=NNC(=O)c1cccnc1,PubChem_filtered,379.29,379.29,3.44,2.0,2,5.0,5,8.0,8,1,4,57.59,2,25
MOL_003615,O=C(NN=Cc1ccc(N(CCCl)CCCl)cc1)c1cccnc1,PubChem_filtered,365.26,365.26,3.13,2.0,2,5.0,5,8.0,8,1,4,57.59,2,24
MOL_003616,O=C1c2ccccc2C(=O)c2c1ccc1c2[nH]c2cc(Cl)c(Cl)cc21,PubChem_filtered,366.2,366.2,5.4,4.0,4,3.0,3,0.0,0,1,2,49.93,5,25
MOL_003617,CCOC(=O)Nc1cc(NCC(O)CN(C)c2ccccc2)c([N+](=O)[O-])c(NC(=O)OCC)n1,PubChem_filtered,476.49,476.49,3.04,2.0,2,13.0,13,11.0,11,4,10,168.19,2,34
MOL_003618,CCOC(=O)Nc1cc(NCC(O)CN(C)c2ccccc2)c([N+](=O)[O-])c(N)n1,PubChem_filtered,404.43,404.43,2.05,2.0,2,11.0,11,9.0,9,4,9,155.88,2,29
MOL_003619,CCOC(=O)Nc1cc(NCC(O)CN(C)c2ccccc2)c(N)c(NC(=O)OCC)n1,PubChem_filtered,446.51,446.51,2.71,2.0,2,11.0,11,10.0,10,5,9,151.07,2,32
MOL_003620,Nc1nc(N)c2c(n1)NCN(c1ccc(S(N)(=O)=O)cc1)C2,PubChem_filtered,321.37,321.37,-0.32,2.0,2,10.0,10,2.0,2,4,8,153.25,3,22
MOL_003621,Cc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(N=Cc2ccc(N(C)C)cc2)cc1,PubChem_filtered,416.91,416.91,5.16,4.0,4,5.0,5,4.0,4,0,4,50.49,4,30
MOL_003622,Cc1ccccc1N1CCN(C(=O)c2cccnc2)CC1,PubChem_filtered,281.36,281.36,2.35,2.0,2,4.0,4,2.0,2,0,3,36.44,3,21
MOL_003623,CCOC(=O)CCC(NC(=O)c1ccc(N(C=O)CCCN(C=O)c2cnc(NC=O)[nH]c2=O)cc1)C(=O)OCC,PubChem_filtered,572.58,572.58,0.36,2.0,2,15.0,15,18.0,18,3,10,197.17,2,41
MOL_003624,COc1cc2c(c(OC)c1OC)c(=O)c1ccccc1n2C,PubChem_filtered,299.33,299.33,2.72,3.0,3,5.0,5,3.0,3,0,4,49.69,3,22
MOL_003625,CC(=O)N(C)c1ccc(N=Nc2ccc3ncccc3c2)cc1,PubChem_filtered,304.35,304.35,4.63,3.0,3,5.0,5,3.0,3,0,4,57.92,3,23
MOL_003626,CN1C=CC(C(C#N)c2ccccc2)c2ccccc21,PubChem_filtered,260.34,260.34,4.04,2.0,2,2.0,2,2.0,2,0,2,27.03,3,20
MOL_003627,N#CC(=Cc1ccc(N(CCCl)CCCl)cc1)c1ccncc1,PubChem_filtered,346.26,346.26,4.43,2.0,2,3.0,3,7.0,7,0,3,39.92,2,23
MOL_003628,CN(C)c1ccc(C(C#N)NCCCNC(C#N)c2ccc(N(C)C)cc2)cc1,PubChem_filtered,390.54,390.54,3.22,2.0,2,6.0,6,10.0,10,2,6,78.12,2,29
MOL_003629,COc1ccc2nccc(C=Cc3ccc(N(C)C)cc3)c2c1,PubChem_filtered,304.39,304.39,4.48,3.0,3,3.0,3,4.0,4,0,3,25.36,3,23
MOL_003630,Cc1ccc(C(C#N)C2C=CN(C)c3ccccc32)cc1,PubChem_filtered,274.37,274.37,4.35,2.0,2,2.0,2,2.0,2,0,2,27.03,3,21
MOL_003631,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,PubChem_filtered,310.36,310.36,4.41,3.0,3,3.0,3,1.0,1,0,2,44.1,4,24
MOL_003632,C(=Cc1c2ccccc2nc2ccccc12)c1c2ccccc2nc2ccccc12,PubChem_filtered,382.47,382.47,7.26,6.0,6,2.0,2,2.0,2,0,2,25.78,6,30
MOL_003633,CN(C)c1ccc(C=NNc2ccccn2)cc1,PubChem_filtered,240.31,240.31,2.59,2.0,2,4.0,4,4.0,4,1,4,40.52,2,18
MOL_003634,CN(C)c1ccc(C=NNc2ccccn2)c(Cl)c1,PubChem_filtered,274.75,274.75,3.25,2.0,2,4.0,4,4.0,4,1,4,40.52,2,19
MOL_003635,CCOC(=O)c1ccc(N2CCN(CCO)C2c2c[nH]c(=O)[nH]c2=O)cc1,PubChem_filtered,374.4,374.4,0.05,2.0,2,9.0,9,6.0,6,3,7,118.73,3,27
MOL_003636,ClCCN(CCCl)c1ccc(CN2CCCN(Cc3ccc(N(CCCl)CCCl)cc3Cl)C2c2cccnc2)c(Cl)c1,PubChem_filtered,692.39,692.39,8.36,3.0,3,5.0,5,15.0,15,0,5,25.85,4,42
MOL_003637,OCCN(CCO)c1ccc(-n2cnc3c(Cl)ncnc32)cc1,PubChem_filtered,333.78,333.78,1.26,3.0,3,7.0,7,6.0,6,2,6,87.3,3,23
MOL_003638,COc1ccccc1C(C#N)N1CCCN(C(C#N)c2ccccc2OC)C1c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,592.57,592.57,6.52,3.0,3,7.0,7,12.0,12,0,7,75.76,4,41
MOL_003639,Cc1c2cnccc2c(C)c2c1[nH]c1ccccc12,PubChem_filtered,246.31,246.31,4.49,4.0,4,2.0,2,0.0,0,1,1,28.68,4,19
MOL_003640,CN(C)c1ccc(C=NNC(=O)c2cccnc2)cc1,PubChem_filtered,268.32,268.32,1.91,2.0,2,5.0,5,4.0,4,1,4,57.59,2,20
MOL_003641,COc1cc(N(CCCl)CCCl)ccc1C=NNC(=O)c1cccnc1,PubChem_filtered,395.29,395.29,3.14,2.0,2,6.0,6,9.0,9,1,5,66.82,2,26
MOL_003642,O=C(NN=Cc1ccc(N(CCCl)CCCl)cc1Cl)c1cccnc1,PubChem_filtered,399.71,399.71,3.78,2.0,2,5.0,5,8.0,8,1,4,57.59,2,25
MOL_003643,CN(Cc1cnc2cc(N)nc(N)c2n1)c1ccccc1,PubChem_filtered,280.34,280.33,1.83,3.0,3,6.0,6,3.0,3,2,6,93.95,3,21
MOL_003644,Cn1c(N)c(C(=O)CCCc2ccc(N(CCCl)CCCl)cc2)c(=O)n(C)c1=O,PubChem_filtered,441.36,441.36,2.16,2.0,2,7.0,7,10.0,10,1,5,90.33,2,29
MOL_003645,Cc1ccc(C)c2c1[nH]c1c(C)c3ccncc3c(C)c12,PubChem_filtered,274.37,274.37,5.1,4.0,4,2.0,2,0.0,0,1,1,28.68,4,21
MOL_003646,Nc1nc(N)c(N=Cc2ccc(N(CCCl)CCCl)cc2)c(N)n1,PubChem_filtered,368.27,368.27,2.26,2.0,2,7.0,7,7.0,7,3,7,119.44,2,24
MOL_003647,N#CC(Nc1c(N)nc(-c2ccccc2)nc1N)c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,456.38,456.38,4.27,3.0,3,7.0,7,9.0,9,3,7,116.88,3,31
MOL_003648,COc1c(OC)c(O)c2c(c1OC)c(=O)c1ccccc1n2C,PubChem_filtered,315.32,315.32,2.42,3.0,3,6.0,6,3.0,3,1,5,69.92,3,23
MOL_003649,Cc1cc(C)c(C(=O)NN=Cc2ccc(N(CCCl)CCCl)cc2)c(=O)[nH]1,PubChem_filtered,409.32,409.32,3.04,2.0,2,6.0,6,8.0,8,2,4,77.56,2,27
MOL_003650,O=C(NN=Cc1ccc(N(CCCl)CCCl)cc1[N+](=O)[O-])c1cccnc1,PubChem_filtered,410.26,410.26,3.04,2.0,2,8.0,8,9.0,9,1,6,100.73,2,27
MOL_003651,ClCCN(CCCl)c1ccc(C=Nc2ccc(-c3ccccn3)cc2)cc1,PubChem_filtered,398.34,398.34,5.78,3.0,3,3.0,3,8.0,8,0,3,28.49,3,27
MOL_003652,Nc1nc2nc(-c3ccccc3)nc(N)c2nc1-c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,454.37,454.37,4.2,4.0,4,7.0,7,7.0,7,2,7,106.84,4,31
MOL_003653,O=C(NN=Cc1ccc(N(CCCl)CCCl)cc1)c1ccccn1,PubChem_filtered,365.26,365.26,3.13,2.0,2,5.0,5,8.0,8,1,4,57.59,2,24
MOL_003654,CCOC(=O)c1ccc(N(Cc2cnccn2)Cc2c[nH]c(=O)[nH]c2=O)cc1,PubChem_filtered,381.39,381.39,1.24,3.0,3,9.0,9,7.0,7,2,7,121.04,3,28
MOL_003655,O=C(Nc1cccc2ncccc12)c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,388.3,388.3,4.77,3.0,3,4.0,4,7.0,7,1,3,45.23,3,26
MOL_003656,Nc1nc(N)c2cc(N(CCO)CCO)ccc2n1.OCCO,PubChem_filtered,325.37,325.37,-1.44,2.0,2,9.0,9,6.0,6,6,9,161.98,2,23
MOL_003657,Nc1nc(N)c2cc(N(CCO)CCO)ccc2n1,PubChem_filtered,263.3,263.3,-0.41,2.0,2,7.0,7,5.0,5,4,7,121.52,2,19
MOL_003658,N#CCc1ccc2c(c1)[nH]c1ccccc12,PubChem_filtered,206.25,206.25,3.39,3.0,3,2.0,2,1.0,1,1,1,39.58,3,16
MOL_003659,CCOC(=O)N1c2ccc3ccccc3c2C=CC1C#N,PubChem_filtered,278.31,278.31,3.72,2.0,2,4.0,4,1.0,1,0,3,53.33,3,21
MOL_003660,CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,PubChem_filtered,468.47,468.47,0.66,3.0,3,13.0,13,10.0,10,5,10,210.54,3,34
MOL_003661,CC(c1cnc2nc(N)nc(N)c2n1)N(C)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,PubChem_filtered,468.47,468.47,0.83,3.0,3,13.0,13,9.0,9,5,10,210.54,3,34
MOL_003662,CN(C)c1nc(N)nc2ncc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc12,PubChem_filtered,482.5,482.5,0.75,3.0,3,13.0,13,10.0,10,4,10,187.76,3,35
MOL_003663,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1F,PubChem_filtered,472.44,472.44,0.41,3.0,3,13.0,13,9.0,9,5,10,210.54,3,34
MOL_003664,CCN(CC)c1ccc(N=Cc2cc(=O)n(C)c3ccccc23)cc1,PubChem_filtered,333.44,333.44,4.14,3.0,3,4.0,4,5.0,5,0,3,37.6,3,25
MOL_003665,CCOC(=O)Nc1cc(N)c2nc(CN(C)c3ccccc3)cnc2n1,PubChem_filtered,352.4,352.4,2.81,3.0,3,8.0,8,5.0,5,2,7,106.26,3,26
MOL_003666,CN(Cc1cnc2nc(N)cc(N)c2n1)c1ccccc1,PubChem_filtered,280.33,280.33,1.83,3.0,3,6.0,6,3.0,3,2,6,93.95,3,21
MOL_003667,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,PubChem_filtered,452.47,452.47,1.48,3.0,3,11.0,11,9.0,9,5,8,184.76,3,33
MOL_003668,O=C(c1ccc(-c2ccccc2)cc1)N(C(=O)c1cc(N2CCOCC2)ccn1)c1ccc([N+](=O)[O-])cc1,PubChem_filtered,508.53,508.53,4.98,4.0,4,9.0,9,6.0,6,0,7,105.88,5,38
MOL_003669,N#CC(c1ccc(Cl)cc1)c1ccc(N(CCO)CCO)cc1,PubChem_filtered,330.82,330.82,2.79,2.0,2,4.0,4,7.0,7,2,4,67.49,2,23
MOL_003670,CN(C)c1ccc(C=NNc2ncnc(Cl)c2N)cc1,PubChem_filtered,290.76,290.76,2.22,2.0,2,6.0,6,4.0,4,2,6,79.43,2,20
MOL_003671,COc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)c(Br)c1,PubChem_filtered,424.25,424.25,4.68,3.0,3,5.0,5,3.0,3,2,5,75.63,4,27
MOL_003672,Nc1nc2ncnc(N)c2nc1-c1ccc(N(CCO)CCO)cc1,PubChem_filtered,341.38,341.38,0.04,3.0,3,9.0,9,6.0,6,4,9,147.3,3,25
MOL_003673,COc1nc(N)nc2nc(N)c(-c3ccc(N(CCO)CCO)cc3)nc12,PubChem_filtered,371.4,371.4,0.05,3.0,3,10.0,10,7.0,7,4,10,156.53,3,27
MOL_003674,Cc1nc(N)c2nc(-c3ccc(N(CCO)CCO)cc3)c(N)nc2n1,PubChem_filtered,355.4,355.4,0.35,3.0,3,9.0,9,6.0,6,4,9,147.3,3,26
MOL_003675,Nc1nc2nc(-c3ccc([N+](=O)[O-])cc3)nc(N)c2nc1-c1ccc(N(CCO)CCO)cc1,PubChem_filtered,462.47,462.47,1.62,4.0,4,12.0,12,8.0,8,4,11,190.44,4,34
MOL_003676,Nc1nc2ncnc(N)c2nc1-c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,378.27,378.27,2.54,3.0,3,7.0,7,6.0,6,2,7,106.84,3,25
MOL_003677,Cc1nc(N)c2nc(-c3ccc(N(CCCl)CCCl)cc3)c(N)nc2n1,PubChem_filtered,392.29,392.29,2.84,3.0,3,7.0,7,6.0,6,2,7,106.84,3,26
MOL_003678,Nc1nc2nc(-c3ccc([N+](=O)[O-])cc3)nc(N)c2nc1-c1ccc(N(CCCl)CCCl)cc1,PubChem_filtered,499.36,499.36,4.11,4.0,4,10.0,10,8.0,8,2,9,149.98,4,34
MOL_003679,O=C1c2ccccc2C(=O)c2cc(N3C(=O)C=CC3=O)ccc21,PubChem_filtered,303.27,303.27,1.89,2.0,2,5.0,5,1.0,1,0,4,71.52,4,23
MOL_003680,O=C1c2ccccc2C(=O)c2c(Nc3ccc(S(=O)(=O)N(CCO)CCO)cc3)ccc(O)c21,PubChem_filtered,482.51,482.51,1.89,3.0,3,10.0,10,8.0,8,4,8,144.24,4,34
MOL_003681,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)ccc(NCCO)c21,PubChem_filtered,358.4,358.4,3.61,3.0,3,5.0,5,5.0,5,3,5,78.43,4,27
MOL_003682,CNc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1,PubChem_filtered,423.45,423.45,3.08,3.0,3,9.0,9,4.0,4,4,7,138.59,4,30
MOL_003683,O=C1c2ccccc2C(=O)c2c1ccc(N1C(=O)c3ccccc3C1=O)c2-c1c(N2C(=O)c3ccccc3C2=O)ccc2c1C(=O)c1ccccc1C2=O,PubChem_filtered,704.65,704.65,6.51,6.0,6,10.0,10,3.0,3,0,8,143.04,10,54
MOL_003684,CC(Cl)CN(CC(C)Cl)c1ccc(S(=O)(=O)Nc2ncccn2)cc1,PubChem_filtered,403.34,403.34,3.34,2.0,2,7.0,7,8.0,8,1,5,75.19,2,25
MOL_003685,Oc1ccccc1C=NNc1c2ccccc2nc2ccccc12,PubChem_filtered,313.36,313.36,4.54,4.0,4,4.0,4,3.0,3,2,4,57.51,4,24
MOL_003686,CCOc1ccccc1C=NNc1c2ccccc2nc2ccccc12,PubChem_filtered,341.41,341.41,5.23,4.0,4,4.0,4,5.0,5,1,4,46.51,4,26
MOL_003687,CCOc1ccc(C=NNc2c3ccccc3nc3ccccc23)cc1OCC,PubChem_filtered,385.47,385.47,5.63,4.0,4,5.0,5,7.0,7,1,5,55.74,4,29
MOL_003688,Clc1ccccc1C=NNc1c2ccccc2nc2ccccc12,PubChem_filtered,331.81,331.81,5.49,4.0,4,3.0,3,3.0,3,1,3,37.28,4,24
MOL_003689,C(=NNc1c2ccccc2nc2ccccc12)c1ccc2c(c1)OCO2,PubChem_filtered,341.37,341.37,4.56,4.0,4,5.0,5,3.0,3,1,5,55.74,5,26
MOL_003690,O=[N+]([O-])c1ccc(Cl)cc1C=NNc1c2ccccc2nc2ccccc12,PubChem_filtered,376.8,376.8,5.4,4.0,4,6.0,6,4.0,4,1,5,80.42,4,27
MOL_003691,Clc1ccc(C=NNc2c3ccccc3nc3ccccc23)c(Cl)c1,PubChem_filtered,366.25,366.25,6.14,4.0,4,3.0,3,3.0,3,1,3,37.28,4,25
MOL_003692,Clc1ccc(C=NNc2c3ccccc3nc3ccccc23)cc1Cl,PubChem_filtered,366.25,366.25,6.14,4.0,4,3.0,3,3.0,3,1,3,37.28,4,25
MOL_003693,Oc1ccc(Cl)cc1C=NNc1c2ccccc2nc2ccccc12,PubChem_filtered,347.81,347.81,5.19,4.0,4,4.0,4,3.0,3,2,4,57.51,4,25
MOL_003694,CC(=O)Nc1ccc(C=NNc2c3ccccc3nc3ccccc23)cc1,PubChem_filtered,354.41,354.41,4.79,4.0,4,5.0,5,4.0,4,2,4,66.38,4,27
MOL_003695,CN(C)c1ccc2nc(C=Cc3ccccc3)ccc2c1,PubChem_filtered,274.37,274.37,4.47,3.0,3,2.0,2,3.0,3,0,2,16.13,3,21
