molecule_id,SMILES_canonical,source,MW,MW.1,LogP,n_aromatic_rings,n_aromatic_rings.1,n_heteroatoms,n_heteroatoms.1,n_rotatable_bonds,n_rotatable_bonds.1,n_hbd,n_hba,tpsa,n_rings,n_atoms,predicted_delta_e,tadf_score,selected_for_detailed_calc
MOL_008441,COc1cccc2c(=O)c3cc([N+](=O)[O-])ccc3[nH]c12,PubChem_filtered,270.24,270.24,2.6,3.0,3,6.0,6,2.0,2,1,4,85.23,3,20,0.12004114285714285,0.9498971428571428,True
MOL_008440,COc1cc([N+](=O)[O-])c2[nH]c3ccccc3c(=O)c2c1,PubChem_filtered,270.24,270.24,2.6,3.0,3,6.0,6,2.0,2,1,4,85.23,3,20,0.12004114285714285,0.9498971428571428,True
MOL_000635,O=[N+]([O-])c1cccc2nc3ccccc3c(NCCO)c12,PubChem_filtered,283.29,283.29,2.7,3.0,3,6.0,6,4.0,4,2,5,88.29,3,21,0.12027828571428567,0.9493042857142857,True
MOL_005486,Cc1sc2nc3n(c(=O)c2c1C)N=CN(c1ccccc1)C3,PubChem_filtered,310.38,310.38,2.89,3.0,3,6.0,6,1.0,1,0,5,50.49,4,22,0.12112228571428574,0.9471942857142857,True
MOL_008495,COc1ccc2nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3cc2c1,PubChem_filtered,299.24,299.24,3.21,3.0,3,8.0,8,3.0,3,0,6,108.4,3,22,0.12121257142857139,0.9469685714285715,True
MOL_018962,CN(C)c1ccc(Nc2ncnc3cccc(C(=O)O)c23)cc1,PubChem_filtered,308.34,308.34,3.14,3.0,3,6.0,6,4.0,4,2,5,78.35,3,23,0.12137257142857139,0.9465685714285714,True
MOL_018964,CN(C)c1ccc(Nc2ncnc3cc(C(=O)O)ccc23)cc1,PubChem_filtered,308.34,308.34,3.14,3.0,3,6.0,6,4.0,4,2,5,78.35,3,23,0.12137257142857139,0.9465685714285714,True
MOL_021887,CCOc1nc(NN)nc(N(c2ccccc2)c2ccccc2)n1,PubChem_filtered,322.37,322.37,3.03,3.0,3,7.0,7,6.0,6,2,7,89.19,3,24,0.12157771428571429,0.9460557142857142,True
MOL_008523,Cc1cc2[nH]c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3c(=O)c2cc1C,PubChem_filtered,313.27,313.27,3.11,3.0,3,8.0,8,2.0,2,1,5,119.14,3,23,0.12161771428571427,0.9459557142857142,True
MOL_009970,O=C1c2cccc([N+](=O)[O-])c2C(=O)N1c1cccc2cccnc12,PubChem_filtered,319.28,319.28,2.94,3.0,3,7.0,7,2.0,2,0,5,93.41,4,24,0.12164799999999998,0.94588,True
MOL_000243,CN(C)CCCn1c2ccccc2c(=O)c2c([N+](=O)[O-])cccc21,PubChem_filtered,325.37,325.37,3.01,3.0,3,6.0,6,5.0,5,0,4,68.38,3,24,0.12169199999999997,0.94577,True
