CID,SMILES,MW,n_aromatic_rings,n_heteroatoms,n_rotatable_bonds,has_donor,has_acceptor
6689,Nc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1S(=O)(=O)O,489.49,3,13,4,True,True
6698,Nc1cccc2c1C(=O)c1c(Nc3ccccc3C(=O)O)cccc1C2=O,358.35,3,6,3,True,True
6700,O=C1c2ccccc2C(=O)c2c(Nc3cccc4c3C(=O)c3ccccc3C4=O)cccc21,429.43,4,5,2,True,True
6842,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],259.74,3,3,0,True,True
7019,Nc1c2ccccc2nc2ccccc12,194.24,3,2,0,True,True
7081,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N,237.31,3,3,0,True,True
7099,Nc1ccc2cc3ccc(N)cc3nc2c1,209.25,3,3,0,True,True
8324,O=C1c2ccccc2C(=O)c2c(Nc3cccc4c3C(=O)c3cccc(Nc5cccc6c5C(=O)c5ccccc5C6=O)c3C4=O)cccc21,650.65,6,8,4,True,True
8643,Cl.Nc1c2ccccc2nc2ccccc12,230.7,3,2,0,True,True
8672,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N.Cl,273.77,3,3,0,True,True
8971,CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,479.28,3,4,9,True,True
8972,CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,406.36,3,4,9,True,True
9112,c1ccc2c(c1)ccc1cc3cc4ccc5cccc6ccc(c3nc12)c4c56,353.42,7,1,0,True,True
9165,c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,279.34,5,1,0,True,True
9177,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,279.34,5,1,0,True,True
9178,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3nc12,279.34,5,1,0,True,True
9180,c1ccc2nc3ccc4ccccc4c3cc2c1,229.28,4,1,0,True,True
9181,c1ccc2nc3c(ccc4ccccc43)cc2c1,229.28,4,1,0,True,True
9183,c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,279.34,5,1,0,True,True
9215,c1ccc2nc3ccccc3cc2c1,179.22,3,1,0,True,True
9420,CCN(CC)CCCC(C)Nc1c2cc(Cl)ccc2nc2ccc(OC)cc12.CS(=O)(=O)O.CS(=O)(=O)O,592.18,3,12,9,True,True
9421,CCN(CC)CCCC(C)Nc1c2cc(Cl)ccc2nc2ccc(OC)cc12,399.97,3,4,9,True,True
9921,Cc1c2cccc(F)c2nc2c1ccc1ccccc12,261.3,4,1,0,True,True
10161,Cc1cc2c(-c3ccccc3)c3cc(C)c(N)cc3nc2cc1N,313.4,4,3,1,True,True
10162,Nc1ccc(-c2c3ccccc3nc3cc(N)ccc23)cc1,285.35,4,3,1,True,True
10674,Cl.O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,435.36,3,6,5,True,True
10675,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,398.89,3,6,5,True,True
10713,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1Cl,523.34,3,13,9,True,True
10750,Cl.Cl.Nc1ccc2cc3ccc(N)cc3nc2c1,282.17,3,3,0,True,True
11105,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N.Cl,288.78,3,4,1,True,True
