feature,mean_abs_shap
T1_energy_eV,0.298664110968732
S1_energy_eV,0.27811299164792136
T1_S_he,0.004845168857605025
S1_S_he,0.0033496342188505755
HOMO_LUMO_gap_eV,0.0028039730358025107
Abs_Delta_S_he,0.0025812404944576474
Char_diff_squared,0.0025560238576487642
S1_osc_strength,0.002332991278293103
Abs_Delta_Lambda_A,0.0017446096767004815
Delta_Lambda_D,0.0015551826070443497
Abs_Delta_S_NTO,0.0014980759665657558
S1_Delta_r,0.001482188010721191
S_NTO_product,0.0014332770597746882
Delta_CT_number,0.0014079082644940894
Delta_Delta_r,0.0013824427528045498
T1_hole_on_A,0.0012073277486623142
S1_particle_on_D,0.0011899951623357446
T1_Delta_r,0.0011665921093875658
S1_CT_number,0.0011568571128732677
T1_CT_number,0.001145639179167335
Abs_Delta_Lambda_D,0.0011096218879378295
Abs_Delta_Delta_r,0.001091202353856319
S1_hole_on_A,0.0010853816400635513
Abs_Delta_CT_number,0.001075506412269783
Delta_S_he,0.0010422272921486592
S_NTO_ratio,0.001019509791731148
S1_overlap,0.0009405696292693693
T1_particle_on_D,0.0009396969135069604
Delta_Lambda_A,0.0009180731956708891
T1_Lambda_D,0.0009169834164777325
T1_Lambda_A,0.0009038138742562531
Log_Abs_S1,0.0008861599205500252
T1_overlap,0.0008586245468494143
S1_Lambda_D,0.0008565169908716596
Log_Abs_T1,0.000838936862996065
S_NTO_sum,0.0007524061704052199
Delta_S_NTO,0.0007381464597223657
S1_Lambda_A,0.0006616005439756382
