feature,mean_abs_shap,pct
T1_energy_eV,0.30919305265177244,47.81173442917377
S1_energy_eV,0.27978615453052763,43.264430434791265
T1_S_he,0.007082529353962732,1.0951992926563987
S1_S_he,0.00504699476185487,0.7804365950324431
HOMO_LUMO_gap_eV,0.0037490371047185014,0.5797283117411984
S1_osc_strength,0.003536187985106068,0.546814617552039
T1_Delta_r,0.003470247430017648,0.5366179708908004
S1_Delta_r,0.002653461403884521,0.41031514412282855
Char_diff_squared,0.0023545268886565047,0.36408972757088326
Delta_Lambda_A,0.002141320706866954,0.33112081945682925
Delta_S_he,0.0021033603158581416,0.325250855309268
Abs_Delta_S_NTO,0.002060324802292919,0.3185961050554811
S1_Lambda_A,0.0020092506707336984,0.3106983117727181
T1_Lambda_A,0.001862109336975598,0.28794527022517746
S_NTO_product,0.0017600139786086704,0.27215786452887786
S1_Lambda_D,0.0017447722385365223,0.26980097448132306
T1_Lambda_D,0.0017007782503007983,0.2629980115299672
Delta_Lambda_D,0.0015704278539457747,0.24284141848942753
Delta_Delta_r,0.001459877797485989,0.22574662966654177
Log_Abs_S1,0.0014008979843776373,0.21662634983866758
T1_CT_number,0.0013916056953956696,0.21518944674775192
Delta_CT_number,0.0013554438182087954,0.20959759384649526
Log_Abs_T1,0.0011346913627472107,0.17546177583701256
S_NTO_sum,0.0011166817144817578,0.17267687328941086
S1_overlap,0.0010983174630968394,0.16983713707064407
S1_CT_number,0.0010967376529763897,0.16959284483548662
T1_overlap,0.0010700583523362856,0.16546731993762492
Delta_S_NTO,0.0010618880050881287,0.16420390709741806
S_NTO_ratio,0.0006778846840547376,0.10482396745224438
