feature,mean_abs_shap
T1_S_he,0.04636752356410216
Abs_Delta_S_he,0.02393677421700557
S1_S_he,0.023552934836632188
Delta_S_he,0.01387493129765226
Abs_Delta_Delta_r,0.013308125003621045
Abs_Delta_Lambda_D,0.012562437140864182
Abs_Delta_CT_number,0.009552959158300045
T1_CT_number,0.008611295766162473
Delta_Delta_r,0.007743228657636868
Abs_Delta_Lambda_A,0.007308537495663669
S1_Delta_r,0.007173704134906636
T1_Delta_r,0.006866510918649313
Log_Abs_T1,0.006740790844869107
Log_Abs_S1,0.005887847354154513
T1_Lambda_D,0.005681900153618628
S1_particle_on_D,0.004814881167009132
T1_hole_on_A,0.00468949633572599
S1_Lambda_A,0.004462060827939264
S1_CT_number,0.004122552744964846
S1_hole_on_A,0.004036659589585346
Delta_CT_number,0.003998466456924822
Abs_Delta_S_NTO,0.0038729846005540096
Delta_Lambda_D,0.0036983628239416295
S_NTO_product,0.0036941253157727868
S1_Lambda_D,0.0036882474305684953
Delta_Lambda_A,0.003671788529981203
S1_overlap,0.0033821966812310027
T1_Lambda_A,0.0028544234318045652
S_NTO_sum,0.002845076715158083
Char_diff_squared,0.002825713288798848
Delta_S_NTO,0.002334447246488857
S_NTO_ratio,0.0021045305994780356
T1_particle_on_D,0.002015846841584191
T1_overlap,0.0019273112764895783
